Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	1
51	0
52	1
53	0
54	1
55	1
56	3
57	1
58	2
59	2
60	2
61	3
62	2
63	6
64	0
65	3
66	2
67	2
68	2
69	3
70	4
71	2
72	0
73	0
74	2
75	1
76	3
77	4
78	1
79	2
80	2
81	3
82	1
83	3
84	1
85	2
86	1
87	2
88	3
89	2
90	2
91	3
92	4
93	5
94	6
95	2
96	2
97	1
98	3
99	2
100	2
101	4
102	1
103	1
104	0
105	0
106	1
107	2
108	1
109	1
110	4
111	3
112	2
113	1
114	6
115	1
116	1
117	0
118	1
119	0
120	0
121	0
122	6
123	2
124	2
125	3
126	1
127	3
128	0
129	0
130	0
131	0
132	1
133	4
134	0
135	1
136	4
137	2
138	0
139	2
140	4
141	1
142	2
143	0
144	1
145	4
146	0
147	1
148	3
149	2
150	1
151	0
152	0
153	1
154	1
155	1
156	1
157	0
158	1
159	3
160	1
161	1
162	1
163	0
164	4
165	2
166	1
167	1
168	2
169	2
170	1
171	1
172	1
173	2
174	2
175	3
176	1
177	2
178	0
179	0
180	1
181	1
182	0
183	1
184	3
185	2
186	1
187	1
188	4
189	1
190	6
191	2
192	0
193	3
194	1
195	1
196	1
197	3
198	2
199	0
200	2
201	0
202	1
203	0
204	3
205	2
206	2
207	0
208	1
209	0
210	2
211	2
212	1
213	0
214	1
215	0
216	0
217	1
218	1
219	1
220	1
221	1
222	2
223	0
224	1
225	0
226	1
227	2
228	1
229	2
230	3
231	1
232	0
233	4
234	0
235	1
236	3
237	3
238	0
239	0
240	0
241	0
242	1
243	1
244	0
245	2
246	1
247	2
248	2
249	5
250	1
251	2
252	3
253	1
254	0
255	3
256	0
257	0
258	0
259	2
260	0
261	0
262	2
263	1
264	2
265	1
266	0
267	1
268	2
269	0
270	1
271	1
272	2
273	0
274	0
275	1
276	1
277	2
278	1
279	3
280	0
281	1
282	0
283	1
284	2
285	0
286	0
287	2
288	0
289	2
290	1
291	2
292	0
293	2
294	0
295	1
296	1
297	0
298	1
299	1
300	0
301	3
302	0
303	2
304	0
305	0
306	1
307	3
308	1
309	0
310	0
311	1
312	1
313	0
314	0
315	1
316	1
317	0
318	0
319	2
320	1
321	0
322	2
323	0
324	1
325	0
326	0
327	1
328	0
329	1
330	0
331	0
332	3
333	1
334	1
335	1
336	1
337	0
338	3
339	1
340	1
341	2
342	1
343	0
344	1
345	2
346	1
347	1
348	2
349	0
350	1
351	1
352	0
353	1
354	1
355	1
356	0
357	2
358	2
359	2
360	2
361	0
362	1
363	0
364	1
365	0
366	0
367	0
368	1
369	1
370	1
371	1
372	0
373	2
374	0
375	1
376	1
377	0
378	1
379	1
380	1
381	0
382	2
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	2
393	0
394	0
395	0
396	0
397	1
398	1
399	2
400	1
401	0
402	1
403	0
404	1
405	0
406	3
407	0
408	0
409	2
410	0
411	1
412	0
413	1
414	2
415	0
416	2
417	3
418	2
419	0
420	0
421	1
422	1
423	0
424	2
425	0
426	0
427	2
428	3
429	3
430	1
431	2
432	1
433	0
434	1
435	3
436	1
437	1
438	0
439	1
440	0
441	1
442	2
443	2
444	2
445	2
446	1
447	2
448	0
449	1
450	1
451	2
452	1
453	0
454	0
455	1
456	1
457	1
458	0
459	0
460	1
461	2
462	0
463	1
464	0
465	1
466	0
467	0
468	1
469	0
470	0
471	1
472	2
473	3
474	3
475	2
476	1
477	0
478	0
479	2
480	0
481	1
482	1
483	1
484	1
485	0
486	1
487	0
488	0
489	0
490	0
491	1
492	1
493	2
494	1
495	0
496	0
497	2
498	1
499	0
500	0
501	0
502	0
503	0
504	1
505	1
506	1
507	1
508	1
509	1
510	1
511	0
512	1
513	0
514	0
515	0
516	0
517	0
518	2
519	1
520	0
521	1
522	2
523	1
524	1
525	1
526	1
527	1
528	2
529	2
530	0
531	1
532	1
533	2
534	2
535	0
536	0
537	1
538	1
539	2
540	1
541	1
542	0
543	2
544	1
545	0
546	0
547	1
548	5
549	3
550	0
551	1
552	0
553	0
554	0
555	0
556	0
557	0
558	0
559	3
560	0
561	0
562	0
563	1
564	2
565	1
566	0
567	0
568	0
569	0
570	0
571	0
572	2
573	1
574	1
575	3
576	1
577	1
578	1
579	2
580	0
581	1
582	1
583	0
584	1
585	1
586	0
587	2
588	0
589	0
590	1
591	1
592	0
593	1
594	2
595	1
596	3
597	1
598	1
599	0
600	0
601	1
602	1
603	1
604	0
605	4
606	0
607	1
608	2
609	1
610	0
611	1
612	1
613	2
614	0
615	1
616	1
617	0
618	0
619	1
620	2
621	0
622	2
623	0
624	0
625	3
626	1
627	2
628	1
629	2
630	0
631	0
632	2
633	0
634	1
635	1
636	2
637	4
638	1
639	4
640	0
641	1
642	2
643	2
644	2
645	2
646	2
647	0
648	2
649	0
650	0
651	1
652	0
653	0
654	1
655	2
656	1
657	1
658	2
659	0
660	0
661	0
662	1
663	0
664	0
665	1
666	0
667	0
668	3
669	0
670	1
671	1
672	0
673	1
674	1
675	1
676	2
677	1
678	0
679	2
680	1
681	3
682	3
683	3
684	2
685	2
686	3
687	0
688	1
689	0
690	3
691	2
692	2
693	1
694	0
695	0
696	0
697	0
698	0
699	4
700	2
701	0
702	2
703	4
704	0
705	2
706	2
707	2
708	3
709	0
710	1
711	0
712	4
713	0
714	0
715	1
716	1
717	1
718	3
719	5
720	1
721	5
722	2
723	3
724	3
725	3
726	2
727	0
728	1
729	1
730	0
731	2
732	1
733	3
734	5
735	1
736	1
737	0
738	0
739	1
740	1
741	1
742	1
743	1
744	2
745	4
746	2
747	2
748	5
749	0
750	1
751	4
752	2
753	1
754	1
755	1
756	3
757	2
758	2
759	2
760	1
761	2
762	4
763	2
764	2
765	3
766	3
767	5
768	2
769	3
770	6
771	3
772	4
773	3
774	4
775	3
776	0
777	2
778	3
779	3
780	1
781	1
782	1
783	3
784	2
785	2
786	5
787	1
788	2
789	1
790	7
791	3
792	4
793	1
794	2
795	1
796	2
797	5
798	2
799	2
800	3
801	1
802	3
803	4
804	1
805	7
806	3
807	2
808	2
809	2
810	0
811	4
812	3
813	2
814	3
815	3
816	2
817	8
818	3
819	2
820	1
821	2
822	7
823	1
824	5
825	3
826	3
827	6
828	2
829	6
830	3
831	4
832	0
833	3
834	4
835	1
836	1
837	4
838	3
839	2
840	2
841	2
842	4
843	4
844	3
845	4
846	2
847	0
848	4
849	4
850	10
851	1
852	3
853	3
854	3
855	2
856	4
857	9
858	5
859	4
860	8
861	4
862	1
863	7
864	2
865	4
866	5
867	5
868	4
869	2
870	4
871	4
872	2
873	4
874	6
875	4
876	5
877	8
878	1
879	3
880	7
881	5
882	5
883	4
884	2
885	3
886	7
887	5
888	8
889	6
890	0
891	4
892	8
893	3
894	3
895	3
896	4
897	1
898	8
899	2
900	3
901	3
902	4
903	1
904	4
905	3
906	3
907	5
908	3
909	3
910	5
911	1
912	7
913	4
914	5
915	6
916	8
917	0
918	3
919	7
920	3
921	6
922	4
923	2
924	6
925	3
926	3
927	3
928	3
929	11
930	7
931	5
932	5
933	6
934	7
935	2
936	6
937	7
938	4
939	9
940	6
941	6
942	4
943	2
944	6
945	5
946	9
947	7
948	7
949	4
950	5
951	3
952	6
953	9
954	5
955	8
956	4
957	4
958	10
959	7
960	4
961	2
962	8
963	3
964	2
965	8
966	11
967	1
968	7
969	4
970	8
971	5
972	4
973	6
974	1
975	2
976	3
977	4
978	7
979	6
980	7
981	7
982	6
983	5
984	2
985	9
986	5
987	6
988	5
989	9
990	12
991	4
992	5
993	6
994	5
995	2
996	7
997	5
998	6
999	6
1000	7
1001	6
1002	10
1003	2
1004	1
1005	4
1006	4
1007	4
1008	4
1009	4
1010	9
1011	6
1012	3
1013	4
1014	7
1015	2
1016	5
1017	3
1018	5
1019	5
1020	7
1021	6
1022	6
1023	12
1024	1
1025	5
1026	7
1027	6
1028	4
1029	8
1030	5
1031	3
1032	4
1033	9
1034	3
1035	5
1036	11
1037	3
1038	6
1039	6
1040	6
1041	9
1042	11
1043	7
1044	4
1045	5
1046	5
1047	3
1048	5
1049	5
1050	3
1051	12
1052	5
1053	4
1054	7
1055	7
1056	4
1057	4
1058	5
1059	6
1060	6
1061	3
1062	5
1063	5
1064	5
1065	9
1066	4
1067	6
1068	9
1069	10
1070	4
1071	6
1072	1
1073	8
1074	5
1075	3
1076	8
1077	4
1078	6
1079	2
1080	9
1081	7
1082	7
1083	6
1084	7
1085	8
1086	5
1087	12
1088	2
1089	2
1090	5
1091	4
1092	5
1093	2
1094	8
1095	4
1096	6
1097	8
1098	4
1099	7
1100	7
1101	2
1102	6
1103	8
1104	5
1105	4
1106	3
1107	7
1108	6
1109	6
1110	7
1111	2
1112	7
1113	6
1114	3
1115	7
1116	6
1117	7
1118	2
1119	3
1120	4
1121	11
1122	4
1123	10
1124	9
1125	5
1126	7
1127	4
1128	3
1129	5
1130	10
1131	8
1132	7
1133	9
1134	8
1135	4
1136	3
1137	8
1138	6
1139	9
1140	6
1141	5
1142	9
1143	10
1144	7
1145	8
1146	8
1147	7
1148	3
1149	7
1150	4
1151	6
1152	2
1153	4
1154	9
1155	14
1156	6
1157	9
1158	5
1159	7
1160	7
1161	7
1162	7
1163	7
1164	8
1165	13
1166	3
1167	4
1168	9
1169	7
1170	2
1171	9
1172	10
1173	7
1174	9
1175	7
1176	8
1177	4
1178	7
1179	9
1180	6
1181	4
1182	7
1183	3
1184	2
1185	6
1186	8
1187	4
1188	5
1189	6
1190	10
1191	8
1192	5
1193	6
1194	6
1195	9
1196	11
1197	4
1198	1
1199	6
1200	3
1201	6
1202	10
1203	7
1204	8
1205	5
1206	7
1207	5
1208	7
1209	6
1210	8
1211	7
1212	8
1213	5
1214	6
1215	12
1216	8
1217	9
1218	6
1219	9
1220	7
1221	6
1222	10
1223	3
1224	4
1225	6
1226	10
1227	6
1228	10
1229	10
1230	6
1231	8
1232	4
1233	6
1234	12
1235	9
1236	8
1237	6
1238	6
1239	6
1240	8
1241	5
1242	4
1243	10
1244	13
1245	6
1246	14
1247	10
1248	2
1249	6
1250	10
1251	5
1252	7
1253	6
1254	9
1255	5
1256	4
1257	18
1258	7
1259	9
1260	4
1261	6
1262	5
1263	7
1264	7
1265	7
1266	6
1267	6
1268	8
1269	5
1270	7
1271	8
1272	5
1273	10
1274	6
1275	6
1276	11
1277	6
1278	3
1279	9
1280	3
1281	7
1282	4
1283	4
1284	5
1285	5
1286	5
1287	3
1288	6
1289	7
1290	6
1291	4
1292	14
1293	6
1294	10
1295	6
1296	2
1297	4
1298	8
1299	7
1300	11
1301	6
1302	5
1303	8
1304	5
1305	7
1306	7
1307	8
1308	7
1309	6
1310	14
1311	8
1312	7
1313	8
1314	5
1315	7
1316	8
1317	3
1318	4
1319	7
1320	7
1321	5
1322	3
1323	5
1324	7
1325	5
1326	6
1327	9
1328	9
1329	10
1330	10
1331	5
1332	4
1333	7
1334	15
1335	5
1336	5
1337	9
1338	8
1339	7
1340	11
1341	7
1342	8
1343	9
1344	3
1345	3
1346	3
1347	9
1348	10
1349	5
1350	7
1351	9
1352	6
1353	5
1354	0
1355	1
1356	7
1357	5
1358	7
1359	4
1360	1
1361	9
1362	4
1363	7
1364	10
1365	3
1366	9
1367	6
1368	7
1369	8
1370	5
1371	11
1372	4
1373	12
1374	3
1375	6
1376	5
1377	4
1378	10
1379	5
1380	6
1381	4
1382	8
1383	8
1384	9
1385	7
1386	8
1387	5
1388	4
1389	10
1390	13
1391	7
1392	8
1393	5
1394	3
1395	14
1396	8
1397	4
1398	9
1399	5
1400	4
1401	6
1402	5
1403	4
1404	6
1405	8
1406	3
1407	14
1408	6
1409	4
1410	9
1411	7
1412	8
1413	4
1414	7
1415	7
1416	4
1417	9
1418	11
1419	6
1420	6
1421	9
1422	6
1423	8
1424	10
1425	7
1426	5
1427	4
1428	5
1429	7
1430	6
1431	5
1432	7
1433	7
1434	6
1435	4
1436	2
1437	7
1438	8
1439	14
1440	9
1441	4
1442	6
1443	3
1444	6
1445	4
1446	7
1447	10
1448	2
1449	6
1450	7
1451	6
1452	8
1453	6
1454	2
1455	9
1456	5
1457	6
1458	5
1459	7
1460	5
1461	5
1462	7
1463	6
1464	10
1465	6
1466	2
1467	6
1468	5
1469	7
1470	6
1471	11
1472	1
1473	4
1474	6
1475	4
1476	8
1477	6
1478	12
1479	1
1480	5
1481	5
1482	7
1483	9
1484	8
1485	7
1486	7
1487	4
1488	9
1489	7
1490	7
1491	8
1492	3
1493	2
1494	2
1495	6
1496	7
1497	14
1498	9
1499	5
1500	11
1501	8
1502	3
1503	6
1504	8
1505	9
1506	8
1507	11
1508	6
1509	3
1510	4
1511	6
1512	5
1513	6
1514	12
1515	6
1516	8
1517	6
1518	8
1519	5
1520	7
1521	4
1522	6
1523	8
1524	6
1525	8
1526	10
1527	6
1528	4
1529	8
1530	6
1531	8
1532	4
1533	6
1534	6
1535	9
1536	3
1537	6
1538	5
1539	6
1540	7
1541	3
1542	8
1543	5
1544	6
1545	5
1546	2
1547	3
1548	12
1549	8
1550	5
1551	8
1552	7
1553	4
1554	9
1555	3
1556	5
1557	4
1558	6
1559	10
1560	7
1561	7
1562	1
1563	6
1564	8
1565	8
1566	9
1567	10
1568	3
1569	1
1570	6
1571	3
1572	8
1573	5
1574	3
1575	10
1576	8
1577	7
1578	4
1579	11
1580	7
1581	3
1582	4
1583	2
1584	7
1585	3
1586	2
1587	6
1588	4
1589	4
1590	8
1591	2
1592	4
1593	8
1594	6
1595	9
1596	5
1597	12
1598	8
1599	2
1600	5
1601	6
1602	3
1603	3
1604	6
1605	4
1606	10
1607	5
1608	5
1609	4
1610	6
1611	6
1612	6
1613	6
1614	4
1615	7
1616	6
1617	3
1618	3
1619	5
1620	4
1621	4
1622	10
1623	5
1624	7
1625	8
1626	2
1627	4
1628	2
1629	6
1630	4
1631	8
1632	4
1633	5
1634	5
1635	5
1636	2
1637	6
1638	9
1639	7
1640	2
1641	9
1642	7
1643	3
1644	7
1645	3
1646	5
1647	6
1648	5
1649	3
1650	6
1651	8
1652	5
1653	8
1654	6
1655	1
1656	5
1657	3
1658	3
1659	7
1660	5
1661	3
1662	6
1663	11
1664	3
1665	7
1666	4
1667	4
1668	3
1669	3
1670	7
1671	3
1672	4
1673	6
1674	4
1675	2
1676	7
1677	6
1678	6
1679	3
1680	4
1681	6
1682	6
1683	4
1684	8
1685	3
1686	11
1687	4
1688	3
1689	12
1690	3
1691	7
1692	6
1693	5
1694	7
1695	8
1696	2
1697	3
1698	5
1699	4
1700	5
1701	4
1702	5
1703	5
1704	2
1705	5
1706	2
1707	4
1708	5
1709	2
1710	4
1711	1
1712	7
1713	9
1714	3
1715	7
1716	5
1717	7
1718	5
1719	2
1720	2
1721	2
1722	1
1723	5
1724	3
1725	6
1726	2
1727	4
1728	7
1729	1
1730	3
1731	3
1732	9
1733	6
1734	8
1735	2
1736	4
1737	4
1738	4
1739	6
1740	8
1741	4
1742	2
1743	5
1744	5
1745	8
1746	8
1747	3
1748	4
1749	5
1750	3
1751	3
1752	3
1753	6
1754	4
1755	6
1756	5
1757	5
1758	3
1759	4
1760	3
1761	5
1762	5
1763	8
1764	6
1765	2
1766	7
1767	9
1768	1
1769	7
1770	9
1771	5
1772	1
1773	5
1774	4
1775	7
1776	3
1777	5
1778	6
1779	1
1780	4
1781	3
1782	4
1783	7
1784	2
1785	3
1786	1
1787	5
1788	3
1789	4
1790	5
1791	5
1792	4
1793	5
1794	7
1795	3
1796	4
1797	6
1798	5
1799	2
1800	6
1801	7
1802	5
1803	4
1804	9
1805	4
1806	11
1807	2
1808	2
1809	5
1810	3
1811	1
1812	5
1813	1
1814	3
1815	3
1816	6
1817	5
1818	2
1819	3
1820	3
1821	2
1822	7
1823	5
1824	2
1825	3
1826	2
1827	4
1828	7
1829	5
1830	6
1831	4
1832	3
1833	3
1834	7
1835	2
1836	6
1837	0
1838	6
1839	2
1840	4
1841	4
1842	4
1843	5
1844	4
1845	5
1846	6
1847	3
1848	5
1849	2
1850	3
1851	4
1852	4
1853	5
1854	1
1855	4
1856	2
1857	4
1858	7
1859	5
1860	4
1861	7
1862	7
1863	3
1864	0
1865	5
1866	3
1867	2
1868	5
1869	2
1870	2
1871	4
1872	3
1873	5
1874	8
1875	6
1876	4
1877	3
1878	9
1879	3
1880	3
1881	5
1882	7
1883	3
1884	9
1885	2
1886	4
1887	2
1888	6
1889	6
1890	5
1891	3
1892	4
1893	1
1894	2
1895	0
1896	5
1897	5
1898	3
1899	4
1900	7
1901	0
1902	5
1903	4
1904	2
1905	7
1906	8
1907	6
1908	9
1909	3
1910	8
1911	3
1912	3
1913	9
1914	5
1915	4
1916	2
1917	6
1918	10
1919	8
1920	4
1921	5
1922	3
1923	3
1924	15
1925	7
1926	12
1927	5
1928	7
1929	10
1930	6
1931	7
1932	9
1933	11
1934	7
1935	9
1936	14
1937	13
1938	13
1939	7
1940	13
1941	16
1942	14
1943	11
1944	11
1945	20
1946	20
1947	19
1948	19
1949	25
1950	23
1951	26
1952	19
1953	28
1954	20
1955	24
1956	33
1957	16
1958	31
1959	25
1960	24
1961	24
1962	23
1963	26
1964	37
1965	29
1966	29
1967	20
1968	34
1969	35
1970	38
1971	37
1972	33
1973	23
1974	37
1975	32
1976	26
1977	29
1978	19
1979	33
1980	31
1981	30
1982	35
1983	32
1984	25
1985	26
1986	30
1987	32
1988	44
1989	26
1990	31
1991	13
1992	16
1993	31
1994	26
1995	24
1996	29
1997	23
1998	15
1999	20
2000	27
2001	20
2002	18
2003	22
2004	21
2005	18
2006	23
2007	13
2008	21
2009	21
2010	14
2011	15
2012	9
2013	14
2014	11
2015	14
2016	12
2017	22
2018	13
2019	11
2020	12
2021	9
2022	13
2023	10
2024	5
2025	15
2026	9
2027	7
2028	5
2029	0
2030	7
2031	5
2032	9
