Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	2
50	1
51	0
52	3
53	4
54	6
55	9
56	8
57	5
58	8
59	9
60	9
61	10
62	14
63	16
64	12
65	4
66	14
67	15
68	10
69	11
70	18
71	12
72	9
73	15
74	16
75	12
76	11
77	12
78	10
79	4
80	10
81	15
82	8
83	14
84	7
85	8
86	16
87	8
88	9
89	11
90	4
91	10
92	9
93	5
94	12
95	5
96	7
97	10
98	3
99	11
100	7
101	8
102	7
103	5
104	11
105	13
106	4
107	7
108	13
109	4
110	5
111	4
112	6
113	9
114	7
115	6
116	4
117	12
118	4
119	7
120	9
121	4
122	5
123	2
124	7
125	6
126	7
127	13
128	2
129	2
130	9
131	6
132	4
133	7
134	5
135	4
136	6
137	6
138	5
139	3
140	2
141	5
142	3
143	2
144	3
145	3
146	4
147	3
148	2
149	1
150	7
151	4
152	3
153	6
154	2
155	6
156	2
157	4
158	5
159	3
160	2
161	3
162	0
163	2
164	1
165	2
166	2
167	7
168	0
169	2
170	1
171	4
172	4
173	1
174	3
175	4
176	3
177	1
178	4
179	3
180	4
181	2
182	5
183	0
184	1
185	3
186	3
187	3
188	5
189	4
190	1
191	3
192	2
193	0
194	2
195	3
196	4
197	3
198	4
199	3
200	4
201	2
202	1
203	3
204	4
205	2
206	4
207	2
208	0
209	6
210	5
211	2
212	4
213	6
214	2
215	0
216	2
217	0
218	1
219	7
220	4
221	4
222	3
223	2
224	3
225	2
226	4
227	2
228	3
229	2
230	5
231	2
232	3
233	2
234	5
235	1
236	2
237	2
238	1
239	1
240	3
241	1
242	2
243	3
244	4
245	7
246	0
247	1
248	0
249	3
250	1
251	0
252	4
253	0
254	1
255	1
256	3
257	2
258	1
259	1
260	2
261	0
262	3
263	2
264	2
265	1
266	4
267	4
268	2
269	4
270	5
271	0
272	2
273	1
274	2
275	2
276	3
277	3
278	2
279	1
280	2
281	1
282	0
283	3
284	2
285	0
286	0
287	3
288	4
289	2
290	2
291	1
292	0
293	3
294	2
295	1
296	2
297	2
298	1
299	1
300	1
301	1
302	2
303	1
304	0
305	2
306	3
307	0
308	0
309	3
310	4
311	3
312	1
313	1
314	2
315	1
316	2
317	0
318	3
319	3
320	0
321	1
322	1
323	0
324	0
325	0
326	1
327	1
328	0
329	1
330	0
331	1
332	2
333	1
334	1
335	2
336	1
337	0
338	3
339	0
340	1
341	1
342	1
343	0
344	3
345	1
346	0
347	1
348	1
349	1
350	0
351	1
352	1
353	1
354	1
355	0
356	1
357	2
358	1
359	0
360	0
361	0
362	0
363	1
364	1
365	2
366	2
367	0
368	1
369	2
370	1
371	0
372	1
373	0
374	2
375	2
376	2
377	0
378	3
379	0
380	1
381	2
382	1
383	1
384	0
385	2
386	0
387	0
388	1
389	0
390	0
391	2
392	0
393	2
394	0
395	0
396	2
397	0
398	3
399	0
400	1
401	2
402	0
403	0
404	1
405	1
406	1
407	0
408	0
409	1
410	1
411	0
412	0
413	0
414	1
415	0
416	1
417	0
418	0
419	1
420	0
421	1
422	1
423	1
424	0
425	1
426	2
427	1
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	1
436	1
437	0
438	2
439	0
440	2
441	1
442	0
443	0
444	0
445	1
446	0
447	2
448	1
449	0
450	1
451	0
452	0
453	0
454	1
455	0
456	2
457	1
458	1
459	0
460	0
461	0
462	0
463	0
464	2
465	1
466	1
467	1
468	0
469	1
470	1
471	1
472	0
473	1
474	1
475	1
476	0
477	2
478	2
479	0
480	0
481	0
482	0
483	0
484	0
485	1
486	3
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	1
495	0
496	1
497	0
498	0
499	1
500	1
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	2
509	1
510	0
511	3
512	0
513	1
514	0
515	2
516	1
517	0
518	0
519	0
520	1
521	0
522	1
523	0
524	1
525	2
526	0
527	1
528	0
529	2
530	1
531	0
532	1
533	0
534	3
535	1
536	0
537	1
538	1
539	0
540	0
541	0
542	0
543	1
544	0
545	2
546	0
547	1
548	0
549	1
550	0
551	1
552	1
553	0
554	1
555	0
556	1
557	1
558	3
559	0
560	1
561	2
562	0
563	1
564	1
565	0
566	0
567	0
568	0
569	2
570	1
571	1
572	4
573	2
574	0
575	0
576	0
577	0
578	1
579	1
580	2
581	0
582	0
583	0
584	0
585	3
586	0
587	2
588	1
589	1
590	1
591	2
592	0
593	0
594	0
595	0
596	1
597	0
598	0
599	1
600	1
601	0
602	0
603	0
604	1
605	0
606	0
607	1
608	1
609	1
610	1
611	0
612	0
613	0
614	1
615	0
616	2
617	0
618	0
619	1
620	2
621	0
622	0
623	0
624	0
625	1
626	0
627	0
628	1
629	0
630	1
631	2
632	0
633	1
634	0
635	1
636	1
637	1
638	0
639	1
640	0
641	0
642	0
643	1
644	0
645	0
646	0
647	0
648	1
649	0
650	0
651	0
652	2
653	0
654	1
655	1
656	2
657	0
658	3
659	0
660	0
661	0
662	1
663	0
664	2
665	0
666	0
667	0
668	2
669	0
670	1
671	2
672	0
673	0
674	0
675	0
676	0
677	0
678	1
679	0
680	0
681	0
682	2
683	0
684	0
685	1
686	0
687	0
688	3
689	0
690	1
691	0
692	2
693	1
694	3
695	1
696	0
697	0
698	0
699	2
700	0
701	1
702	1
703	1
704	1
705	1
706	1
707	0
708	0
709	0
710	1
711	3
712	0
713	0
714	2
715	0
716	0
717	0
718	3
719	1
720	0
721	2
722	2
723	0
724	1
725	0
726	1
727	0
728	2
729	0
730	1
731	0
732	0
733	0
734	0
735	1
736	1
737	0
738	1
739	2
740	1
741	2
742	0
743	0
744	1
745	1
746	0
747	1
748	1
749	1
750	0
751	0
752	2
753	1
754	1
755	2
756	4
757	1
758	3
759	2
760	2
761	1
762	0
763	3
764	4
765	0
766	2
767	0
768	1
769	0
770	1
771	0
772	1
773	2
774	5
775	0
776	2
777	0
778	0
779	3
780	1
781	0
782	2
783	1
784	1
785	0
786	0
787	0
788	0
789	2
790	2
791	1
792	4
793	2
794	1
795	1
796	1
797	0
798	3
799	3
800	0
801	1
802	1
803	3
804	2
805	3
806	1
807	0
808	1
809	1
810	1
811	2
812	1
813	0
814	1
815	2
816	2
817	0
818	2
819	2
820	0
821	4
822	2
823	3
824	0
825	3
826	1
827	2
828	1
829	2
830	2
831	1
832	0
833	1
834	1
835	2
836	3
837	1
838	2
839	1
840	0
841	1
842	1
843	2
844	2
845	1
846	5
847	3
848	1
849	3
850	4
851	0
852	1
853	2
854	1
855	0
856	1
857	1
858	2
859	1
860	2
861	2
862	2
863	2
864	1
865	2
866	3
867	2
868	0
869	2
870	2
871	3
872	1
873	1
874	2
875	1
876	2
877	0
878	0
879	1
880	0
881	0
882	2
883	0
884	0
885	1
886	2
887	0
888	0
889	2
890	1
891	2
892	0
893	1
894	2
895	3
896	1
897	1
898	1
899	0
900	1
901	0
902	1
903	0
904	0
905	1
906	1
907	0
908	1
909	1
910	0
911	0
912	2
913	4
914	1
915	1
916	0
917	0
918	0
919	1
920	1
921	1
922	0
923	0
924	3
925	1
926	2
927	0
928	0
929	0
930	0
931	1
932	0
933	0
934	1
935	1
936	0
937	2
938	0
939	1
940	0
941	1
942	0
943	0
944	0
945	1
946	0
947	1
948	2
949	1
950	3
951	1
952	1
953	2
954	1
955	2
956	1
957	1
958	1
959	0
960	1
961	0
962	1
963	3
964	1
965	1
966	1
967	1
968	0
969	0
970	1
971	1
972	1
973	1
974	1
975	4
976	1
977	0
978	0
979	0
980	0
981	2
982	4
983	0
984	0
985	1
986	0
987	3
988	0
989	1
990	2
991	0
992	1
993	2
994	2
995	1
996	1
997	0
998	3
999	1
1000	1
1001	0
1002	0
1003	1
1004	1
1005	1
1006	2
1007	2
1008	0
1009	0
1010	1
1011	1
1012	1
1013	2
1014	1
1015	0
1016	1
1017	4
1018	2
1019	2
1020	1
1021	0
1022	2
1023	3
1024	0
1025	0
1026	1
1027	3
1028	2
1029	2
1030	1
1031	0
1032	1
1033	1
1034	2
1035	0
1036	2
1037	3
1038	4
1039	2
1040	1
1041	1
1042	2
1043	1
1044	1
1045	4
1046	1
1047	1
1048	2
1049	1
1050	2
1051	0
1052	3
1053	1
1054	1
1055	2
1056	2
1057	2
1058	3
1059	2
1060	1
1061	2
1062	3
1063	1
1064	0
1065	1
1066	0
1067	5
1068	1
1069	1
1070	1
1071	1
1072	4
1073	3
1074	2
1075	0
1076	1
1077	1
1078	1
1079	2
1080	1
1081	2
1082	2
1083	4
1084	2
1085	1
1086	0
1087	1
1088	0
1089	2
1090	4
1091	4
1092	1
1093	1
1094	1
1095	2
1096	1
1097	2
1098	1
1099	1
1100	0
1101	3
1102	2
1103	4
1104	2
1105	1
1106	1
1107	2
1108	2
1109	2
1110	1
1111	1
1112	3
1113	1
1114	0
1115	3
1116	4
1117	1
1118	1
1119	2
1120	1
1121	1
1122	0
1123	1
1124	2
1125	2
1126	5
1127	1
1128	1
1129	0
1130	3
1131	1
1132	1
1133	2
1134	3
1135	4
1136	4
1137	2
1138	1
1139	4
1140	2
1141	1
1142	0
1143	3
1144	1
1145	2
1146	2
1147	0
1148	3
1149	0
1150	3
1151	3
1152	1
1153	1
1154	2
1155	3
1156	1
1157	2
1158	1
1159	4
1160	2
1161	0
1162	3
1163	4
1164	3
1165	2
1166	2
1167	3
1168	0
1169	2
1170	0
1171	1
1172	1
1173	3
1174	1
1175	1
1176	3
1177	2
1178	2
1179	2
1180	2
1181	7
1182	1
1183	2
1184	2
1185	0
1186	2
1187	4
1188	2
1189	0
1190	4
1191	2
1192	2
1193	4
1194	2
1195	3
1196	3
1197	3
1198	2
1199	7
1200	0
1201	2
1202	3
1203	4
1204	0
1205	2
1206	1
1207	0
1208	1
1209	5
1210	2
1211	1
1212	2
1213	2
1214	3
1215	4
1216	0
1217	2
1218	2
1219	3
1220	5
1221	1
1222	6
1223	0
1224	3
1225	6
1226	2
1227	2
1228	1
1229	1
1230	2
1231	3
1232	2
1233	2
1234	4
1235	2
1236	2
1237	1
1238	2
1239	2
1240	1
1241	2
1242	0
1243	3
1244	4
1245	2
1246	4
1247	7
1248	1
1249	1
1250	5
1251	0
1252	1
1253	1
1254	5
1255	3
1256	3
1257	1
1258	1
1259	2
1260	6
1261	2
1262	4
1263	3
1264	1
1265	3
1266	1
1267	3
1268	2
1269	1
1270	4
1271	1
1272	2
1273	0
1274	4
1275	4
1276	2
1277	1
1278	1
1279	6
1280	0
1281	2
1282	2
1283	2
1284	1
1285	3
1286	2
1287	2
1288	3
1289	2
1290	4
1291	5
1292	1
1293	2
1294	2
1295	2
1296	5
1297	3
1298	0
1299	3
1300	2
1301	5
1302	6
1303	1
1304	0
1305	6
1306	3
1307	2
1308	3
1309	3
1310	1
1311	3
1312	2
1313	2
1314	3
1315	2
1316	5
1317	3
1318	3
1319	0
1320	0
1321	3
1322	2
1323	3
1324	3
1325	4
1326	2
1327	4
1328	4
1329	4
1330	1
1331	4
1332	3
1333	1
1334	5
1335	0
1336	4
1337	7
1338	2
1339	4
1340	2
1341	1
1342	3
1343	2
1344	2
1345	4
1346	3
1347	2
1348	5
1349	2
1350	4
1351	0
1352	3
1353	4
1354	4
1355	1
1356	2
1357	4
1358	4
1359	3
1360	2
1361	2
1362	2
1363	3
1364	6
1365	3
1366	5
1367	3
1368	7
1369	4
1370	1
1371	2
1372	3
1373	4
1374	4
1375	7
1376	3
1377	4
1378	2
1379	2
1380	2
1381	4
1382	5
1383	4
1384	2
1385	2
1386	4
1387	2
1388	2
1389	3
1390	3
1391	3
1392	2
1393	4
1394	2
1395	4
1396	5
1397	2
1398	3
1399	2
1400	2
1401	5
1402	1
1403	0
1404	2
1405	6
1406	3
1407	7
1408	2
1409	2
1410	4
1411	1
1412	1
1413	3
1414	4
1415	3
1416	4
1417	2
1418	3
1419	5
1420	5
1421	5
1422	4
1423	0
1424	5
1425	6
1426	4
1427	2
1428	3
1429	5
1430	6
1431	2
1432	4
1433	1
1434	1
1435	4
1436	3
1437	1
1438	8
1439	1
1440	5
1441	2
1442	3
1443	3
1444	4
1445	1
1446	8
1447	3
1448	1
1449	3
1450	1
1451	1
1452	5
1453	2
1454	4
1455	2
1456	9
1457	2
1458	5
1459	5
1460	6
1461	4
1462	3
1463	7
1464	2
1465	1
1466	4
1467	3
1468	3
1469	2
1470	3
1471	4
1472	1
1473	4
1474	4
1475	6
1476	3
1477	3
1478	5
1479	3
1480	3
1481	4
1482	7
1483	5
1484	4
1485	1
1486	5
1487	2
1488	4
1489	3
1490	5
1491	3
1492	3
1493	1
1494	4
1495	0
1496	7
1497	5
1498	6
1499	2
1500	1
1501	4
1502	6
1503	3
1504	2
1505	3
1506	8
1507	4
1508	6
1509	2
1510	3
1511	2
1512	3
1513	2
1514	4
1515	4
1516	6
1517	9
1518	3
1519	4
1520	6
1521	1
1522	4
1523	10
1524	5
1525	2
1526	3
1527	2
1528	3
1529	4
1530	3
1531	4
1532	6
1533	4
1534	1
1535	4
1536	3
1537	4
1538	5
1539	2
1540	3
1541	1
1542	4
1543	1
1544	5
1545	2
1546	3
1547	4
1548	2
1549	4
1550	2
1551	2
1552	6
1553	1
1554	1
1555	3
1556	5
1557	3
1558	4
1559	3
1560	4
1561	5
1562	4
1563	2
1564	0
1565	0
1566	5
1567	1
1568	5
1569	1
1570	4
1571	7
1572	3
1573	1
1574	6
1575	6
1576	3
1577	8
1578	1
1579	2
1580	4
1581	4
1582	5
1583	5
1584	1
1585	4
1586	6
1587	9
1588	2
1589	5
1590	3
1591	1
1592	7
1593	6
1594	2
1595	6
1596	5
1597	5
1598	1
1599	2
1600	2
1601	1
1602	3
1603	2
1604	4
1605	4
1606	6
1607	3
1608	0
1609	6
1610	6
1611	2
1612	4
1613	8
1614	6
1615	4
1616	1
1617	4
1618	1
1619	4
1620	4
1621	2
1622	5
1623	2
1624	5
1625	1
1626	3
1627	1
1628	3
1629	7
1630	5
1631	4
1632	4
1633	5
1634	7
1635	2
1636	2
1637	2
1638	8
1639	4
1640	3
1641	3
1642	2
1643	5
1644	4
1645	3
1646	4
1647	4
1648	2
1649	2
1650	3
1651	4
1652	5
1653	5
1654	5
1655	9
1656	5
1657	10
1658	2
1659	3
1660	4
1661	2
1662	5
1663	3
1664	1
1665	4
1666	4
1667	3
1668	7
1669	1
1670	8
1671	4
1672	5
1673	3
1674	4
1675	2
1676	3
1677	4
1678	5
1679	2
1680	4
1681	5
1682	4
1683	4
1684	5
1685	2
1686	4
1687	0
1688	6
1689	5
1690	4
1691	4
1692	6
1693	8
1694	4
1695	4
1696	3
1697	6
1698	4
1699	7
1700	3
1701	6
1702	5
1703	1
1704	2
1705	6
1706	4
1707	4
1708	2
1709	7
1710	6
1711	1
1712	3
1713	5
1714	2
1715	7
1716	4
1717	4
1718	3
1719	0
1720	0
1721	6
1722	5
1723	8
1724	8
1725	6
1726	8
1727	4
1728	7
1729	4
1730	8
1731	5
1732	11
1733	5
1734	5
1735	4
1736	9
1737	12
1738	3
1739	2
1740	4
1741	5
1742	6
1743	4
1744	5
1745	4
1746	6
1747	3
1748	8
1749	2
1750	6
1751	5
1752	4
1753	8
1754	4
1755	5
1756	8
1757	9
1758	5
1759	4
1760	3
1761	3
1762	4
1763	5
1764	9
1765	6
1766	4
1767	6
1768	7
1769	9
1770	8
1771	2
1772	9
1773	3
1774	3
1775	9
1776	10
1777	5
1778	8
1779	5
1780	5
1781	5
1782	8
1783	5
1784	6
1785	5
1786	1
1787	5
1788	10
1789	2
1790	6
1791	4
1792	5
1793	3
1794	10
1795	7
1796	6
1797	10
1798	10
1799	3
1800	4
1801	6
1802	6
1803	8
1804	4
1805	4
1806	9
1807	6
1808	13
1809	9
1810	11
1811	10
1812	10
1813	4
1814	6
1815	8
1816	5
1817	5
1818	4
1819	8
1820	9
1821	10
1822	3
1823	4
1824	7
1825	7
1826	6
1827	6
1828	13
1829	5
1830	6
1831	13
1832	5
1833	6
1834	7
1835	10
1836	11
1837	8
1838	4
1839	5
1840	12
1841	10
1842	13
1843	14
1844	13
1845	5
1846	18
1847	10
1848	11
1849	13
1850	6
1851	9
1852	8
1853	13
1854	11
1855	11
1856	10
1857	18
1858	17
1859	19
1860	15
1861	11
1862	17
1863	12
1864	13
1865	15
1866	10
1867	14
1868	19
1869	21
1870	19
1871	14
1872	15
1873	14
1874	20
1875	25
1876	27
1877	15
1878	35
1879	16
1880	20
1881	20
1882	19
1883	22
1884	15
1885	30
1886	19
1887	21
1888	19
1889	22
1890	19
1891	18
1892	31
1893	17
1894	43
1895	25
1896	27
1897	20
1898	22
1899	29
1900	28
1901	25
1902	29
1903	30
1904	26
1905	20
1906	26
1907	23
1908	27
1909	24
1910	37
1911	15
1912	24
1913	33
1914	19
1915	24
1916	23
1917	24
1918	25
1919	29
1920	25
1921	20
1922	28
1923	23
1924	30
1925	12
1926	28
1927	14
1928	29
1929	26
1930	15
1931	13
1932	28
1933	19
1934	27
1935	11
1936	21
1937	15
1938	18
1939	18
1940	13
1941	23
1942	19
1943	14
1944	21
1945	21
1946	9
1947	27
1948	23
1949	20
1950	15
1951	13
1952	21
1953	11
1954	12
1955	9
1956	17
1957	9
1958	14
1959	12
1960	11
1961	19
1962	16
1963	7
1964	12
1965	7
1966	14
1967	7
1968	12
1969	14
1970	12
1971	19
1972	16
1973	12
1974	14
1975	7
1976	13
1977	17
1978	9
1979	8
1980	9
1981	6
1982	13
1983	16
1984	12
1985	9
1986	10
1987	10
1988	9
1989	12
1990	10
1991	5
1992	10
1993	10
1994	9
1995	9
1996	18
1997	6
1998	13
1999	6
2000	7
2001	10
2002	8
2003	9
2004	10
2005	3
2006	5
2007	7
2008	8
2009	6
2010	11
2011	14
2012	7
2013	9
2014	8
2015	7
2016	10
2017	4
2018	7
2019	4
2020	9
2021	2
2022	6
2023	11
2024	2
2025	7
2026	6
2027	3
2028	9
2029	4
2030	6
2031	3
2032	5
