Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	1
57	1
58	0
59	3
60	1
61	2
62	4
63	1
64	1
65	3
66	1
67	4
68	3
69	0
70	0
71	4
72	1
73	1
74	3
75	5
76	4
77	0
78	0
79	1
80	0
81	1
82	1
83	2
84	3
85	1
86	3
87	0
88	2
89	4
90	1
91	0
92	5
93	3
94	1
95	2
96	0
97	3
98	3
99	1
100	3
101	2
102	2
103	1
104	2
105	1
106	2
107	3
108	1
109	3
110	1
111	1
112	2
113	0
114	1
115	1
116	2
117	0
118	1
119	0
120	3
121	3
122	5
123	5
124	0
125	2
126	0
127	3
128	2
129	1
130	1
131	1
132	0
133	1
134	2
135	0
136	1
137	1
138	3
139	1
140	0
141	0
142	1
143	1
144	1
145	1
146	1
147	2
148	2
149	2
150	1
151	1
152	2
153	4
154	2
155	1
156	2
157	0
158	2
159	2
160	1
161	4
162	2
163	1
164	2
165	1
166	2
167	0
168	2
169	2
170	2
171	1
172	2
173	2
174	1
175	3
176	2
177	3
178	0
179	0
180	1
181	1
182	2
183	0
184	1
185	1
186	0
187	4
188	0
189	2
190	1
191	0
192	0
193	1
194	0
195	2
196	2
197	2
198	1
199	0
200	1
201	3
202	1
203	0
204	1
205	2
206	0
207	3
208	1
209	0
210	1
211	2
212	2
213	4
214	2
215	0
216	2
217	1
218	3
219	3
220	3
221	2
222	1
223	1
224	2
225	3
226	1
227	1
228	1
229	0
230	1
231	2
232	0
233	2
234	0
235	2
236	1
237	1
238	2
239	2
240	2
241	1
242	2
243	4
244	1
245	0
246	2
247	2
248	2
249	1
250	2
251	1
252	1
253	1
254	3
255	3
256	0
257	3
258	1
259	3
260	1
261	2
262	2
263	1
264	0
265	1
266	3
267	0
268	3
269	0
270	1
271	3
272	1
273	1
274	3
275	0
276	4
277	2
278	6
279	3
280	1
281	1
282	2
283	4
284	2
285	2
286	2
287	4
288	3
289	3
290	3
291	1
292	2
293	3
294	7
295	1
296	2
297	1
298	2
299	4
300	2
301	2
302	1
303	1
304	2
305	3
306	3
307	2
308	3
309	4
310	3
311	0
312	4
313	3
314	4
315	1
316	2
317	3
318	2
319	8
320	3
321	3
322	7
323	9
324	3
325	4
326	5
327	2
328	4
329	1
330	1
331	4
332	4
333	6
334	1
335	3
336	2
337	3
338	2
339	3
340	3
341	2
342	3
343	3
344	3
345	4
346	3
347	3
348	0
349	2
350	0
351	4
352	1
353	1
354	2
355	3
356	3
357	0
358	1
359	2
360	3
361	2
362	0
363	1
364	2
365	1
366	1
367	1
368	0
369	2
370	3
371	1
372	2
373	0
374	4
375	1
376	1
377	1
378	1
379	2
380	4
381	2
382	2
383	1
384	2
385	0
386	1
387	1
388	0
389	0
390	4
391	3
392	2
393	0
394	0
395	1
396	0
397	2
398	3
399	1
400	2
401	1
402	1
403	3
404	1
405	0
406	1
407	1
408	1
409	0
410	3
411	0
412	3
413	3
414	2
415	2
416	2
417	1
418	2
419	0
420	2
421	1
422	1
423	1
424	1
425	2
426	1
427	0
428	1
429	0
430	0
431	1
432	0
433	0
434	3
435	2
436	1
437	0
438	2
439	1
440	0
441	1
442	3
443	1
444	1
445	1
446	4
447	5
448	1
449	1
450	2
451	1
452	0
453	1
454	2
455	2
456	7
457	3
458	2
459	2
460	1
461	3
462	6
463	2
464	1
465	0
466	0
467	0
468	3
469	2
470	6
471	2
472	3
473	0
474	2
475	2
476	0
477	0
478	0
479	1
480	1
481	0
482	1
483	3
484	4
485	0
486	3
487	2
488	1
489	3
490	6
491	1
492	4
493	4
494	2
495	3
496	4
497	1
498	1
499	2
500	4
501	2
502	2
503	1
504	4
505	0
506	1
507	3
508	1
509	2
510	0
511	2
512	3
513	2
514	3
515	1
516	2
517	1
518	4
519	2
520	3
521	0
522	0
523	0
524	0
525	1
526	2
527	1
528	3
529	1
530	2
531	1
532	2
533	1
534	2
535	0
536	0
537	1
538	2
539	0
540	1
541	4
542	3
543	1
544	1
545	1
546	5
547	1
548	3
549	2
550	1
551	1
552	1
553	2
554	1
555	0
556	0
557	1
558	0
559	2
560	2
561	3
562	3
563	2
564	0
565	3
566	4
567	0
568	1
569	4
570	3
571	1
572	0
573	3
574	1
575	3
576	0
577	4
578	0
579	1
580	0
581	1
582	1
583	2
584	0
585	3
586	2
587	1
588	0
589	2
590	0
591	0
592	3
593	2
594	0
595	0
596	1
597	2
598	3
599	2
600	0
601	1
602	0
603	2
604	0
605	2
606	3
607	3
608	1
609	2
610	2
611	2
612	2
613	0
614	4
615	0
616	4
617	2
618	3
619	4
620	4
621	0
622	2
623	1
624	2
625	4
626	1
627	2
628	3
629	2
630	4
631	3
632	4
633	2
634	3
635	0
636	5
637	3
638	4
639	3
640	0
641	1
642	1
643	3
644	9
645	0
646	5
647	3
648	1
649	2
650	1
651	2
652	3
653	2
654	5
655	1
656	3
657	2
658	2
659	2
660	3
661	0
662	4
663	0
664	0
665	3
666	1
667	2
668	4
669	0
670	1
671	4
672	0
673	4
674	0
675	0
676	0
677	0
678	3
679	1
680	1
681	0
682	3
683	0
684	2
685	2
686	2
687	1
688	2
689	0
690	2
691	4
692	3
693	0
694	0
695	2
696	0
697	1
698	0
699	1
700	3
701	0
702	1
703	0
704	1
705	5
706	0
707	1
708	2
709	1
710	5
711	1
712	1
713	3
714	1
715	1
716	1
717	3
718	1
719	1
720	3
721	1
722	2
723	1
724	0
725	1
726	0
727	2
728	3
729	4
730	2
731	5
732	1
733	3
734	3
735	1
736	2
737	2
738	2
739	4
740	2
741	2
742	1
743	1
744	1
745	3
746	1
747	1
748	3
749	0
750	2
751	1
752	1
753	2
754	5
755	3
756	2
757	1
758	2
759	0
760	1
761	7
762	1
763	1
764	2
765	4
766	2
767	3
768	0
769	2
770	3
771	1
772	6
773	1
774	2
775	1
776	2
777	2
778	3
779	0
780	3
781	3
782	1
783	0
784	2
785	4
786	6
787	3
788	6
789	3
790	1
791	2
792	4
793	4
794	0
795	4
796	4
797	3
798	3
799	0
800	1
801	0
802	1
803	2
804	3
805	3
806	2
807	5
808	3
809	5
810	7
811	2
812	3
813	3
814	1
815	3
816	6
817	0
818	3
819	6
820	4
821	1
822	7
823	3
824	4
825	5
826	6
827	2
828	5
829	3
830	3
831	5
832	5
833	10
834	6
835	6
836	6
837	5
838	8
839	8
840	8
841	7
842	7
843	2
844	7
845	4
846	7
847	5
848	6
849	7
850	9
851	11
852	9
853	12
854	8
855	13
856	12
857	7
858	8
859	11
860	15
861	14
862	10
863	23
864	16
865	14
866	19
867	14
868	27
869	19
870	21
871	25
872	29
873	30
874	30
875	26
876	33
877	30
878	31
879	25
880	39
881	43
882	42
883	32
884	44
885	31
886	59
887	49
888	37
889	61
890	37
891	67
892	65
893	70
894	60
895	92
896	35
897	55
898	60
899	58
900	73
901	62
902	72
903	44
904	71
905	69
906	66
907	68
908	69
909	50
910	77
911	58
912	80
913	61
914	58
915	61
916	56
917	41
918	76
919	42
920	48
921	44
922	50
923	43
924	38
925	33
926	53
927	42
928	48
929	45
930	30
931	29
932	38
933	20
934	36
935	34
936	27
937	30
938	26
939	19
940	34
941	24
942	28
943	10
944	17
945	28
946	14
947	19
948	13
949	22
950	18
951	14
952	11
953	11
954	5
955	13
956	14
957	12
958	14
959	10
960	3
961	6
962	10
963	8
964	16
965	7
966	8
967	7
968	10
969	10
970	8
971	6
972	6
973	8
974	8
975	12
976	6
977	10
978	8
979	3
980	10
981	8
982	7
983	5
984	8
985	14
986	8
987	11
988	11
989	9
990	10
991	18
992	12
993	11
994	9
995	10
996	14
997	9
998	13
999	8
1000	15
1001	9
1002	13
1003	12
1004	17
1005	16
1006	13
1007	10
1008	14
1009	9
1010	14
1011	16
1012	24
1013	7
1014	16
1015	17
1016	9
1017	12
1018	13
1019	19
1020	10
1021	19
1022	16
1023	22
1024	4
1025	13
1026	15
1027	14
1028	10
1029	12
1030	9
1031	14
1032	9
1033	10
1034	11
1035	17
1036	7
1037	13
1038	12
1039	3
1040	8
1041	8
1042	7
1043	11
1044	10
1045	11
1046	11
1047	10
1048	3
1049	10
1050	9
1051	11
1052	8
1053	5
1054	9
1055	13
1056	5
1057	5
1058	3
1059	1
1060	3
1061	2
1062	7
1063	6
1064	4
1065	4
1066	1
1067	2
1068	8
1069	3
1070	6
1071	6
1072	6
1073	4
1074	5
1075	5
1076	5
1077	6
1078	11
1079	4
1080	2
1081	9
1082	3
1083	4
1084	5
1085	14
1086	7
1087	18
1088	4
1089	7
1090	10
1091	11
1092	19
1093	10
1094	23
1095	12
1096	8
1097	13
1098	20
1099	17
1100	24
1101	19
1102	21
1103	26
1104	16
1105	28
1106	30
1107	26
1108	28
1109	29
1110	36
1111	30
1112	27
1113	39
1114	36
1115	43
1116	48
1117	36
1118	48
1119	51
1120	35
1121	41
1122	48
1123	50
1124	58
1125	34
1126	62
1127	50
1128	50
1129	59
1130	49
1131	59
1132	57
1133	40
1134	58
1135	58
1136	39
1137	30
1138	52
1139	57
1140	47
1141	48
1142	60
1143	57
1144	37
1145	63
1146	46
1147	47
1148	50
1149	44
1150	41
1151	80
1152	28
1153	48
1154	41
1155	41
1156	47
1157	34
1158	42
1159	33
1160	36
1161	46
1162	39
1163	25
1164	39
1165	31
1166	30
1167	28
1168	20
1169	18
1170	36
1171	28
1172	25
1173	16
1174	33
1175	13
1176	15
1177	25
1178	8
1179	14
1180	11
1181	14
1182	8
1183	18
1184	9
1185	10
1186	14
1187	8
1188	12
1189	6
1190	9
1191	1
1192	9
1193	5
1194	6
1195	7
1196	8
1197	1
1198	6
1199	5
1200	7
1201	2
1202	5
1203	3
1204	4
1205	3
1206	2
1207	4
1208	3
1209	4
1210	6
1211	4
1212	1
1213	1
1214	5
1215	9
1216	1
1217	1
1218	3
1219	7
1220	6
1221	1
1222	6
1223	2
1224	3
1225	8
1226	6
1227	2
1228	4
1229	0
1230	2
1231	2
1232	1
1233	4
1234	3
1235	3
1236	5
1237	3
1238	3
1239	3
1240	2
1241	2
1242	4
1243	1
1244	3
1245	1
1246	1
1247	2
1248	1
1249	1
1250	4
1251	1
1252	1
1253	5
1254	6
1255	0
1256	0
1257	4
1258	1
1259	1
1260	3
1261	0
1262	1
1263	1
1264	1
1265	4
1266	3
1267	3
1268	5
1269	2
1270	7
1271	3
1272	2
1273	2
1274	3
1275	5
1276	1
1277	5
1278	4
1279	3
1280	0
1281	5
1282	2
1283	4
1284	3
1285	5
1286	4
1287	3
1288	5
1289	2
1290	2
1291	2
1292	4
1293	7
1294	0
1295	0
1296	4
1297	6
1298	3
1299	6
1300	3
1301	4
1302	2
1303	4
1304	3
1305	2
1306	2
1307	8
1308	5
1309	4
1310	8
1311	5
1312	6
1313	8
1314	2
1315	7
1316	3
1317	5
1318	6
1319	5
1320	3
1321	5
1322	10
1323	8
1324	4
1325	11
1326	8
1327	4
1328	5
1329	11
1330	5
1331	14
1332	5
1333	12
1334	7
1335	6
1336	7
1337	12
1338	17
1339	10
1340	14
1341	17
1342	7
1343	20
1344	10
1345	12
1346	10
1347	12
1348	22
1349	14
1350	27
1351	19
1352	22
1353	17
1354	9
1355	23
1356	33
1357	23
1358	26
1359	30
1360	27
1361	32
1362	32
1363	38
1364	34
1365	30
1366	43
1367	30
1368	30
1369	37
1370	37
1371	54
1372	41
1373	46
1374	51
1375	43
1376	33
1377	50
1378	46
1379	50
1380	69
1381	38
1382	63
1383	53
1384	52
1385	61
1386	45
1387	53
1388	80
1389	49
1390	62
1391	43
1392	48
1393	48
1394	64
1395	49
1396	53
1397	42
1398	63
1399	41
1400	50
1401	47
1402	45
1403	45
1404	43
1405	41
1406	49
1407	49
1408	41
1409	34
1410	40
1411	33
1412	54
1413	27
1414	37
1415	30
1416	35
1417	38
1418	34
1419	23
1420	35
1421	26
1422	33
1423	19
1424	21
1425	24
1426	30
1427	21
1428	20
1429	12
1430	18
1431	13
1432	19
1433	19
1434	18
1435	22
1436	12
1437	6
1438	14
1439	19
1440	9
1441	9
1442	14
1443	11
1444	13
1445	13
1446	16
1447	6
1448	11
1449	13
1450	9
1451	5
1452	4
1453	3
1454	3
1455	0
1456	7
1457	3
1458	7
1459	5
1460	3
1461	3
1462	4
1463	2
1464	2
1465	4
1466	4
1467	3
1468	3
1469	0
1470	5
1471	2
1472	2
1473	5
1474	3
1475	1
1476	2
1477	1
1478	2
1479	3
1480	1
1481	2
1482	4
1483	7
1484	0
1485	1
1486	1
1487	5
1488	2
1489	3
1490	5
1491	4
1492	5
1493	1
1494	5
1495	2
1496	2
1497	2
1498	1
1499	1
1500	4
1501	0
1502	2
1503	3
1504	2
1505	3
1506	3
1507	1
1508	3
1509	0
1510	1
1511	3
1512	2
1513	1
1514	1
1515	2
1516	2
1517	4
1518	1
1519	3
1520	0
1521	0
1522	1
1523	2
1524	4
1525	1
1526	2
1527	1
1528	4
1529	3
1530	1
1531	3
1532	3
1533	1
1534	1
1535	4
1536	1
1537	2
1538	1
1539	0
1540	2
1541	2
1542	1
1543	2
1544	1
1545	2
1546	1
1547	1
1548	5
1549	2
1550	1
1551	4
1552	4
1553	3
1554	2
1555	0
1556	3
1557	4
1558	6
1559	1
1560	0
1561	3
1562	2
1563	3
1564	2
1565	0
1566	0
1567	3
1568	1
1569	1
1570	2
1571	3
1572	2
1573	1
1574	3
1575	0
1576	3
1577	3
1578	0
1579	3
1580	3
1581	3
1582	4
1583	2
1584	3
1585	1
1586	4
1587	1
1588	5
1589	2
1590	2
1591	0
1592	4
1593	3
1594	2
1595	5
1596	2
1597	3
1598	4
1599	6
1600	1
1601	1
1602	3
1603	3
1604	3
1605	2
1606	4
1607	4
1608	1
1609	1
1610	2
1611	3
1612	7
1613	1
1614	3
1615	5
1616	7
1617	7
1618	4
1619	5
1620	4
1621	2
1622	5
1623	2
1624	5
1625	6
1626	5
1627	8
1628	2
1629	8
1630	9
1631	7
1632	7
1633	10
1634	4
1635	6
1636	12
1637	7
1638	6
1639	4
1640	8
1641	9
1642	6
1643	4
1644	9
1645	7
1646	12
1647	8
1648	11
1649	11
1650	5
1651	6
1652	10
1653	6
1654	13
1655	5
1656	5
1657	9
1658	5
1659	7
1660	9
1661	4
1662	11
1663	7
1664	6
1665	8
1666	5
1667	12
1668	11
1669	7
1670	9
1671	6
1672	12
1673	11
1674	7
1675	13
1676	11
1677	11
1678	7
1679	5
1680	5
1681	4
1682	12
1683	5
1684	3
1685	5
1686	10
1687	4
1688	2
1689	7
1690	7
1691	8
1692	6
1693	5
1694	3
1695	7
1696	6
1697	4
1698	4
1699	11
1700	9
1701	5
1702	5
1703	4
1704	8
1705	4
1706	5
1707	4
1708	6
1709	5
1710	5
1711	3
1712	1
1713	5
1714	4
1715	4
1716	6
1717	3
1718	5
1719	2
1720	5
1721	0
1722	3
1723	2
1724	4
1725	5
1726	2
1727	4
1728	3
1729	3
1730	2
1731	1
1732	3
1733	3
1734	3
1735	0
1736	2
1737	3
1738	2
1739	1
1740	2
1741	4
1742	4
1743	4
1744	1
1745	3
1746	0
1747	4
1748	2
1749	0
1750	0
1751	0
1752	3
1753	3
1754	2
1755	4
1756	1
1757	0
1758	2
1759	2
1760	1
1761	2
1762	3
1763	4
1764	3
1765	3
1766	2
1767	1
1768	1
1769	5
1770	0
1771	4
1772	1
1773	2
1774	1
1775	3
1776	2
1777	5
1778	3
1779	3
1780	3
1781	0
1782	3
1783	2
1784	1
1785	2
1786	2
1787	0
1788	2
1789	4
1790	2
1791	6
1792	2
1793	3
1794	7
1795	2
1796	7
1797	2
1798	0
1799	3
1800	3
1801	1
1802	0
1803	1
1804	1
1805	1
1806	1
1807	2
1808	3
1809	5
1810	1
1811	3
1812	2
1813	2
1814	2
1815	1
1816	0
1817	3
1818	1
1819	4
1820	3
1821	1
1822	1
1823	1
1824	2
1825	1
1826	4
1827	3
1828	1
1829	2
1830	1
1831	1
1832	1
1833	5
1834	0
1835	3
1836	4
1837	0
1838	3
1839	3
1840	2
1841	6
1842	1
1843	1
1844	3
1845	1
1846	3
1847	0
1848	1
1849	1
1850	2
1851	5
1852	5
1853	3
1854	1
1855	4
1856	5
1857	4
1858	7
1859	2
1860	4
1861	4
1862	2
1863	1
1864	4
1865	8
1866	4
1867	3
1868	4
1869	5
1870	6
1871	4
1872	2
1873	1
1874	2
1875	3
1876	7
1877	2
1878	6
1879	3
1880	12
1881	10
1882	7
1883	4
1884	6
1885	6
1886	7
1887	4
1888	8
1889	5
1890	3
1891	3
1892	9
1893	8
1894	9
1895	3
1896	8
1897	14
1898	5
1899	10
1900	10
1901	6
1902	2
1903	5
1904	6
1905	8
1906	12
1907	6
1908	14
1909	4
1910	8
1911	3
1912	14
1913	12
1914	7
1915	11
1916	7
1917	10
1918	7
1919	4
1920	1
1921	6
1922	4
1923	6
1924	8
1925	5
1926	7
1927	5
1928	8
1929	14
1930	4
1931	9
1932	11
1933	2
1934	6
1935	2
1936	5
1937	7
1938	8
1939	4
1940	7
1941	9
1942	14
1943	4
1944	9
1945	15
1946	3
1947	7
1948	5
1949	7
1950	4
1951	8
1952	12
1953	10
1954	5
1955	5
1956	12
1957	7
1958	17
1959	4
1960	6
1961	11
1962	1
1963	4
1964	7
1965	5
1966	7
1967	5
1968	10
1969	5
1970	8
1971	7
1972	11
1973	9
1974	3
1975	4
1976	5
1977	10
1978	9
1979	7
1980	5
1981	5
1982	4
1983	6
1984	4
1985	9
1986	6
1987	4
1988	2
1989	4
1990	10
1991	2
1992	4
1993	10
1994	3
1995	6
1996	7
1997	9
1998	6
1999	1
2000	6
2001	7
2002	4
2003	6
2004	3
2005	10
2006	4
2007	3
2008	1
2009	7
2010	1
2011	5
2012	5
2013	2
2014	4
2015	3
2016	0
2017	2
2018	3
2019	4
2020	4
2021	5
2022	4
2023	2
2024	5
2025	0
2026	1
2027	2
2028	3
2029	3
2030	4
2031	3
2032	5
