Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,-0.408683402463794,0.10135680437088,
Firmware Version:,02.50.2019022736,,-0.0249496,-0.46335675753653,0.149598004296422,
Start Time:,2023-04-17 16:09:16.756,,-0.0248992,-0.46335675753653,0.197839204221964,
,,,-0.0248488,-0.490693435072899,0.254120604135096,
Analog Sample Count:,992,,-0.0247984,-0.46335675753653,0.189799004234374,
Function Sample Count:,0,,-0.024748,-0.46335675753653,0.238040204159915,
Waveform Memory Sample Count:,0,,-0.0246976,-0.436020080000162,0.294321604073048,
Digital Sample Count:,0,,-0.0246472,-0.436020080000162,0.310402004048228,
,,,-0.0245968,-0.46335675753653,0.278241204097867,
Setup Text Information:,,,-0.0245464,-0.46335675753653,0.278241204097867,
ANALOG,,,-0.024496,-0.46335675753653,0.246080404147506,
Channel 1,,,-0.0244456,-0.490693435072899,0.270201004110277,
Scale,680 mV/,,-0.0243952,-0.381346724927425,0.278241204097867,
Pos,-272 mV,,-0.0243448,-0.46335675753653,0.294321604073048,
Coup,,,-0.0242944,-0.436020080000162,0.157638204284012,
BW,Off,,-0.024244,-0.436020080000162,0.230000004172325,
Inv,Off,,-0.0241936,-0.436020080000162,0.181758804246783,
Imp,1M Ohm,,-0.0241432,-0.436020080000162,0.197839204221964,
Trace Label,1,,-0.0240928,-0.46335675753653,0.149598004296422,
Probe,1,,-0.0240424,-0.436020080000162,0.181758804246783,
Skew,0 s,,-0.023992,-0.436020080000162,0.0772362044081092,
,,,-0.0239416,-0.46335675753653,0.0852764043956995,
Channel 2,,,-0.0238912,-0.436020080000162,0.0852764043956995,
Scale,200 mV/,,-0.0238408,-0.46335675753653,-0.0192461954429746,
Pos,230 mV,,-0.0237904,-0.436020080000162,0.00487440451979637,
Coup,,,-0.02374,-0.408683402463794,0.0531156044453382,
BW,Off,,-0.0236896,-0.46335675753653,0.00487440451979637,
Inv,Off,,-0.0236392,-0.436020080000162,0.0129146045073867,
Imp,1M Ohm,,-0.0235888,-0.436020080000162,0.020954804494977,
Trace Label,2,,-0.0235384,-0.490693435072899,0.0370352044701576,
Probe,1,,-0.023488,-0.408683402463794,-0.0192461954429746,
Skew,0 s,,-0.0234376,-0.408683402463794,-0.107688395306468,
,,,-0.0233872,-0.46335675753653,-0.0353265954181552,
MATH,,,-0.0233368,-0.46335675753653,-0.0112059954553843,
REFERENCE WAVEFORM,,,-0.0232864,-0.408683402463794,0.00487440451979637,
TRIGGER,,,-0.023236,-0.408683402463794,-0.0353265954181552,
Sweep Mode,NORM,,-0.0231856,-0.436020080000162,-0.0674873953685164,
Coup,DC,,-0.0231352,-0.436020080000162,-0.0353265954181552,
Noise Rej,Off,,-0.0230848,-0.490693435072899,-0.0514069953933358,
HF Rej,Off,,-0.0230344,-0.436020080000162,-0.107688395306468,
Holdoff,40.0 ns,,-0.022984,-0.408683402463794,-0.0594471953809261,
Mode,EDGE,,-0.0229336,-0.46335675753653,-0.0674873953685164,
Source,CHAN1,,-0.0228832,-0.490693435072899,-0.115728595294058,
Slope,POS,,-0.0228328,-0.46335675753653,-0.107688395306468,
Level,-20 mV V,,-0.0227824,-0.408683402463794,-0.14788939524442,
,,,-0.022732,-0.436020080000162,-0.115728595294058,
HORIZONTAL,,,-0.0226816,-0.436020080000162,-0.0594471953809261,
Mode,MAIN,,-0.0226312,-0.46335675753653,-0.15592959523201,
Ref,CENT,,-0.0225808,-0.408683402463794,-0.0594471953809261,
Main Scale,5 ms/,,-0.0225304,-0.408683402463794,-0.115728595294058,
Main Delay,0 s,,-0.02248,-0.408683402463794,-0.123768795281649,
,,,-0.0224296,-0.436020080000162,-0.0674873953685164,
ACQUISITION,,,-0.0223792,-0.46335675753653,-0.123768795281649,
Mode,NORM,,-0.0223288,-0.436020080000162,-0.139849195256829,
RealTime,On,,-0.0222784,-0.408683402463794,-0.131808995269239,
Vectors,On,,-0.022228,-0.408683402463794,-0.131808995269239,
Persistence,Off,,-0.0221776,-0.408683402463794,-0.139849195256829,
,,,-0.0221272,-0.381346724927425,-0.123768795281649,
,,,-0.0220768,-0.408683402463794,-0.0835677953436971,
,,,-0.0220264,-0.408683402463794,-0.172009995207191,
,,,-0.021976,-0.354010047391057,-0.115728595294058,
,,,-0.0219256,-0.408683402463794,-0.180050195194781,
,,,-0.0218752,-0.381346724927425,-0.180050195194781,
,,,-0.0218248,-0.354010047391057,-0.1639697952196,
,,,-0.0217744,-0.381346724927425,-0.123768795281649,
,,,-0.021724,-0.381346724927425,-0.0112059954553843,
,,,-0.0216736,-0.408683402463794,-0.0674873953685164,
,,,-0.0216232,-0.381346724927425,-0.139849195256829,
,,,-0.0215728,-0.354010047391057,-0.0835677953436971,
,,,-0.0215224,-0.326673369854689,-0.0996481953188777,
,,,-0.021472,-0.354010047391057,-0.0514069953933358,
,,,-0.0214216,-0.354010047391057,-0.0272863954305649,
,,,-0.0213712,-0.29933669231832,-0.123768795281649,
,,,-0.0213208,-0.354010047391057,-0.0755275953561068,
,,,-0.0212704,-0.326673369854689,-0.0996481953188777,
,,,-0.02122,-0.29933669231832,-0.0835677953436971,
,,,-0.0211696,-0.326673369854689,-0.115728595294058,
,,,-0.0211192,-0.272000014781952,-0.0514069953933358,
,,,-0.0210688,-0.29933669231832,-0.0755275953561068,
,,,-0.0210184,-0.29933669231832,-0.115728595294058,
,,,-0.020968,-0.272000014781952,-0.0674873953685164,
,,,-0.0209176,-0.272000014781952,-0.0272863954305649,
,,,-0.0208672,-0.272000014781952,-0.0514069953933358,
,,,-0.0208168,-0.217326659709215,-0.107688395306468,
,,,-0.0207664,-0.244663337245584,-0.0755275953561068,
,,,-0.020716,-0.244663337245584,-0.0916079953312874,
,,,-0.0206656,-0.217326659709215,-0.0996481953188777,
,,,-0.0206152,-0.244663337245584,-0.0353265954181552,
