Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,-0.46335675753653,0.246080404147506,
Firmware Version:,02.50.2019022736,,-0.0249496,-0.436020080000162,0.334522604010999,
Start Time:,2023-04-17 16:10:03.715,,-0.0248992,-0.46335675753653,0.302361804060638,
,,,-0.0248488,-0.518030112609267,0.34256280399859,
Analog Sample Count:,992,,-0.0247984,-0.436020080000162,0.422964803874493,
Function Sample Count:,0,,-0.024748,-0.436020080000162,0.447085403837264,
Waveform Memory Sample Count:,0,,-0.0246976,-0.46335675753653,0.439045203849673,
Digital Sample Count:,0,,-0.0246472,-0.436020080000162,0.471206003800035,
,,,-0.0245968,-0.490693435072899,0.463165803812444,
Setup Text Information:,,,-0.0245464,-0.46335675753653,0.479246203787625,
ANALOG,,,-0.024496,-0.490693435072899,0.463165803812444,
Channel 1,,,-0.0244456,-0.518030112609267,0.463165803812444,
Scale,680 mV/,,-0.0243952,-0.490693435072899,0.455125603824854,
Pos,-272 mV,,-0.0243448,-0.46335675753653,0.398844203911722,
Coup,,,-0.0242944,-0.46335675753653,0.382763803936541,
BW,Off,,-0.024244,-0.490693435072899,0.35060300398618,
Inv,Off,,-0.0241936,-0.408683402463794,0.294321604073048,
Imp,1M Ohm,,-0.0241432,-0.436020080000162,0.213919604197145,
Trace Label,1,,-0.0240928,-0.46335675753653,0.165678404271603,
Probe,1,,-0.0240424,-0.46335675753653,0.221959804184735,
Skew,0 s,,-0.023992,-0.436020080000162,0.181758804246783,
,,,-0.0239416,-0.46335675753653,0.0611558044329286,
Channel 2,,,-0.0238912,-0.46335675753653,0.0691960044205189,
Scale,200 mV/,,-0.0238408,-0.436020080000162,0.10135680437088,
Pos,230 mV,,-0.0237904,-0.46335675753653,-0.0192461954429746,
Coup,,,-0.02374,-0.46335675753653,-0.0514069953933358,
BW,Off,,-0.0236896,-0.436020080000162,-0.0192461954429746,
Inv,Off,,-0.0236392,-0.436020080000162,-0.0674873953685164,
Imp,1M Ohm,,-0.0235888,-0.46335675753653,-0.0433667954057455,
Trace Label,2,,-0.0235384,-0.436020080000162,-0.0594471953809261,
Probe,1,,-0.023488,-0.436020080000162,-0.0835677953436971,
Skew,0 s,,-0.0234376,-0.46335675753653,-0.0755275953561068,
,,,-0.0233872,-0.46335675753653,-0.0514069953933358,
MATH,,,-0.0233368,-0.436020080000162,-0.115728595294058,
REFERENCE WAVEFORM,,,-0.0232864,-0.436020080000162,-0.131808995269239,
TRIGGER,,,-0.023236,-0.436020080000162,-0.0674873953685164,
Sweep Mode,NORM,,-0.0231856,-0.436020080000162,-0.172009995207191,
Coup,DC,,-0.0231352,-0.436020080000162,-0.172009995207191,
Noise Rej,Off,,-0.0230848,-0.46335675753653,-0.14788939524442,
HF Rej,Off,,-0.0230344,-0.46335675753653,-0.180050195194781,
Holdoff,40.0 ns,,-0.022984,-0.408683402463794,-0.1639697952196,
Mode,EDGE,,-0.0229336,-0.436020080000162,-0.15592959523201,
Source,CHAN1,,-0.0228832,-0.436020080000162,-0.188090395182371,
Slope,POS,,-0.0228328,-0.436020080000162,-0.1639697952196,
Level,-20 mV V,,-0.0227824,-0.46335675753653,-0.172009995207191,
,,,-0.022732,-0.408683402463794,-0.180050195194781,
HORIZONTAL,,,-0.0226816,-0.408683402463794,-0.14788939524442,
Mode,MAIN,,-0.0226312,-0.408683402463794,-0.139849195256829,
Ref,CENT,,-0.0225808,-0.408683402463794,-0.139849195256829,
Main Scale,5 ms/,,-0.0225304,-0.436020080000162,-0.196130595169961,
Main Delay,0 s,,-0.02248,-0.381346724927425,-0.188090395182371,
,,,-0.0224296,-0.436020080000162,-0.204170795157552,
ACQUISITION,,,-0.0223792,-0.381346724927425,-0.188090395182371,
Mode,NORM,,-0.0223288,-0.381346724927425,-0.139849195256829,
RealTime,On,,-0.0222784,-0.436020080000162,-0.139849195256829,
Vectors,On,,-0.022228,-0.436020080000162,-0.228291395120323,
Persistence,Off,,-0.0221776,-0.408683402463794,-0.196130595169961,
,,,-0.0221272,-0.381346724927425,-0.15592959523201,
,,,-0.0220768,-0.354010047391057,-0.115728595294058,
,,,-0.0220264,-0.354010047391057,-0.15592959523201,
,,,-0.021976,-0.381346724927425,-0.236331595107913,
,,,-0.0219256,-0.381346724927425,-0.131808995269239,
,,,-0.0218752,-0.354010047391057,-0.212210995145142,
,,,-0.0218248,-0.354010047391057,-0.115728595294058,
,,,-0.0217744,-0.381346724927425,-0.180050195194781,
,,,-0.021724,-0.354010047391057,-0.188090395182371,
,,,-0.0216736,-0.354010047391057,-0.15592959523201,
,,,-0.0216232,-0.381346724927425,-0.115728595294058,
,,,-0.0215728,-0.326673369854689,-0.131808995269239,
,,,-0.0215224,-0.326673369854689,-0.172009995207191,
,,,-0.021472,-0.326673369854689,-0.15592959523201,
,,,-0.0214216,-0.354010047391057,-0.0835677953436971,
,,,-0.0213712,-0.29933669231832,-0.0916079953312874,
,,,-0.0213208,-0.29933669231832,-0.0996481953188777,
,,,-0.0212704,-0.29933669231832,-0.107688395306468,
,,,-0.02122,-0.272000014781952,-0.0353265954181552,
,,,-0.0211696,-0.272000014781952,-0.0916079953312874,
,,,-0.0211192,-0.29933669231832,-0.15592959523201,
,,,-0.0210688,-0.272000014781952,-0.0835677953436971,
,,,-0.0210184,-0.29933669231832,-0.123768795281649,
,,,-0.020968,-0.272000014781952,-0.0835677953436971,
,,,-0.0209176,-0.272000014781952,-0.1639697952196,
,,,-0.0208672,-0.217326659709215,-0.0916079953312874,
,,,-0.0208168,-0.272000014781952,-0.115728595294058,
,,,-0.0207664,-0.217326659709215,-0.123768795281649,
,,,-0.020716,-0.217326659709215,-0.0835677953436971,
,,,-0.0206656,-0.189989982172847,-0.115728595294058,
,,,-0.0206152,-0.217326659709215,-0.139849195256829,
,,,-0.0205648,-0.217326659709215,-0.0996481953188777,
,,,-0.0205144,-0.217326659709215,-0.14788939524442,
,,,-0.020464,-0.217326659709215,-0.0755275953561068,
,,,-0.0204136,-0.217326659709215,-0.115728595294058,
,,,-0.0203632,-0.162653304636478,-0.123768795281649,
,,,-0.0203128,-0.162653304636478,-0.131808995269239,
,,,-0.0202624,-0.162653304636478,-0.139849195256829,
,,,-0.020212,-0.162653304636478,-0.0514069953933358,
,,,-0.0201616,-0.189989982172847,-0.0996481953188777,
,,,-0.0201112,-0.13531662710011,-0.0835677953436971,
,,,-0.0200608,-0.13531662710011,-0.0755275953561068,
,,,-0.0200104,-0.0806432720273733,-0.0594471953809261,
,,,-0.01996,-0.13531662710011,-0.0353265954181552,
,,,-0.0199096,-0.107979949563742,-0.0674873953685164,
,,,-0.0198592,-0.13531662710011,-0.0755275953561068,
,,,-0.0198088,-0.13531662710011,-0.0996481953188777,
,,,-0.0197584,-0.107979949563742,-0.107688395306468,
,,,-0.019708,-0.107979949563742,-0.0996481953188777,
,,,-0.0196576,-0.107979949563742,-0.0353265954181552,
,,,-0.0196072,-0.0806432720273733,-0.0916079953312874,
,,,-0.0195568,-0.0259699169546366,-0.0996481953188777,
,,,-0.0195064,-0.0259699169546366,-0.123768795281649,
,,,-0.019456,0.0013667605817318,-0.0594471953809261,
,,,-0.0194056,-0.0533065944910049,-0.0272863954305649,
,,,-0.0193552,-0.0806432720273733,-0.0112059954553843,
,,,-0.0193048,0.0013667605817318,-0.0996481953188777,
,,,-0.0192544,0.0287034381181002,-0.0835677953436971,
,,,-0.019204,-0.0259699169546366,-0.0835677953436971,
,,,-0.0191536,0.0013667605817318,-0.0272863954305649,
,,,-0.0191032,0.0013667605817318,-0.0353265954181552,
,,,-0.0190528,-0.0259699169546366,-0.123768795281649,
,,,-0.0190024,-0.0259699169546366,-0.0514069953933358,
,,,-0.018952,0.0013667605817318,-0.0755275953561068,
,,,-0.0189016,0.0013667605817318,-0.0916079953312874,
,,,-0.0188512,0.0287034381181002,-0.0755275953561068,
,,,-0.0188008,0.0560401156544685,-0.0272863954305649,
,,,-0.0187504,0.0560401156544685,-0.0996481953188777,
,,,-0.0187,0.0013667605817318,-0.0353265954181552,
,,,-0.0186496,0.0287034381181002,-0.0514069953933358,
,,,-0.0185992,0.0833767931908369,-0.0514069953933358,
,,,-0.0185488,0.0833767931908369,-0.107688395306468,
,,,-0.0184984,0.138050148263574,-0.0594471953809261,
,,,-0.018448,0.110713470727205,-0.00316579546779394,
,,,-0.0183976,0.0833767931908369,-0.0674873953685164,
,,,-0.0183472,0.110713470727205,-0.0353265954181552,
,,,-0.0182968,0.0560401156544685,0.00487440451979637,
