Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,0.421316583990119,-0.0510804271325469,
Firmware Version:,02.50.2019022736,,-0.0249479166675,0.420060302596539,-0.0711809294298291,
Start Time:,2023-04-17 16:33:36.549,,-0.024895833335,0.418804021202959,-0.0850000247592106,
,,,-0.0248437500025,0.416291458415799,-0.108869371237233,
Analog Sample Count:,960,,-0.02479166667,0.416291458415799,-0.110125652630813,
Function Sample Count:,0,,-0.0247395833375,0.416291458415799,-0.117663340992294,
Waveform Memory Sample Count:,0,,-0.024687500005,0.415035177022219,-0.126457310747355,
Digital Sample Count:,0,,-0.0246354166725,0.413778895628639,-0.128969873534516,
,,,-0.02458333334,0.412522614235058,-0.144045250257477,
Setup Text Information:,,,-0.0245312500075,0.412522614235058,-0.152839220012538,
ANALOG,,,-0.024479166675,0.411266332841478,-0.137763843289576,
Channel 1,,,-0.0244270833425,0.410010051447898,-0.128969873534516,
Scale,500 mV/,,-0.02437500001,0.407497488660738,-0.159120626980439,
Pos,-992 mV,,-0.0243229166775,0.406241207267158,-0.182989973458461,
Coup,,,-0.024270833345,0.404984925873578,-0.16917087812908,
BW,Off,,-0.0242187500125,0.404984925873578,-0.154095501406118,
Inv,Off,,-0.02416666668,0.402472363086417,-0.196809068787843,
Imp,1M Ohm,,-0.0241145833475,0.401216081692837,-0.155351782799698,
Trace Label,1,,-0.024062500015,0.399959800299257,-0.130226154928096,
Probe,1,,-0.0240104166825,0.398703518905677,-0.184246254852042,
Skew,0 s,,-0.02395833335,0.397447237512097,-0.132738717715256,
,,,-0.0239062500175,0.396190956118517,-0.182989973458461,
Channel 2,,,-0.023854166685,0.393678393331356,-0.156608064193279,
Scale,500 mV/,,-0.0238020833525,0.391165830544196,-0.164145752554759,
Pos,1.165 V,,-0.02375000002,0.388653267757036,-0.193040224607103,
Coup,,,-0.0236979166875,0.386140704969876,-0.155351782799698,
BW,Off,,-0.023645833355,0.381115579395555,-0.17293972230982,
Inv,Off,,-0.0235937500225,0.378603016608395,-0.186758817639202,
Imp,1M Ohm,,-0.02354166669,0.376090453821234,-0.149070375831798,
Trace Label,2,,-0.0234895833575,0.371065328246914,-0.176708566490561,
Probe,1,,-0.023437500025,0.366040202672593,-0.17168344091624,
Skew,0 s,,-0.0233854166925,0.361015077098273,-0.17293972230982,
,,,-0.02333333336,0.355989951523952,-0.159120626980439,
MATH,,,-0.0232812500275,0.348452263162471,-0.131482436321676,
REFERENCE WAVEFORM,,,-0.023229166695,0.343427137588151,-0.0950502759078518,
TRIGGER,,,-0.0231770833625,0.33840201201383,-0.0850000247592106,
Sweep Mode,NORM,,-0.02312500003,0.33337688643951,-0.0925377131206915,
Coup,DC,,-0.0230729166975,0.328351760865189,-0.105100527056493,
Noise Rej,Off,,-0.023020833365,0.322070353897288,-0.0837437433656305,
HF Rej,Off,,-0.0229687500325,0.315788946929388,-0.0937939945142716,
Holdoff,40.0 ns,,-0.0229166667,0.309507539961487,-0.0900251503335312,
Mode,EDGE,,-0.0228645833675,0.303226132993586,-0.061130678281188,
Source,CHAN1,,-0.022812500035,0.298201007419266,-0.0925377131206915,
Slope,POS,,-0.0227604167025,0.290663319057785,-0.100075401482172,
Level,-12 mV V,,-0.02270833337,0.284381912089884,-0.0648995224619284,
,,,-0.0226562500375,0.276844223728403,-0.0875125875463709,
HORIZONTAL,,,-0.022604166705,0.270562816760503,-0.101331682875752,
Mode,MAIN,,-0.0225520833725,0.264281409792602,-0.0799748991848901,
Ref,CENT,,-0.02250000004,0.256743721431121,-0.0850000247592106,
Main Scale,5 ms/,,-0.0224479167075,0.24920603306964,-0.0573618341004476,
Main Delay,0 s,,-0.022395833375,0.240412063314579,-0.0397738945903257,
,,,-0.0223437500425,0.232874374953099,-0.0510804271325469,
ACQUISITION,,,-0.02229166671,0.225336686591618,-0.0686683666426688,
Mode,HRES,,-0.0222395833775,0.217798998230137,-0.100075401482172,
RealTime,On,,-0.022187500045,0.209005028475076,-0.0875125875463709,
Vectors,On,,-0.0221354167125,0.201467340113595,-0.0648995224619284,
Persistence,Off,,-0.02208333338,0.193929651752114,-0.0648995224619284,
,,,-0.0220312500475,0.186391963390633,-0.07871861779131,
MEASUREMENTS,,,-0.021979166715,0.178854275029153,-0.0636432410683483,
Maximum(1),,,-0.0219270833825,0.171316586667672,-0.0736934922169894,
Cur,0.44 V,,-0.02187500005,0.162522616912611,-0.0711809294298291,
,,,-0.0218229167175,0.15624120994471,-0.0837437433656305,
Minimum(1),,,-0.021770833385,0.148703521583229,-0.0850000247592106,
Cur,-0.45 V,,-0.0217187500525,0.141165833221748,-0.0875125875463709,
,,,-0.02166666672,0.132371863466688,-0.07871861779131,
Minimum(2),,,-0.0216145833875,0.124834175105207,-0.0674120852490887,
Cur,-0.21 V,,-0.021562500055,0.117296486743726,-0.061130678281188,
,,,-0.0215104167225,0.111015079775825,-0.0774623363977298,
,,,-0.02145833339,0.103477391414344,-0.0762060550041497,
,,,-0.0214062500575,0.0971959844464436,-0.061130678281188,
,,,-0.021354166725,0.0896582960849628,-0.0548492713132873,
,,,-0.0213020833925,0.082120607723482,-0.0674120852490887,
,,,-0.02125000006,0.0758392007555813,-0.0749497736105695,
,,,-0.0211979167275,0.0708140751812607,-0.0711809294298291,
,,,-0.021145833395,0.0632763868197799,-0.0774623363977298,
,,,-0.0210937500625,0.055738698458299,-0.0648995224619284,
,,,-0.02104166673,0.0494572914903983,-0.0636432410683483,
,,,-0.0209895833975,0.0431758845224977,-0.0573618341004476,
,,,-0.020937500065,0.036894477554597,-0.0598743968876079,
,,,-0.0208854167325,0.0293567891931161,-0.0749497736105695,
,,,-0.0208333334,0.0243316636187956,-0.0586181154940277,
,,,-0.0207812500675,0.0155376938637346,-0.0510804271325469,
,,,-0.020729166735,0.00800000550225377,-0.0435427387710661,
