Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,-0.332301449496299,-0.126415848499164,
Firmware Version:,02.50.2019022736,,-0.0249479166675,-0.333557730773464,-0.0118680940940976,
Start Time:,2023-04-17 16:50:12.188,,-0.024895833335,-0.333557730773464,-0.0272198549937457,
,,,-0.0248437500025,-0.334185871412046,-0.0614660908468068,
Analog Sample Count:,960,,-0.02479166667,-0.334185871412046,-0.197270129574463,
Function Sample Count:,0,,-0.0247395833375,-0.334185871412046,-0.106340468861163,
Waveform Memory Sample Count:,0,,-0.024687500005,-0.332929590134881,-0.0272198549937457,
Digital Sample Count:,0,,-0.0246354166725,-0.332301449496299,-0.0626469955313951,
,,,-0.02458333334,-0.329788886941969,-0.127596753183752,
Setup Text Information:,,,-0.0245312500075,-0.329788886941969,-0.337797787040472,
ANALOG,,,-0.024479166675,-0.327904465026222,-0.257496268488467,
Channel 1,,,-0.0244270833425,-0.32727632438764,-0.0803605658002198,
Scale,250 mV/,,-0.02437500001,-0.326648183749057,-0.0331243784166873,
Pos,228 mV,,-0.0243229166775,-0.323507480556145,-0.0508379486855119,
Coup,,,-0.024270833345,-0.320366777363233,-0.119330420391634,
BW,Off,,-0.0242187500125,-0.317854214808904,-0.183099273359403,
Inv,Off,,-0.02416666668,-0.314713511615992,-0.124054039129987,
Imp,1M Ohm,,-0.0241145833475,-0.313457230338827,-0.212621890474111,
Trace Label,1,,-0.024062500015,-0.310316527145915,-0.186641987413168,
Probe,1,,-0.0240104166825,-0.308432105230168,-0.0968932313844562,
Skew,0 s,,-0.02395833335,-0.305291402037255,-0.101616850122809,
,,,-0.0239062500175,-0.302778839482926,-0.0968932313844562,
Channel 2,,,-0.023854166685,-0.299638136290014,0.0176545230206102,
Scale,470 mV/,,-0.0238020833525,-0.297125573735684,-0.0402098065242171,
Pos,11.75 mV,,-0.02375000002,-0.294613011181355,-0.107521373545751,
Coup,,,-0.0236979166875,-0.292100448627025,0.0707952338270843,
BW,Off,,-0.023645833355,-0.288959745434113,-0.0839032798539847,
Inv,Off,,-0.0235937500225,-0.285819042241201,-0.0496570440009236,
Imp,1M Ohm,,-0.02354166669,-0.282678339048289,-0.176013845251873,
Trace Label,2,,-0.0234895833575,-0.280165776493959,-0.174832940567285,
Probe,1,,-0.023437500025,-0.276396932662465,-0.284657076233998,
Skew,0 s,,-0.0233854166925,-0.274512510746717,-0.139405800029635,
,,,-0.02333333336,-0.271999948192388,-0.174832940567285,
MATH,,,-0.0232812500275,-0.268859244999476,-0.148853037506342,
REFERENCE WAVEFORM,,,-0.023229166695,-0.265090401167981,-0.139405800029635,
TRIGGER,,,-0.0231770833625,-0.262577838613652,-0.0189535222016275,
Sweep Mode,NORM,,-0.02312500003,-0.25943713542074,0.0766997572500259,
Coup,DC,,-0.0230729166975,-0.255668291589245,-0.0614660908468068,
Noise Rej,Off,,-0.023020833365,-0.253155729034916,-0.028400759678334,
HF Rej,Off,,-0.0229687500325,-0.250015025842004,-0.194908320205286,
Holdoff,40.0 ns,,-0.0229166667,-0.245618041371927,0.0613479963503778,
Mode,EDGE,,-0.0228645833675,-0.243733619456179,-0.118149515707046,
Source,CHAN1,,-0.022812500035,-0.239964775624685,-0.0213153315708041,
Slope,POS,,-0.0227604167025,-0.235567791154608,-0.0815414704848081,
Level,457 mV V,,-0.02270833337,-0.231170806684531,-0.0118680940940976,
,,,-0.0226562500375,-0.228030103491619,-0.0555615674238652,
HORIZONTAL,,,-0.022604166705,-0.22300497838296,-0.112244992284104,
Mode,MAIN,,-0.0225520833725,-0.218607993912883,-0.0815414704848081,
Ref,CENT,,-0.02250000004,-0.214211009442806,-0.0531997580546886,
Main Scale,5 ms/,,-0.0224479167075,-0.208557743695565,-0.199631938943639,
Main Delay,0 s,,-0.022395833375,-0.202904477948323,-0.118149515707046,
,,,-0.0223437500425,-0.197251212201081,-0.279933457495645,
ACQUISITION,,,-0.02229166671,-0.190969805815257,-0.183099273359403,
Mode,HRES,,-0.0222395833775,-0.183432118152268,-0.285837980918586,
RealTime,On,,-0.022187500045,-0.174638149212115,-0.219707318581641,
Vectors,On,,-0.0221354167125,-0.167100461549126,-0.307094265241176,
Persistence,Off,,-0.02208333338,-0.157678351970389,-0.187822892097756,
,,,-0.0220312500475,-0.148884383030236,-0.0213153315708041,
MEASUREMENTS,,,-0.021979166715,-0.1394622734515,-0.312998788664117,
Maximum(1),,,-0.0219270833825,-0.130668304511346,-0.069732423638925,
Cur,1.1 V,,-0.02187500005,-0.120618054294027,-0.0862650892231613,
,,,-0.0218229167175,-0.109939663438126,-0.13586308597587,
