Address:,USB0::0x0957::0x179B::MY59127615::0::INSTR,,Analog Channels,,,
Model:,DSO-X 2002A,,Time (s),1 (VOLT),2 (VOLT),
Serial Number:,MY59127615,,-0.025,0.957300094421953,-0.014070350327529,
Firmware Version:,02.50.2019022736,,-0.0249479166675,0.954285019310191,-0.00527638057246804,
Start Time:,2023-04-17 17:39:11.946,,-0.024895833335,0.95277748175431,-0.00778894335962832,
,,,-0.0248437500025,0.95126994419843,-0.0153266317211092,
Analog Sample Count:,960,,-0.02479166667,0.946747331530787,-0.00904522475320846,
Function Sample Count:,0,,-0.0247395833375,0.945239793974906,-0.0153266317211092,
Waveform Memory Sample Count:,0,,-0.024687500005,0.942224718863145,-0.0128140689339489,
Digital Sample Count:,0,,-0.0246354166725,0.940717181307264,-0.00276381778530777,
,,,-0.02458333334,0.937702106195502,-0.00904522475320846,
Setup Text Information:,,,-0.0245312500075,0.93468703108374,-0.00904522475320846,
ANALOG,,,-0.024479166675,0.931671955971979,-0.00276381778530777,
Channel 1,,,-0.0244270833425,0.928656880860217,-0.0115577875403687,
Scale,600 mV/,,-0.02437500001,0.924134268192574,-0.0115577875403687,
Pos,-652.75 mV,,-0.0243229166775,0.921119193080813,-0.0190954759018496,
Coup,,,-0.024270833345,0.91659658041317,-0.00653266196604818,
BW,Off,,-0.0242187500125,0.913581505301408,-0.014070350327529,
Inv,Off,,-0.02416666668,0.907551355077885,0.00351758918259293,
Imp,1M Ohm,,-0.0241145833475,0.903028742410243,-0.00150753639172763,
Trace Label,1,,-0.024062500015,0.896998592186719,0.00979899615049362,
Probe,1,,-0.0240104166825,0.890968441963196,0.00100502639543265,
Skew,0 s,,-0.02395833335,0.886445829295553,0.00979899615049362,
,,,-0.0239062500175,0.88041567907203,-0.0103015061467886,
Channel 2,,,-0.023854166685,0.872877991292626,0.00351758918259293,
Scale,500 mV/,,-0.0238020833525,0.865340303513221,0.0148241217248142,
Pos,50 mV,,-0.02375000002,0.857802615733817,0.00226130778901279,
Coup,,,-0.0236979166875,0.851772465510294,-0.00778894335962832,
BW,Off,,-0.023645833355,0.84574231528677,-0.00653266196604818,
Inv,Off,,-0.0235937500225,0.836697089951485,-0.000251254998147488,
Imp,1M Ohm,,-0.02354166669,0.829159402172081,0.00854271475691348,
Trace Label,2,,-0.0234895833575,0.821621714392677,-0.0040200991788879,
Probe,1,,-0.023437500025,0.814084026613273,0.00728643336333334,
Skew,0 s,,-0.0233854166925,0.808053876389749,0.00477387057617307,
,,,-0.02333333336,0.799008651054464,-0.000251254998147488,
MATH,,,-0.0232812500275,0.789963425719179,0.00226130778901279,
REFERENCE WAVEFORM,,,-0.023229166695,0.780918200383894,0.0211055286927149,
TRIGGER,,,-0.0231770833625,0.771872975048609,0.0349246240220964,
Sweep Mode,NORM,,-0.02312500003,0.762827749713324,0.0298994984477758,
Coup,DC,,-0.0230729166975,0.753782524378039,0.0160804031183943,
Noise Rej,Off,,-0.023020833365,0.744737299042754,0.0273869356606156,
HF Rej,Off,,-0.0229687500325,0.734184536151588,0.0349246240220964,
Holdoff,40.0 ns,,-0.0229166667,0.725139310816303,0.0349246240220964,
Mode,EDGE,,-0.0228645833675,0.714586547925137,0.0324120612349361,
Source,CHAN1,,-0.022812500035,0.704033785033971,0.0298994984477758,
Slope,POS,,-0.0227604167025,0.694988559698686,0.0286432170541957,
Level,267 mV V,,-0.02270833337,0.68443579680752,0.0148241217248142,
,,,-0.0226562500375,0.675390571472235,0.00351758918259293,
HORIZONTAL,,,-0.022604166705,0.664837808581069,0.00854271475691348,
Mode,MAIN,,-0.0225520833725,0.654285045689903,0.0261306542670354,
Ref,CENT,,-0.02250000004,0.643732282798737,0.0160804031183943,
Main Scale,5 ms/,,-0.0224479167075,0.634687057463452,0.0123115589376539,
Main Delay,0 s,,-0.022395833375,0.621119219460525,0.0236180914798751,
,,,-0.0223437500425,0.61207399412524,0.0110552775440738,
ACQUISITION,,,-0.02229166671,0.600013693678193,0.0286432170541957,
Mode,HRES,,-0.0222395833775,0.590968468342908,0.0248743728734553,
RealTime,On,,-0.022187500045,0.580415705451742,0.0148241217248142,
Vectors,On,,-0.0221354167125,0.571370480116457,0.0261306542670354,
Persistence,Off,,-0.02208333338,0.562325254781172,0.031155779841356,
,,,-0.0220312500475,0.553280029445887,0.0273869356606156,
MEASUREMENTS,,,-0.021979166715,0.544234804110602,0.0261306542670354,
Maximum(1),,,-0.0219270833825,0.533682041219436,0.0374371868092567,
Cur,1.01 V,,-0.02187500005,0.52312927832827,0.0261306542670354,
,,,-0.0218229167175,0.514084052992985,0.0462311565643176,
Minimum(1),,,-0.021770833385,0.5050388276577,0.0273869356606156,
Cur,-0.19 V,,-0.0217187500525,0.497501139878295,0.0688442216487601,
,,,-0.02166666672,0.486948376987129,0.0537688449257985,
Minimum(2),,,-0.0216145833875,0.477903151651844,0.0801507541909814,
Cur,-0.09 V,,-0.021562500055,0.468857926316559,0.0952261309139431,
,,,-0.0215104167225,0.461320238537155,0.142964823869988,
Average - N Cycles(1),,,-0.02145833339,0.450767475645989,0.268592963228002,
Cur,0.4148 ,,-0.0214062500575,0.444737325422466,0.565075372112915,
,,,-0.021354166725,0.4341845625313,0.78869346017018,
,,,-0.0213020833925,0.423631799640134,0.497236176859587,
,,,-0.02125000006,0.41609411186073,0.208291456336156,
,,,-0.0211979167275,0.407048886525445,0.0964824123075232,
,,,-0.021145833395,0.39951119874604,0.0286432170541957,
,,,-0.0210937500625,0.388958435854875,0.00728643336333334,
,,,-0.02104166673,0.379913210519589,0.00226130778901279,
,,,-0.0209895833975,0.370867985184304,-0.00653266196604818,
,,,-0.020937500065,0.361822759849019,-0.014070350327529,
,,,-0.0208854167325,0.351269996957853,-0.0442211037734523,
,,,-0.0208333334,0.342224771622568,-0.0190954759018496,
,,,-0.0207812500675,0.334687083843164,-0.0304020084440708,
,,,-0.020729166735,0.324134320951998,-0.0266331642633304,
,,,-0.0206770834025,0.315089095616713,-0.0115577875403687,
,,,-0.02062500007,0.306043870281428,-0.031658289837651,
,,,-0.0205729167375,0.295491107390262,-0.031658289837651,
,,,-0.020520833405,0.286445882054977,-0.0391959781991318,
,,,-0.0204687500725,0.277400656719692,-0.0391959781991318,
,,,-0.02041666674,0.268355431384407,-0.0391959781991318,
,,,-0.0203645834075,0.260817743605003,-0.0605527618899941,
,,,-0.020312500075,0.251772518269718,-0.0442211037734523,
,,,-0.0202604167425,0.242727292934433,-0.0479899479541928,
,,,-0.02020833341,0.235189605155028,-0.0366834154119715,
,,,-0.0201562500775,0.226144379819743,-0.0404522595927119,
,,,-0.020104166745,0.217099154484458,-0.0567839177092537,
,,,-0.0200520834125,0.211069004260935,-0.0479899479541928,
,,,-0.02000000008,0.20202377892565,-0.0454773851670325,
,,,-0.0199479167475,0.194486091146246,-0.031658289837651,
,,,-0.019895833415,0.186948403366841,-0.0253768828697503,
,,,-0.0198437500825,0.177903178031556,-0.0417085409862921,
,,,-0.01979166675,0.170365490252152,-0.031658289837651,
,,,-0.0197395834175,0.162827802472748,-0.0329145712312311,
,,,-0.019687500085,0.152275039581582,-0.0291457270504907,
,,,-0.0196354167525,0.144737351802178,-0.0404522595927119,
,,,-0.01958333342,0.135692126466893,-0.0417085409862921,
,,,-0.0195312500875,0.128154438687488,-0.0341708526248112,
,,,-0.019479166755,0.120616750908084,-0.0467336665606126,
,,,-0.0194270834225,0.11307906312868,-0.031658289837651,
,,,-0.01937500009,0.104033837793395,-0.0417085409862921,
,,,-0.0193229167575,0.0964961500139907,-0.0341708526248112,
,,,-0.019270833425,0.0889584622345865,-0.0366834154119715,
,,,-0.0192187500925,0.0814207744551823,-0.0341708526248112,
,,,-0.01916666676,0.073883086675778,-0.0580401991028339,
,,,-0.0191145834275,0.064837861340493,-0.0379396968055516,
,,,-0.019062500095,0.0557926360052079,-0.0341708526248112,
,,,-0.0190104167625,0.0482549482258037,-0.0291457270504907,
,,,-0.01895833343,0.0407172604463995,-0.0304020084440708,
,,,-0.0189062500975,0.0301644975552335,-0.0404522595927119,
,,,-0.018854166765,0.0226268097758293,-0.0366834154119715,
,,,-0.0188020834325,0.0135815844405442,-0.0291457270504907,
,,,-0.0187500001,0.00604389666114002,-0.0341708526248112,
,,,-0.0186979167675,-0.0014937911182642,-0.0404522595927119,
,,,-0.018645833435,-0.0105390164535493,-0.0291457270504907,
,,,-0.0185937501025,-0.0165691666770726,-0.0391959781991318,
,,,-0.01854166677,-0.0271219295682386,-0.0417085409862921,
,,,-0.0184895834375,-0.0346596173476428,-0.0304020084440708,
,,,-0.018437500105,-0.042197305127047,-0.0442211037734523,
,,,-0.0183854167725,-0.0497349929064512,-0.0404522595927119,
,,,-0.01833333344,-0.0572726806858554,-0.0178391945082694,
,,,-0.0182812501075,-0.0663179060211405,-0.0379396968055516,
,,,-0.018229166775,-0.0723480562446639,-0.0354271340183914,
,,,-0.0181770834425,-0.0798857440240681,-0.0442211037734523,
,,,-0.01812500011,-0.0859158942475915,-0.0304020084440708,
,,,-0.0180729167775,-0.0919460444711149,-0.0354271340183914,
,,,-0.018020833445,-0.0994837322505191,-0.0429648223798722,
,,,-0.0179687501125,-0.107021420029923,-0.031658289837651,
,,,-0.01791666678,-0.113051570253447,-0.0404522595927119,
,,,-0.0178645834475,-0.11908172047697,-0.0417085409862921,
,,,-0.017812500115,-0.125111870700493,-0.0429648223798722,
,,,-0.0177604167825,-0.128126945812255,-0.0530150735285133,
,,,-0.01770833345,-0.132649558479898,-0.031658289837651,
,,,-0.0176562501175,-0.13717217114754,-0.0429648223798722,
,,,-0.017604166785,-0.143202321371064,-0.0391959781991318,
,,,-0.0175520834525,-0.146217396482825,-0.0492462293477729,
,,,-0.01750000012,-0.150740009150468,-0.0530150735285133,
,,,-0.0174479167875,-0.15375508426223,-0.0291457270504907,
,,,-0.017395833455,-0.156770159373991,-0.0429648223798722,
,,,-0.0173437501225,-0.161292772041634,-0.0517587921349332,
,,,-0.01729166679,-0.165815384709276,-0.0467336665606126,
,,,-0.0172395834575,-0.167322922265157,-0.0492462293477729,
,,,-0.017187500125,-0.170337997376919,-0.0442211037734523,
,,,-0.0171354167925,-0.1718455349328,-0.0530150735285133,
,,,-0.01708333346,-0.174860610044561,-0.0304020084440708,
,,,-0.0170312501275,-0.177875685156323,-0.0354271340183914,
,,,-0.016979166795,-0.179383222712204,-0.0454773851670325,
,,,-0.0169270834625,-0.183905835379846,-0.050502510741353,
,,,-0.01687500013,-0.183905835379846,-0.0429648223798722,
,,,-0.0168229167975,-0.186920910491608,-0.0479899479541928,
,,,-0.016770833465,-0.188428448047489,-0.0404522595927119,
,,,-0.0167187501325,-0.191443523159251,-0.0354271340183914,
,,,-0.0166666668,-0.191443523159251,-0.0404522595927119,
,,,-0.0166145834675,-0.191443523159251,-0.0278894456569105,
,,,-0.016562500135,-0.191443523159251,-0.0404522595927119,
,,,-0.0165104168025,-0.192951060715131,-0.0278894456569105,
,,,-0.01645833347,-0.192951060715131,-0.059296480496414,
,,,-0.0164062501375,-0.192951060715131,-0.0517587921349332,
,,,-0.016354166805,-0.191443523159251,-0.0241206014761701,
,,,-0.0163020834725,-0.192951060715131,-0.0391959781991318,
,,,-0.01625000014,-0.191443523159251,-0.0366834154119715,
,,,-0.0161979168075,-0.18993598560337,-0.0429648223798722,
,,,-0.016145833475,-0.18993598560337,-0.0668341688578948,
,,,-0.0160937501425,-0.188428448047489,-0.0530150735285133,
,,,-0.01604166681,-0.186920910491608,-0.0530150735285133,
,,,-0.0159895834775,-0.185413372935727,-0.0492462293477729,
,,,-0.015937500145,-0.182398297823966,-0.031658289837651,
,,,-0.0158854168125,-0.182398297823966,-0.0517587921349332,
,,,-0.01583333348,-0.180890760268085,-0.059296480496414,
,,,-0.0157812501475,-0.177875685156323,-0.0630653246771544,
,,,-0.015729166815,-0.176368147600442,-0.0618090432835743,
,,,-0.0156770834825,-0.174860610044561,-0.0404522595927119,
,,,-0.01562500015,-0.174860610044561,-0.0668341688578948,
,,,-0.0155729168175,-0.170337997376919,-0.059296480496414,
,,,-0.015520833485,-0.170337997376919,-0.050502510741353,
,,,-0.0154687501525,-0.167322922265157,-0.0567839177092537,
,,,-0.01541666682,-0.165815384709276,-0.0379396968055516,
,,,-0.0153645834875,-0.162800309597515,-0.0479899479541928,
,,,-0.015312500155,-0.161292772041634,-0.0417085409862921,
,,,-0.0152604168225,-0.159785234485753,-0.0404522595927119,
,,,-0.01520833349,-0.156770159373991,-0.0567839177092537,
,,,-0.0151562501575,-0.15526262181811,-0.0530150735285133,
,,,-0.015104166825,-0.152247546706349,-0.0454773851670325,
,,,-0.0150520834925,-0.152247546706349,-0.0429648223798722,
,,,-0.01500000016,-0.149232471594587,-0.0354271340183914,
,,,-0.0149479168275,-0.147724934038706,-0.0429648223798722,
,,,-0.014895833495,-0.144709858926944,-0.0630653246771544,
,,,-0.0148437501625,-0.143202321371064,-0.068090450251475,
,,,-0.01479166683,-0.140187246259302,-0.0605527618899941,
,,,-0.0147395834975,-0.13717217114754,-0.0442211037734523,
,,,-0.014687500165,-0.135664633591659,-0.0492462293477729,
,,,-0.0146354168325,-0.134157096035779,-0.0479899479541928,
,,,-0.0145833335,-0.129634483368136,-0.0643216060707346,
,,,-0.0145312501675,-0.128126945812255,-0.0542713549220935,
,,,-0.014479166835,-0.125111870700493,-0.0429648223798722,
,,,-0.0144270835025,-0.120589258032851,-0.0542713549220935,
,,,-0.01437500017,-0.117574182921089,-0.0454773851670325,
,,,-0.0143229168375,-0.113051570253447,-0.0580401991028339,
,,,-0.014270833505,-0.111544032697566,-0.0567839177092537,
,,,-0.0142187501725,-0.107021420029923,-0.0580401991028339,
,,,-0.01416666684,-0.1009912698064,-0.0555276363156736,
,,,-0.0141145835075,-0.0964686571387574,-0.059296480496414,
,,,-0.014062500175,-0.0889309693593532,-0.0366834154119715,
,,,-0.0140104168425,-0.0844083566917107,-0.031658289837651,
,,,-0.01395833351,-0.0783782064681873,-0.0366834154119715,
,,,-0.0139062501775,-0.0693329811329022,-0.0391959781991318,
,,,-0.013854166845,-0.0633028309093788,-0.0429648223798722,
,,,-0.0138020835125,-0.0572726806858554,-0.0442211037734523,
,,,-0.01375000018,-0.0497349929064512,-0.0517587921349332,
,,,-0.0136979168475,-0.0406897675711662,-0.0605527618899941,
,,,-0.013645833515,-0.0331520797917619,-0.0530150735285133,
,,,-0.0135937501825,-0.0256143920123577,-0.0819095455808565,
,,,-0.01354166685,-0.0165691666770726,-0.068090450251475,
,,,-0.0134895835175,-0.00903147889766842,-0.0542713549220935,
,,,-0.013437500185,-0.0014937911182642,-0.0768844200065359,
,,,-0.0133854168525,0.00604389666114002,-0.0580401991028339,
,,,-0.01333333352,0.0165966595523059,-0.0567839177092537,
,,,-0.0132812501875,0.0241343473317102,-0.0668341688578948,
,,,-0.013229166855,0.0331795726669952,-0.0630653246771544,
,,,-0.0131770835225,0.0422247980022803,-0.068090450251475,
,,,-0.01312500019,0.0527775608934462,-0.0630653246771544,
,,,-0.0130729168575,0.0618227862287313,-0.0668341688578948,
,,,-0.013020833525,0.0723755491198972,-0.068090450251475,
,,,-0.0129687501925,0.0829283120110631,-0.0756281386129558,
,,,-0.01291666686,0.093481074902229,-0.0643216060707346,
,,,-0.0128645835275,0.104033837793395,-0.050502510741353,
,,,-0.012812500195,0.114586600684561,-0.0630653246771544,
,,,-0.0127604168625,0.125139363575727,-0.0479899479541928,
,,,-0.01270833353,0.135692126466893,-0.0618090432835743,
,,,-0.0126562501975,0.14925996446982,-0.0555276363156736,
,,,-0.012604166865,0.159812727360986,-0.050502510741353,
,,,-0.0125520835325,0.170365490252152,-0.0429648223798722,
,,,-0.0125000002,0.182425790699199,-0.0643216060707346,
,,,-0.0124479168675,0.194486091146246,-0.068090450251475,
,,,-0.012395833535,0.205038854037412,-0.0542713549220935,
,,,-0.0123437502025,0.215591616928577,-0.0542713549220935,
,,,-0.01229166687,0.227651917375624,-0.0467336665606126,
,,,-0.0122395835375,0.23820468026679,-0.0492462293477729,
,,,-0.012187500205,0.248757443157956,-0.0492462293477729,
,,,-0.0121354168725,0.260817743605003,-0.059296480496414,
,,,-0.01208333354,0.271370506496169,-0.0567839177092537,
,,,-0.0120312502075,0.281923269387335,-0.0555276363156736,
,,,-0.011979166875,0.292476032278501,-0.0517587921349332,
,,,-0.0119270835425,0.303028795169666,-0.0442211037734523,
,,,-0.01187500021,0.313581558060832,-0.0404522595927119,
,,,-0.0118229168775,0.324134320951998,-0.0417085409862921,
,,,-0.011770833545,0.334687083843164,-0.0404522595927119,
,,,-0.0117187502125,0.343732309178449,-0.031658289837651,
,,,-0.01166666688,0.355792609625496,-0.0354271340183914,
,,,-0.0116145835475,0.366345372516662,-0.0329145712312311,
,,,-0.011562500215,0.375390597851947,-0.02286432008259,
,,,-0.0115104168825,0.387450898298994,-0.00276381778530777,
,,,-0.01145833355,0.394988586078398,0.00351758918259293,
,,,-0.0114062502175,0.405541348969564,-0.00276381778530777,
,,,-0.011354166885,0.41609411186073,0.06758794025518,
,,,-0.0113020835525,0.425139337196015,0.191959798219614,
,,,-0.01125000022,0.435692100087181,0.51859296055045,
,,,-0.0111979168875,0.446244862978347,0.707035169587471,
,,,-0.011145833555,0.456797625869513,0.343969846842811,
,,,-0.0110937502225,0.465842851204798,0.100251256488264,
,,,-0.01104166689,0.477903151651844,0.00351758918259293,
,,,-0.0109895835575,0.48845591454301,-0.0304020084440708,
,,,-0.010937500225,0.497501139878295,-0.0580401991028339,
,,,-0.0108854168925,0.508053902769461,-0.0542713549220935,
,,,-0.01083333356,0.517099128104746,-0.0655778874643147,
,,,-0.0107812502275,0.526144353440031,-0.0693467316450551,
,,,-0.010729166895,0.532174503663555,-0.0756281386129558,
,,,-0.0106770835625,0.539712191442959,-0.0743718572193757,
,,,-0.01062500023,0.548757416778244,-0.0831658269744366,
,,,-0.0105729168975,0.557802642113529,-0.0731155758257955,
,,,-0.010520833565,0.566847867448814,-0.0580401991028339,
,,,-0.0104687502325,0.574385555228218,-0.0743718572193757,
,,,-0.0104166669,0.583430780563504,-0.050502510741353,
,,,-0.0103645835675,0.590968468342908,-0.0743718572193757,
,,,-0.010312500235,0.600013693678193,-0.0731155758257955,
,,,-0.0102604169025,0.609058919013478,-0.0580401991028339,
,,,-0.01020833357,0.616596606792882,-0.050502510741353,
,,,-0.0101562502375,0.624134294572286,-0.0479899479541928,
,,,-0.010104166905,0.633179519907571,-0.0479899479541928,
,,,-0.0100520835725,0.642224745242856,-0.0517587921349332,
,,,-0.01000000024,0.649762433022261,-0.059296480496414,
,,,-0.0099479169075,0.658807658357546,-0.0454773851670325,
,,,-0.009895833575,0.667852883692831,-0.0429648223798722,
,,,-0.0098437502425,0.675390571472235,-0.0479899479541928,
,,,-0.00979166691,0.682928259251639,-0.0492462293477729,
,,,-0.0097395835775,0.690465947031043,-0.0417085409862921,
,,,-0.009687500245,0.698003634810448,-0.0429648223798722,
,,,-0.0096354169125,0.705541322589852,-0.0567839177092537,
,,,-0.00958333358,0.714586547925137,-0.0454773851670325,
,,,-0.0095312502475,0.722124235704541,-0.0417085409862921,
,,,-0.009479166915,0.731169461039826,-0.0341708526248112,
,,,-0.0094270835825,0.738707148819231,-0.0404522595927119,
,,,-0.00937500025,0.744737299042754,-0.0341708526248112,
,,,-0.0093229169175,0.752274986822158,-0.0253768828697503,
,,,-0.009270833585,0.759812674601562,-0.0391959781991318,
,,,-0.0092187502525,0.767350362380967,-0.0266331642633304,
,,,-0.00916666692,0.774888050160371,-0.0266331642633304,
,,,-0.0091145835875,0.783933275495656,-0.0203517572954297,
,,,-0.009062500255,0.79147096327506,-0.0115577875403687,
,,,-0.0090104169225,0.799008651054464,-0.0203517572954297,
,,,-0.00895833359,0.806546338833869,-0.0178391945082694,
,,,-0.0089062502575,0.814084026613273,-0.02286432008259,
,,,-0.008854166925,0.821621714392677,-0.02286432008259,
,,,-0.0088020835925,0.8276518646162,-0.0165829131146893,
,,,-0.00875000026,0.836697089951485,-0.0153266317211092,
,,,-0.0086979169275,0.84423477773089,-0.014070350327529,
,,,-0.008645833595,0.851772465510294,-0.00527638057246804,
,,,-0.0085937502625,0.859310153289698,-0.0216080386890098,
,,,-0.00854166693,0.866847841069102,-0.02286432008259,
,,,-0.0084895835975,0.874385528848507,-0.00904522475320846,
,,,-0.008437500265,0.88041567907203,-0.0165829131146893,
,,,-0.0083854169325,0.886445829295553,-0.0241206014761701,
,,,-0.0083333336,0.893983517074957,-0.0203517572954297,
,,,-0.0082812502675,0.901521204854362,-0.00527638057246804,
,,,-0.008229166935,0.907551355077885,-0.00778894335962832,
,,,-0.0081770836025,0.912073967745528,-0.00276381778530777,
,,,-0.00812500027,0.918104117969051,-0.00527638057246804,
,,,-0.0080729169375,0.924134268192574,-0.0190954759018496,
,,,-0.008020833605,0.930164418416098,-0.00904522475320846,
,,,-0.0079687502725,0.93468703108374,-0.014070350327529,
,,,-0.00791666694,0.940717181307264,-0.0165829131146893,
,,,-0.0078645836075,0.945239793974906,-0.0165829131146893,
,,,-0.007812500275,0.95126994419843,-0.0216080386890098,
,,,-0.0077604169425,0.955792556866072,-0.0103015061467886,
,,,-0.00770833361,0.960315169533715,-0.0216080386890098,
,,,-0.0076562502775,0.964837782201357,-0.0040200991788879,
,,,-0.007604166945,0.967852857313119,-0.00653266196604818,
