Description	
Number of Runs	100
Preset Time	1
Pause Time	0
Alarm Level	0
High Voltage	1000
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	1000	6	1	05/15/23 04:29:38 PM	
2	1000	5	1	05/15/23 04:29:39 PM	
3	1000	3	1	05/15/23 04:29:40 PM	
4	1000	8	1	05/15/23 04:29:41 PM	
5	1000	4	1	05/15/23 04:29:42 PM	
6	1000	7	1	05/15/23 04:29:43 PM	
7	1000	5	1	05/15/23 04:29:45 PM	
8	1000	4	1	05/15/23 04:29:46 PM	
9	1000	3	1	05/15/23 04:29:47 PM	
10	1000	4	1	05/15/23 04:29:48 PM	
11	1000	4	1	05/15/23 04:29:49 PM	
12	1000	5	1	05/15/23 04:29:50 PM	
13	1000	1	1	05/15/23 04:29:51 PM	
14	1000	2	1	05/15/23 04:29:53 PM	
15	1000	5	1	05/15/23 04:29:54 PM	
16	1000	5	1	05/15/23 04:29:55 PM	
17	1000	7	1	05/15/23 04:29:56 PM	
18	1000	5	1	05/15/23 04:29:57 PM	
19	1000	2	1	05/15/23 04:29:59 PM	
20	1000	7	1	05/15/23 04:30:00 PM	
21	1000	5	1	05/15/23 04:30:01 PM	
22	1000	6	1	05/15/23 04:30:02 PM	
23	1000	4	1	05/15/23 04:30:03 PM	
24	1000	2	1	05/15/23 04:30:04 PM	
25	1000	3	1	05/15/23 04:30:05 PM	
26	1000	4	1	05/15/23 04:30:07 PM	
27	1000	0	1	05/15/23 04:30:08 PM	
28	1000	5	1	05/15/23 04:30:09 PM	
29	1000	4	1	05/15/23 04:30:10 PM	
30	1000	1	1	05/15/23 04:30:11 PM	
31	1000	7	1	05/15/23 04:30:12 PM	
32	1000	4	1	05/15/23 04:30:13 PM	
33	1000	3	1	05/15/23 04:30:15 PM	
34	1000	5	1	05/15/23 04:30:16 PM	
35	1000	2	1	05/15/23 04:30:17 PM	
36	1000	6	1	05/15/23 04:30:18 PM	
37	1000	5	1	05/15/23 04:30:19 PM	
38	1000	5	1	05/15/23 04:30:20 PM	
39	1000	5	1	05/15/23 04:30:21 PM	
40	1000	4	1	05/15/23 04:30:23 PM	
41	1000	3	1	05/15/23 04:30:24 PM	
42	1000	3	1	05/15/23 04:30:25 PM	
43	1000	5	1	05/15/23 04:30:26 PM	
44	1000	5	1	05/15/23 04:30:27 PM	
45	1000	3	1	05/15/23 04:30:28 PM	
46	1000	3	1	05/15/23 04:30:30 PM	
47	1000	4	1	05/15/23 04:30:31 PM	
48	1000	3	1	05/15/23 04:30:32 PM	
49	1000	6	1	05/15/23 04:30:33 PM	
50	1000	6	1	05/15/23 04:30:34 PM	
51	1000	4	1	05/15/23 04:30:35 PM	
52	1000	3	1	05/15/23 04:30:36 PM	
53	1000	6	1	05/15/23 04:30:38 PM	
54	1000	3	1	05/15/23 04:30:39 PM	
55	1000	5	1	05/15/23 04:30:40 PM	
56	1000	4	1	05/15/23 04:30:41 PM	
57	1000	2	1	05/15/23 04:30:42 PM	
58	1000	3	1	05/15/23 04:30:43 PM	
59	1000	6	1	05/15/23 04:30:44 PM	
60	1000	1	1	05/15/23 04:30:46 PM	
61	1000	3	1	05/15/23 04:30:47 PM	
62	1000	4	1	05/15/23 04:30:48 PM	
63	1000	5	1	05/15/23 04:30:49 PM	
64	1000	4	1	05/15/23 04:30:50 PM	
65	1000	2	1	05/15/23 04:30:51 PM	
66	1000	5	1	05/15/23 04:30:53 PM	
67	1000	5	1	05/15/23 04:30:54 PM	
68	1000	2	1	05/15/23 04:30:55 PM	
69	1000	4	1	05/15/23 04:30:56 PM	
70	1000	4	1	05/15/23 04:30:57 PM	
71	1000	6	1	05/15/23 04:30:58 PM	
72	1000	5	1	05/15/23 04:30:59 PM	
73	1000	7	1	05/15/23 04:31:01 PM	
74	1000	3	1	05/15/23 04:31:02 PM	
75	1000	1	1	05/15/23 04:31:03 PM	
76	1000	4	1	05/15/23 04:31:04 PM	
77	1000	3	1	05/15/23 04:31:05 PM	
78	1000	8	1	05/15/23 04:31:06 PM	
79	1000	5	1	05/15/23 04:31:07 PM	
80	1000	7	1	05/15/23 04:31:09 PM	
81	1000	4	1	05/15/23 04:31:10 PM	
82	1000	4	1	05/15/23 04:31:11 PM	
83	1000	3	1	05/15/23 04:31:12 PM	
84	1000	3	1	05/15/23 04:31:13 PM	
85	1000	1	1	05/15/23 04:31:14 PM	
86	1000	6	1	05/15/23 04:31:15 PM	
87	1000	6	1	05/15/23 04:31:17 PM	
88	1000	3	1	05/15/23 04:31:18 PM	
89	1000	5	1	05/15/23 04:31:19 PM	
90	1000	7	1	05/15/23 04:31:20 PM	
91	1000	1	1	05/15/23 04:31:21 PM	
92	1000	7	1	05/15/23 04:31:22 PM	
93	1000	3	1	05/15/23 04:31:23 PM	
94	1000	6	1	05/15/23 04:31:25 PM	
95	1000	10	1	05/15/23 04:31:26 PM	
96	1000	5	1	05/15/23 04:31:27 PM	
97	1000	3	1	05/15/23 04:31:28 PM	
98	1000	3	1	05/15/23 04:31:29 PM	
99	1000	4	1	05/15/23 04:31:30 PM	
100	1000	5	1	05/15/23 04:31:32 PM	
101	1000	2	1	05/15/23 04:31:33 PM	
102	1000	3	1	05/15/23 04:31:34 PM	
103	1000	3	1	05/15/23 04:31:35 PM	
104	1000	4	1	05/15/23 04:31:36 PM	
105	1000	5	1	05/15/23 04:31:37 PM	
106	1000	4	1	05/15/23 04:31:38 PM	
107	1000	0	1	05/15/23 04:31:40 PM	
108	1000	3	1	05/15/23 04:31:41 PM	
109	1000	2	1	05/15/23 04:31:42 PM	
110	1000	4	1	05/15/23 04:31:43 PM	
111	1000	2	1	05/15/23 04:31:44 PM	
112	1000	4	1	05/15/23 04:31:45 PM	
113	1000	3	1	05/15/23 04:31:46 PM	
114	1000	3	1	05/15/23 04:31:48 PM	
115	1000	3	1	05/15/23 04:31:49 PM	
116	1000	2	1	05/15/23 04:31:50 PM	
117	1000	5	1	05/15/23 04:31:51 PM	
118	1000	6	1	05/15/23 04:31:52 PM	
119	1000	2	1	05/15/23 04:31:53 PM	
120	1000	5	1	05/15/23 04:31:54 PM	
121	1000	1	1	05/15/23 04:31:56 PM	
122	1000	3	1	05/15/23 04:31:57 PM	
123	1000	3	1	05/15/23 04:31:58 PM	
124	1000	6	1	05/15/23 04:31:59 PM	
125	1000	7	1	05/15/23 04:32:00 PM	
126	1000	4	1	05/15/23 04:32:01 PM	
127	1000	8	1	05/15/23 04:32:02 PM	
128	1000	2	1	05/15/23 04:32:04 PM	
129	1000	4	1	05/15/23 04:32:05 PM	
130	1000	1	1	05/15/23 04:32:06 PM	
131	1000	4	1	05/15/23 04:32:07 PM	
132	1000	5	1	05/15/23 04:32:08 PM	
133	1000	1	1	05/15/23 04:32:09 PM	
134	1000	6	1	05/15/23 04:32:11 PM	
135	1000	7	1	05/15/23 04:32:12 PM	
136	1000	5	1	05/15/23 04:32:13 PM	
137	1000	2	1	05/15/23 04:32:14 PM	
138	1000	2	1	05/15/23 04:32:15 PM	
139	1000	3	1	05/15/23 04:32:16 PM	
140	1000	5	1	05/15/23 04:32:17 PM	
141	1000	3	1	05/15/23 04:32:19 PM	
142	1000	1	1	05/15/23 04:32:20 PM	
143	1000	8	1	05/15/23 04:32:21 PM	
144	1000	4	1	05/15/23 04:32:22 PM	
145	1000	4	1	05/15/23 04:32:23 PM	
146	1000	6	1	05/15/23 04:32:24 PM	
147	1000	6	1	05/15/23 04:32:25 PM	
148	1000	1	1	05/15/23 04:32:27 PM	
149	1000	2	1	05/15/23 04:32:28 PM	
150	1000	9	1	05/15/23 04:32:29 PM	
151	1000	2	1	05/15/23 04:32:30 PM	
152	1000	5	1	05/15/23 04:32:31 PM	
153	1000	5	1	05/15/23 04:32:32 PM	
