Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	2
56	0
57	2
58	0
59	1
60	1
61	1
62	1
63	6
64	3
65	0
66	1
67	3
68	1
69	4
70	2
71	5
72	0
73	2
74	1
75	2
76	0
77	4
78	0
79	2
80	1
81	0
82	0
83	2
84	1
85	4
86	1
87	1
88	2
89	1
90	3
91	5
92	2
93	0
94	4
95	1
96	2
97	2
98	1
99	4
100	2
101	1
102	1
103	2
104	2
105	1
106	2
107	3
108	1
109	0
110	1
111	1
112	2
113	2
114	2
115	1
116	2
117	0
118	2
119	0
120	0
121	0
122	0
123	0
124	0
125	1
126	3
127	5
128	0
129	1
130	1
131	2
132	1
133	2
134	3
135	2
136	1
137	1
138	4
139	1
140	1
141	4
142	2
143	2
144	0
145	1
146	3
147	2
148	3
149	0
150	2
151	3
152	2
153	1
154	3
155	1
156	1
157	2
158	0
159	3
160	0
161	0
162	0
163	1
164	2
165	0
166	3
167	0
168	0
169	2
170	1
171	1
172	0
173	2
174	2
175	1
176	1
177	1
178	1
179	0
180	2
181	2
182	1
183	2
184	0
185	0
186	3
187	0
188	0
189	1
190	0
191	3
192	0
193	0
194	2
195	1
196	2
197	1
198	1
199	2
200	2
201	0
202	1
203	1
204	0
205	0
206	1
207	1
208	2
209	0
210	1
211	0
212	2
213	1
214	1
215	0
216	1
217	1
218	1
219	3
220	0
221	0
222	1
223	5
224	1
225	1
226	2
227	5
228	1
229	0
230	1
231	1
232	2
233	0
234	0
235	0
236	1
237	1
238	0
239	1
240	2
241	1
242	1
243	1
244	1
245	1
246	0
247	1
248	0
249	4
250	0
251	2
252	2
253	1
254	1
255	1
256	0
257	0
258	1
259	1
260	0
261	0
262	1
263	0
264	1
265	1
266	4
267	1
268	4
269	0
270	0
271	1
272	2
273	4
274	0
275	0
276	0
277	0
278	3
279	2
280	1
281	1
282	0
283	2
284	1
285	1
286	1
287	3
288	0
289	0
290	1
291	1
292	0
293	1
294	5
295	2
296	0
297	3
298	2
299	0
300	0
301	4
302	4
303	1
304	1
305	1
306	1
307	2
308	0
309	0
310	2
311	3
312	2
313	2
314	1
315	1
316	1
317	2
318	1
319	5
320	1
321	1
322	0
323	1
324	2
325	0
326	1
327	1
328	0
329	2
330	1
331	0
332	0
333	2
334	0
335	2
336	0
337	0
338	2
339	1
340	1
341	3
342	2
343	3
344	0
345	3
346	0
347	0
348	1
349	0
350	1
351	1
352	0
353	0
354	1
355	0
356	0
357	1
358	0
359	0
360	1
361	1
362	2
363	2
364	1
365	2
366	1
367	1
368	0
369	0
370	2
371	1
372	1
373	0
374	2
375	1
376	0
377	2
378	1
379	1
380	2
381	1
382	1
383	2
384	0
385	2
386	2
387	3
388	1
389	2
390	1
391	4
392	1
393	1
394	2
395	4
396	3
397	0
398	0
399	0
400	1
401	2
402	2
403	0
404	2
405	1
406	5
407	2
408	0
409	4
410	2
411	3
412	5
413	2
414	2
415	4
416	2
417	3
418	4
419	2
420	4
421	3
422	3
423	1
424	2
425	5
426	1
427	2
428	3
429	3
430	1
431	0
432	1
433	2
434	0
435	1
436	4
437	0
438	2
439	3
440	2
441	3
442	0
443	3
444	3
445	0
446	1
447	3
448	3
449	2
450	4
451	3
452	4
453	0
454	1
455	2
456	4
457	3
458	1
459	3
460	4
461	1
462	4
463	2
464	1
465	1
466	3
467	5
468	0
469	2
470	6
471	1
472	3
473	1
474	1
475	4
476	2
477	0
478	3
479	1
480	1
481	3
482	2
483	1
484	5
485	3
486	7
487	1
488	4
489	0
490	1
491	1
492	2
493	2
494	4
495	1
496	2
497	0
498	5
499	0
500	3
501	1
502	4
503	0
504	2
505	0
506	1
507	1
508	2
509	1
510	3
511	1
512	0
513	2
514	3
515	3
516	2
517	1
518	4
519	1
520	4
521	5
522	1
523	1
524	1
525	1
526	1
527	5
528	1
529	2
530	4
531	6
532	2
533	2
534	4
535	1
536	4
537	2
538	3
539	3
540	1
541	3
542	2
543	4
544	1
545	3
546	2
547	3
548	6
549	2
550	5
551	4
552	1
553	5
554	4
555	3
556	5
557	3
558	7
559	4
560	3
561	1
562	4
563	5
564	7
565	5
566	6
567	7
568	7
569	8
570	5
571	6
572	8
573	4
574	13
575	10
576	2
577	8
578	13
579	8
580	14
581	11
582	21
583	10
584	21
585	24
586	23
587	23
588	32
589	29
590	31
591	45
592	39
593	42
594	47
595	70
596	59
597	57
598	94
599	75
600	81
601	91
602	90
603	119
604	102
605	112
606	134
607	178
608	110
609	142
610	179
611	174
612	209
613	163
614	256
615	222
616	227
617	252
618	232
619	254
620	306
621	306
622	324
623	285
624	270
625	276
626	368
627	330
628	394
629	271
630	397
631	312
632	296
633	407
634	329
635	363
636	324
637	330
638	351
639	546
640	153
641	263
642	306
643	298
644	361
645	220
646	318
647	232
648	258
649	272
650	251
651	244
652	276
653	231
654	234
655	207
656	193
657	168
658	191
659	179
660	179
661	140
662	166
663	106
664	143
665	133
666	115
667	142
668	99
669	92
670	101
671	86
672	61
673	68
674	64
675	37
676	82
677	48
678	65
679	46
680	36
681	50
682	37
683	42
684	58
685	46
686	37
687	44
688	50
689	45
690	39
691	50
692	46
693	34
694	47
695	40
696	41
697	61
698	58
699	54
700	57
701	53
702	69
703	61
704	36
705	51
706	58
707	50
708	51
709	52
710	73
711	47
712	52
713	55
714	52
715	55
716	64
717	65
718	65
719	55
720	42
721	52
722	72
723	49
724	49
725	38
726	49
727	37
728	52
729	33
730	35
731	39
732	40
733	22
734	29
735	41
736	26
737	33
738	33
739	20
740	36
741	26
742	28
743	13
744	14
745	13
746	13
747	9
748	19
749	6
750	14
751	5
752	7
753	8
754	6
755	12
756	16
757	7
758	7
759	1
760	4
761	7
762	1
763	4
764	1
765	1
766	2
767	3
768	0
769	0
770	1
771	1
772	0
773	0
774	1
775	0
776	1
777	1
778	0
779	1
780	1
781	0
782	0
783	2
784	2
785	1
786	0
787	0
788	0
789	0
790	0
791	0
792	0
793	2
794	0
795	1
796	1
797	0
798	0
799	1
800	0
801	2
802	1
803	0
804	0
805	0
806	0
807	1
808	1
809	0
810	1
811	3
812	1
813	2
814	0
815	1
816	0
817	0
818	3
819	0
820	0
821	0
822	0
823	0
824	0
825	1
826	0
827	0
828	2
829	1
830	1
831	0
832	2
833	0
834	0
835	0
836	2
837	1
838	0
839	0
840	1
841	0
842	0
843	2
844	1
845	0
846	1
847	1
848	1
849	0
850	1
851	0
852	2
853	0
854	3
855	0
856	0
857	1
858	1
859	1
860	1
861	2
862	1
863	0
864	1
865	1
866	2
867	1
868	2
869	1
870	1
871	1
872	0
873	1
874	1
875	0
876	2
877	1
878	3
879	0
880	1
881	1
882	1
883	2
884	2
885	5
886	6
887	0
888	3
889	3
890	4
891	2
892	2
893	2
894	6
895	4
896	4
897	4
898	1
899	3
900	2
901	3
902	3
903	4
904	5
905	4
906	3
907	1
908	4
909	5
910	0
911	2
912	3
913	3
914	4
915	2
916	0
917	1
918	5
919	3
920	3
921	2
922	1
923	2
924	3
925	2
926	0
927	0
928	3
929	2
930	2
931	1
932	2
933	1
934	2
935	2
936	0
937	2
938	1
939	2
940	2
941	1
942	0
943	0
944	0
945	2
946	0
947	0
948	1
949	0
950	0
951	1
952	0
953	0
954	0
955	0
956	1
957	0
958	1
959	1
960	0
961	0
962	0
963	2
964	0
965	0
966	0
967	1
968	1
969	0
970	0
971	1
972	2
973	0
974	0
975	0
976	0
977	0
978	0
979	0
980	0
981	1
982	0
983	0
984	0
985	0
986	0
987	0
988	0
989	0
990	0
991	0
992	0
993	0
994	1
995	0
996	1
997	0
998	0
999	1
1000	1
1001	2
1002	1
1003	1
1004	0
1005	0
1006	1
1007	0
1008	0
1009	0
1010	3
1011	0
1012	1
1013	2
1014	3
1015	1
1016	0
1017	1
1018	1
1019	0
1020	1
1021	0
1022	1
1023	2
1024	0
1025	0
1026	1
1027	0
1028	0
1029	0
1030	3
1031	1
1032	1
1033	3
1034	0
1035	0
1036	1
1037	2
1038	1
1039	1
1040	1
1041	1
1042	1
1043	2
1044	0
1045	0
1046	0
1047	2
1048	0
1049	1
1050	2
1051	1
1052	2
1053	0
1054	2
1055	0
1056	1
1057	0
1058	2
1059	0
1060	0
1061	1
1062	3
1063	0
1064	1
1065	1
1066	0
1067	0
1068	1
1069	0
1070	1
1071	0
1072	0
1073	0
1074	0
1075	0
1076	0
1077	1
1078	0
1079	0
1080	0
1081	1
1082	0
1083	1
1084	0
1085	0
1086	1
1087	1
1088	1
1089	1
1090	1
1091	0
1092	0
1093	0
1094	2
1095	0
1096	0
1097	1
1098	0
1099	0
1100	0
1101	1
1102	3
1103	1
1104	0
1105	0
1106	0
1107	2
1108	0
1109	2
1110	0
1111	1
1112	2
1113	1
1114	0
1115	2
1116	1
1117	0
1118	2
1119	1
1120	0
1121	0
1122	2
1123	0
1124	0
1125	0
1126	0
1127	2
1128	0
1129	0
1130	0
1131	0
1132	2
1133	0
1134	2
1135	1
1136	0
1137	1
1138	0
1139	0
1140	0
1141	1
1142	1
1143	1
1144	0
1145	2
1146	1
1147	1
1148	0
1149	2
1150	1
1151	1
1152	0
1153	2
1154	2
1155	2
1156	0
1157	2
1158	0
1159	0
1160	2
1161	2
1162	0
1163	1
1164	1
1165	0
1166	0
1167	0
1168	1
1169	0
1170	0
1171	0
1172	1
1173	0
1174	0
1175	1
1176	0
1177	0
1178	0
1179	1
1180	0
1181	0
1182	0
1183	0
1184	1
1185	1
1186	0
1187	3
1188	0
1189	1
1190	0
1191	2
1192	0
1193	0
1194	0
1195	1
1196	2
1197	0
1198	1
1199	0
1200	1
1201	1
1202	0
1203	1
1204	2
1205	0
1206	0
1207	0
1208	0
1209	0
1210	0
1211	0
1212	0
1213	2
1214	0
1215	2
1216	1
1217	0
1218	3
1219	0
1220	2
1221	0
1222	1
1223	0
1224	0
1225	0
1226	1
1227	1
1228	0
1229	0
1230	1
1231	0
1232	1
1233	0
1234	2
1235	1
1236	0
1237	0
1238	2
1239	1
1240	1
1241	1
1242	0
1243	0
1244	0
1245	1
1246	3
1247	1
1248	1
1249	0
1250	0
1251	0
1252	1
1253	0
1254	1
1255	0
1256	0
1257	0
1258	0
1259	1
1260	1
1261	0
1262	0
1263	2
1264	0
1265	0
1266	0
1267	2
1268	2
1269	1
1270	0
1271	1
1272	1
1273	1
1274	0
1275	0
1276	1
1277	2
1278	0
1279	1
1280	0
1281	0
1282	0
1283	0
1284	0
1285	0
1286	0
1287	0
1288	0
1289	0
1290	0
1291	0
1292	1
1293	0
1294	0
1295	0
1296	1
1297	0
1298	0
1299	0
1300	0
1301	1
1302	0
1303	0
1304	0
1305	1
1306	1
1307	0
1308	2
1309	1
1310	1
1311	0
1312	0
1313	0
1314	0
1315	0
1316	0
1317	0
1318	0
1319	0
1320	0
1321	1
1322	0
1323	0
1324	0
1325	0
1326	1
1327	2
1328	1
1329	0
1330	1
1331	1
1332	3
1333	0
1334	0
1335	0
1336	1
1337	0
1338	0
1339	1
1340	0
1341	0
1342	0
1343	2
1344	1
1345	0
1346	0
1347	1
1348	0
1349	2
1350	0
1351	0
1352	0
1353	0
1354	0
1355	0
1356	0
1357	1
1358	1
1359	3
1360	2
1361	0
1362	0
1363	1
1364	0
1365	2
1366	0
1367	0
1368	0
1369	2
1370	1
1371	0
1372	0
1373	0
1374	1
1375	2
1376	0
1377	0
1378	0
1379	1
1380	0
1381	0
1382	1
1383	0
1384	1
1385	0
1386	0
1387	0
1388	1
1389	0
1390	0
1391	1
1392	0
1393	0
1394	1
1395	0
1396	0
1397	0
1398	2
1399	0
1400	3
1401	1
1402	1
1403	2
1404	0
1405	1
1406	0
1407	1
1408	0
1409	0
1410	2
1411	2
1412	3
1413	0
1414	3
1415	0
1416	3
1417	0
1418	0
1419	3
1420	1
1421	2
1422	0
1423	0
1424	2
1425	1
1426	0
1427	1
1428	0
1429	0
1430	1
1431	0
1432	0
1433	0
1434	1
1435	0
1436	2
1437	0
1438	0
1439	3
1440	0
1441	0
1442	0
1443	0
1444	0
1445	0
1446	0
1447	0
1448	0
1449	2
1450	3
1451	0
1452	3
1453	0
1454	0
1455	0
1456	0
1457	1
1458	0
1459	0
1460	2
1461	0
1462	0
1463	0
1464	0
1465	0
1466	0
1467	1
1468	1
1469	0
1470	0
1471	0
1472	0
1473	0
1474	0
1475	0
1476	0
1477	0
1478	0
1479	1
1480	2
1481	1
1482	0
1483	0
1484	0
1485	0
1486	1
1487	0
1488	1
1489	0
1490	0
1491	1
1492	0
1493	0
1494	1
1495	0
1496	2
1497	0
1498	0
1499	1
1500	1
1501	1
1502	0
1503	0
1504	1
1505	2
1506	0
1507	0
1508	0
1509	1
1510	1
1511	1
1512	0
1513	1
1514	0
1515	0
1516	1
1517	0
1518	1
1519	0
1520	1
1521	0
1522	0
1523	0
1524	1
1525	0
1526	0
1527	0
1528	0
1529	2
1530	1
1531	0
1532	0
1533	1
1534	0
1535	0
1536	0
1537	0
1538	1
1539	2
1540	0
1541	0
1542	1
1543	0
1544	0
1545	1
1546	0
1547	1
1548	1
1549	1
1550	1
1551	0
1552	0
1553	2
1554	0
1555	0
1556	1
1557	1
1558	1
1559	0
1560	1
1561	0
1562	1
1563	1
1564	1
1565	0
1566	1
1567	1
1568	0
1569	1
1570	1
1571	2
1572	1
1573	0
1574	0
1575	1
1576	0
1577	1
1578	0
1579	0
1580	0
1581	1
1582	1
1583	1
1584	0
1585	1
1586	1
1587	1
1588	1
1589	1
1590	1
1591	0
1592	0
1593	0
1594	0
1595	0
1596	1
1597	2
1598	1
1599	1
1600	0
1601	0
1602	1
1603	1
1604	1
1605	1
1606	0
1607	1
1608	1
1609	0
1610	0
1611	1
1612	0
1613	0
1614	0
1615	0
1616	0
1617	1
1618	1
1619	0
1620	0
1621	1
1622	1
1623	0
1624	2
1625	0
1626	0
1627	0
1628	1
1629	2
1630	0
1631	1
1632	1
1633	0
1634	0
1635	0
1636	1
1637	3
1638	1
1639	0
1640	0
1641	0
1642	0
1643	0
1644	0
1645	2
1646	0
1647	0
1648	0
1649	0
1650	0
1651	1
1652	0
1653	0
1654	1
1655	2
1656	1
1657	0
1658	1
1659	0
1660	0
1661	0
1662	0
1663	1
1664	0
1665	0
1666	0
1667	0
1668	1
1669	1
1670	1
1671	1
1672	1
1673	0
1674	0
1675	0
1676	4
1677	1
1678	1
1679	2
1680	0
1681	0
1682	0
1683	0
1684	0
1685	1
1686	0
1687	1
1688	0
1689	1
1690	1
1691	0
1692	0
1693	0
1694	1
1695	0
1696	0
1697	0
1698	0
1699	0
1700	2
1701	0
1702	1
1703	0
1704	0
1705	0
1706	0
1707	0
1708	3
1709	0
1710	1
1711	0
1712	0
1713	1
1714	0
1715	1
1716	0
1717	1
1718	0
1719	0
1720	0
1721	0
1722	0
1723	1
1724	0
1725	0
1726	2
1727	0
1728	1
1729	0
1730	1
1731	1
1732	0
1733	1
1734	2
1735	0
1736	0
1737	0
1738	0
1739	1
1740	1
1741	2
1742	0
1743	1
1744	2
1745	0
1746	0
1747	1
1748	0
1749	0
1750	0
1751	0
1752	0
1753	0
1754	0
1755	1
1756	1
1757	2
1758	1
1759	1
1760	2
1761	0
1762	0
1763	0
1764	0
1765	0
1766	2
1767	1
1768	0
1769	0
1770	0
1771	1
1772	1
1773	0
1774	1
1775	1
1776	1
1777	0
1778	0
1779	0
1780	0
1781	1
1782	1
1783	0
1784	0
1785	0
1786	0
1787	0
1788	0
1789	0
1790	0
1791	2
1792	0
1793	0
1794	2
1795	2
1796	0
1797	0
1798	2
1799	0
1800	0
1801	0
1802	0
1803	1
1804	0
1805	0
1806	0
1807	0
1808	0
1809	0
1810	0
1811	1
1812	0
1813	0
1814	1
1815	1
1816	1
1817	0
1818	0
1819	0
1820	0
1821	1
1822	0
1823	2
1824	1
1825	0
1826	2
1827	1
1828	0
1829	1
1830	0
1831	0
1832	1
1833	0
1834	2
1835	1
1836	0
1837	1
1838	2
1839	0
1840	2
1841	1
1842	0
1843	0
1844	0
1845	1
1846	1
1847	1
1848	1
1849	3
1850	1
1851	2
1852	1
1853	0
1854	2
1855	0
1856	1
1857	1
1858	2
1859	0
1860	1
1861	0
1862	4
1863	0
1864	1
1865	2
1866	2
1867	2
1868	3
1869	1
1870	3
1871	2
1872	1
1873	0
1874	0
1875	1
1876	1
1877	2
1878	2
1879	1
1880	3
1881	3
1882	1
1883	2
1884	1
1885	1
1886	2
1887	1
1888	5
1889	1
1890	2
1891	0
1892	3
1893	0
1894	1
1895	1
1896	2
1897	5
1898	0
1899	2
1900	2
1901	1
1902	2
1903	3
1904	1
1905	3
1906	2
1907	3
1908	4
1909	1
1910	2
1911	1
1912	1
1913	1
1914	0
1915	0
1916	4
1917	1
1918	2
1919	2
1920	1
1921	4
1922	3
1923	0
1924	1
1925	1
1926	2
1927	1
1928	1
1929	2
1930	0
1931	1
1932	2
1933	1
1934	3
1935	0
1936	2
1937	3
1938	2
1939	3
1940	0
1941	0
1942	2
1943	0
1944	3
1945	2
1946	2
1947	4
1948	2
1949	2
1950	1
1951	0
1952	1
1953	2
1954	1
1955	3
1956	4
1957	1
1958	4
1959	1
1960	1
1961	2
1962	3
1963	1
1964	6
1965	1
1966	3
1967	2
1968	4
1969	2
1970	6
1971	5
1972	4
1973	3
1974	3
1975	6
1976	2
1977	5
1978	0
1979	2
1980	3
1981	3
1982	7
1983	3
1984	2
1985	6
1986	2
1987	4
1988	4
1989	2
1990	3
1991	1
1992	2
1993	4
1994	3
1995	6
1996	1
1997	2
1998	1
1999	2
2000	0
2001	1
2002	2
2003	4
2004	0
2005	0
2006	1
2007	1
2008	3
2009	3
2010	0
2011	1
2012	1
2013	1
2014	2
2015	1
2016	1
2017	0
2018	2
2019	1
2020	0
2021	1
2022	3
2023	1
2024	0
2025	0
2026	0
2027	2
2028	2
2029	1
2030	1
2031	0
2032	0
