Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	1
60	3
61	1
62	0
63	2
64	3
65	2
66	4
67	2
68	1
69	1
70	2
71	2
72	1
73	1
74	2
75	1
76	1
77	4
78	3
79	1
80	1
81	0
82	2
83	3
84	1
85	2
86	1
87	0
88	1
89	1
90	3
91	2
92	6
93	3
94	4
95	1
96	4
97	2
98	6
99	3
100	2
101	1
102	3
103	1
104	2
105	1
106	2
107	1
108	3
109	3
110	5
111	3
112	3
113	3
114	0
115	2
116	1
117	2
118	2
119	2
120	1
121	5
122	3
123	1
124	0
125	1
126	0
127	3
128	1
129	1
130	4
131	4
132	1
133	2
134	1
135	1
136	4
137	1
138	1
139	4
140	5
141	0
142	4
143	0
144	1
145	1
146	2
147	2
148	1
149	3
150	3
151	2
152	1
153	0
154	0
155	5
156	6
157	3
158	1
159	4
160	1
161	1
162	3
163	1
164	3
165	4
166	2
167	3
168	1
169	2
170	1
171	3
172	1
173	2
174	2
175	4
176	1
177	1
178	1
179	2
180	1
181	0
182	1
183	1
184	1
185	4
186	2
187	4
188	0
189	3
190	1
191	3
192	1
193	3
194	2
195	0
196	2
197	0
198	1
199	0
200	1
201	0
202	3
203	2
204	2
205	5
206	1
207	4
208	3
209	1
210	2
211	2
212	2
213	4
214	0
215	1
216	2
217	1
218	0
219	1
220	2
221	1
222	3
223	1
224	1
225	0
226	5
227	1
228	3
229	3
230	2
231	1
232	2
233	2
234	0
235	3
236	5
237	2
238	2
239	1
240	1
241	3
242	1
243	3
244	3
245	1
246	3
247	2
248	3
249	1
250	1
251	3
252	2
253	4
254	1
255	1
256	1
257	2
258	2
259	4
260	0
261	2
262	2
263	1
264	0
265	3
266	1
267	5
268	4
269	0
270	3
271	0
272	1
273	1
274	2
275	3
276	1
277	1
278	1
279	1
280	0
281	0
282	2
283	0
284	0
285	4
286	1
287	7
288	2
289	2
290	1
291	1
292	1
293	0
294	3
295	0
296	1
297	3
298	1
299	3
300	2
301	0
302	0
303	1
304	6
305	2
306	0
307	1
308	0
309	1
310	2
311	0
312	2
313	1
314	3
315	3
316	1
317	2
318	0
319	1
320	1
321	0
322	1
323	2
324	4
325	1
326	2
327	3
328	2
329	1
330	1
331	5
332	1
333	3
334	3
335	1
336	1
337	0
338	1
339	3
340	2
341	0
342	1
343	1
344	2
345	3
346	0
347	2
348	2
349	1
350	0
351	0
352	2
353	0
354	1
355	1
356	3
357	1
358	3
359	3
360	0
361	2
362	2
363	1
364	0
365	2
366	1
367	1
368	0
369	2
370	3
371	1
372	2
373	1
374	3
375	1
376	0
377	2
378	3
379	0
380	2
381	0
382	2
383	3
384	1
385	1
386	2
387	1
388	3
389	4
390	2
391	2
392	2
393	1
394	0
395	0
396	3
397	0
398	1
399	0
400	1
401	0
402	1
403	2
404	0
405	0
406	6
407	2
408	1
409	1
410	2
411	0
412	2
413	4
414	1
415	0
416	1
417	3
418	4
419	1
420	1
421	2
422	3
423	0
424	1
425	2
426	0
427	1
428	2
429	1
430	3
431	0
432	3
433	0
434	1
435	1
436	0
437	1
438	0
439	3
440	0
441	3
442	2
443	1
444	0
445	1
446	3
447	0
448	0
449	0
450	1
451	2
452	6
453	2
454	3
455	1
456	1
457	2
458	4
459	2
460	2
461	0
462	2
463	0
464	1
465	2
466	0
467	0
468	2
469	1
470	1
471	4
472	1
473	4
474	2
475	1
476	4
477	0
478	4
479	3
480	2
481	2
482	2
483	2
484	2
485	2
486	3
487	3
488	1
489	1
490	3
491	4
492	3
493	3
494	2
495	1
496	0
497	2
498	0
499	0
500	1
501	2
502	2
503	0
504	3
505	2
506	1
507	1
508	1
509	0
510	4
511	0
512	0
513	2
514	1
515	1
516	1
517	2
518	1
519	4
520	1
521	2
522	4
523	1
524	1
525	1
526	0
527	1
528	1
529	1
530	4
531	3
532	1
533	1
534	1
535	1
536	1
537	2
538	0
539	3
540	1
541	2
542	0
543	1
544	0
545	1
546	3
547	2
548	3
549	1
550	2
551	0
552	0
553	2
554	2
555	4
556	2
557	0
558	1
559	3
560	0
561	2
562	1
563	2
564	2
565	0
566	1
567	3
568	0
569	4
570	2
571	5
572	2
573	1
574	1
575	3
576	1
577	3
578	1
579	3
580	1
581	1
582	2
583	0
584	0
585	4
586	1
587	2
588	2
589	0
590	2
591	2
592	1
593	3
594	3
595	4
596	0
597	1
598	4
599	1
600	1
601	3
602	3
603	0
604	0
605	3
606	2
607	0
608	2
609	3
610	2
611	4
612	0
613	0
614	0
615	2
616	2
617	2
618	1
619	2
620	3
621	2
622	2
623	3
624	2
625	0
626	4
627	2
628	1
629	2
630	2
631	1
632	1
633	0
634	3
635	1
636	5
637	2
638	4
639	3
640	2
641	2
642	0
643	3
644	3
645	1
646	0
647	3
648	4
649	2
650	4
651	1
652	3
653	0
654	1
655	0
656	4
657	2
658	2
659	2
660	0
661	1
662	2
663	0
664	2
665	1
666	4
667	2
668	1
669	2
670	1
671	5
672	0
673	2
674	2
675	0
676	3
677	4
678	2
679	2
680	1
681	1
682	3
683	1
684	4
685	2
686	0
687	0
688	2
689	3
690	4
691	3
692	1
693	1
694	1
695	2
696	0
697	5
698	2
699	4
700	0
701	0
702	0
703	2
704	0
705	1
706	2
707	3
708	3
709	0
710	4
711	3
712	1
713	2
714	1
715	1
716	1
717	1
718	1
719	1
720	1
721	1
722	0
723	3
724	1
725	0
726	3
727	4
728	1
729	3
730	0
731	5
732	0
733	2
734	2
735	4
736	1
737	1
738	1
739	3
740	2
741	3
742	1
743	1
744	3
745	2
746	0
747	2
748	1
749	1
750	1
751	0
752	1
753	1
754	5
755	0
756	3
757	3
758	4
759	3
760	2
761	3
762	1
763	2
764	2
765	3
766	1
767	2
768	0
769	2
770	3
771	1
772	2
773	1
774	6
775	2
776	4
777	0
778	0
779	2
780	1
781	4
782	3
783	2
784	2
785	5
786	0
787	1
788	1
789	0
790	1
791	3
792	3
793	3
794	3
795	1
796	1
797	0
798	3
799	3
800	3
801	3
802	2
803	1
804	4
805	0
806	3
807	2
808	1
809	4
810	5
811	3
812	4
813	3
814	6
815	3
816	3
817	3
818	4
819	3
820	4
821	2
822	5
823	2
824	1
825	5
826	2
827	0
828	3
829	2
830	2
831	5
832	4
833	2
834	6
835	0
836	2
837	1
838	4
839	3
840	2
841	2
842	1
843	3
844	2
845	1
846	8
847	0
848	2
849	4
850	1
851	4
852	2
853	4
854	1
855	0
856	7
857	1
858	2
859	3
860	2
861	3
862	2
863	3
864	2
865	2
866	3
867	4
868	3
869	1
870	1
871	5
872	5
873	4
874	4
875	6
876	5
877	2
878	1
879	4
880	3
881	2
882	5
883	5
884	4
885	3
886	3
887	3
888	3
889	6
890	5
891	2
892	7
893	8
894	5
895	10
896	2
897	3
898	6
899	3
900	3
901	3
902	4
903	1
904	5
905	4
906	8
907	5
908	7
909	4
910	4
911	3
912	2
913	9
914	6
915	6
916	6
917	5
918	4
919	5
920	8
921	3
922	3
923	7
924	10
925	10
926	7
927	3
928	5
929	6
930	8
931	6
932	5
933	5
934	5
935	4
936	6
937	5
938	3
939	7
940	8
941	6
942	7
943	4
944	9
945	8
946	9
947	10
948	2
949	10
950	4
951	9
952	5
953	12
954	14
955	9
956	3
957	10
958	11
959	9
960	8
961	17
962	15
963	4
964	14
965	4
966	15
967	5
968	11
969	16
970	9
971	6
972	9
973	8
974	11
975	16
976	7
977	8
978	7
979	13
980	7
981	12
982	4
983	6
984	14
985	11
986	10
987	4
988	9
989	9
990	7
991	3
992	9
993	9
994	9
995	5
996	8
997	2
998	2
999	11
1000	6
1001	12
1002	8
1003	4
1004	15
1005	6
1006	2
1007	4
1008	8
1009	3
1010	7
1011	2
1012	7
1013	4
1014	9
1015	3
1016	4
1017	8
1018	4
1019	3
1020	5
1021	4
1022	6
1023	5
1024	1
1025	4
1026	1
1027	3
1028	2
1029	7
1030	4
1031	5
1032	8
1033	5
1034	6
1035	7
1036	4
1037	1
1038	7
1039	3
1040	4
1041	6
1042	4
1043	2
1044	6
1045	1
1046	8
1047	3
1048	3
1049	5
1050	3
1051	6
1052	3
1053	3
1054	5
1055	6
1056	1
1057	5
1058	7
1059	4
1060	11
1061	4
1062	7
1063	10
1064	1
1065	14
1066	6
1067	14
1068	7
1069	14
1070	11
1071	8
1072	12
1073	9
1074	14
1075	17
1076	15
1077	17
1078	12
1079	16
1080	12
1081	15
1082	17
1083	25
1084	15
1085	20
1086	31
1087	33
1088	19
1089	31
1090	36
1091	37
1092	45
1093	31
1094	61
1095	58
1096	57
1097	63
1098	59
1099	67
1100	76
1101	54
1102	73
1103	89
1104	58
1105	90
1106	84
1107	108
1108	101
1109	80
1110	107
1111	100
1112	111
1113	112
1114	119
1115	126
1116	131
1117	152
1118	141
1119	185
1120	109
1121	144
1122	153
1123	166
1124	161
1125	129
1126	206
1127	162
1128	137
1129	178
1130	143
1131	177
1132	173
1133	164
1134	159
1135	162
1136	142
1137	178
1138	178
1139	186
1140	173
1141	106
1142	187
1143	154
1144	146
1145	181
1146	132
1147	151
1148	148
1149	143
1150	159
1151	213
1152	52
1153	111
1154	115
1155	120
1156	120
1157	109
1158	119
1159	79
1160	75
1161	100
1162	89
1163	72
1164	82
1165	76
1166	69
1167	62
1168	67
1169	45
1170	58
1171	62
1172	61
1173	36
1174	61
1175	35
1176	37
1177	34
1178	30
1179	40
1180	35
1181	30
1182	29
1183	34
1184	12
1185	20
1186	20
1187	14
1188	27
1189	13
1190	24
1191	15
1192	8
1193	6
1194	8
1195	11
1196	6
1197	7
1198	14
1199	10
1200	5
1201	3
1202	8
1203	7
1204	4
1205	8
1206	6
1207	5
1208	3
1209	8
1210	3
1211	4
1212	3
1213	9
1214	4
1215	9
1216	1
1217	3
1218	5
1219	7
1220	4
1221	5
1222	4
1223	6
1224	3
1225	6
1226	4
1227	5
1228	8
1229	3
1230	9
1231	5
1232	7
1233	7
1234	6
1235	7
1236	8
1237	7
1238	10
1239	6
1240	7
1241	3
1242	7
1243	4
1244	5
1245	8
1246	11
1247	6
1248	2
1249	7
1250	10
1251	4
1252	5
1253	4
1254	9
1255	6
1256	3
1257	5
1258	8
1259	4
1260	7
1261	7
1262	9
1263	6
1264	4
1265	3
1266	4
1267	2
1268	3
1269	0
1270	6
1271	3
1272	3
1273	2
1274	3
1275	3
1276	4
1277	5
1278	2
1279	4
1280	0
1281	1
1282	4
1283	5
1284	6
1285	3
1286	6
1287	6
1288	5
1289	4
1290	3
1291	4
1292	5
1293	6
1294	11
1295	5
1296	5
1297	10
1298	8
1299	3
1300	6
1301	3
1302	8
1303	4
1304	3
1305	7
1306	9
1307	11
1308	12
1309	8
1310	9
1311	9
1312	8
1313	12
1314	12
1315	10
1316	12
1317	13
1318	10
1319	19
1320	6
1321	14
1322	11
1323	21
1324	19
1325	16
1326	25
1327	10
1328	23
1329	22
1330	17
1331	25
1332	17
1333	21
1334	35
1335	22
1336	23
1337	34
1338	12
1339	49
1340	45
1341	43
1342	45
1343	45
1344	19
1345	35
1346	47
1347	48
1348	55
1349	44
1350	65
1351	42
1352	58
1353	77
1354	66
1355	70
1356	99
1357	87
1358	95
1359	77
1360	68
1361	90
1362	113
1363	109
1364	79
1365	67
1366	127
1367	85
1368	112
1369	102
1370	122
1371	129
1372	135
1373	115
1374	141
1375	143
1376	126
1377	121
1378	147
1379	133
1380	178
1381	118
1382	173
1383	125
1384	127
1385	153
1386	123
1387	145
1388	164
1389	143
1390	143
1391	126
1392	95
1393	144
1394	139
1395	124
1396	136
1397	112
1398	152
1399	115
1400	112
1401	129
1402	90
1403	120
1404	113
1405	106
1406	124
1407	135
1408	61
1409	82
1410	112
1411	82
1412	94
1413	71
1414	80
1415	60
1416	79
1417	81
1418	73
1419	64
1420	77
1421	54
1422	63
1423	36
1424	63
1425	37
1426	55
1427	51
1428	43
1429	28
1430	46
1431	22
1432	32
1433	31
1434	25
1435	35
1436	22
1437	26
1438	31
1439	35
1440	22
1441	20
1442	16
1443	12
1444	18
1445	12
1446	25
1447	7
1448	7
1449	13
1450	5
1451	15
1452	11
1453	9
1454	7
1455	6
1456	9
1457	7
1458	7
1459	5
1460	11
1461	2
1462	3
1463	1
1464	4
1465	5
1466	8
1467	1
1468	6
1469	3
1470	4
1471	7
1472	2
1473	3
1474	1
1475	3
1476	3
1477	0
1478	1
1479	3
1480	3
1481	1
1482	1
1483	2
1484	2
1485	2
1486	2
1487	2
1488	1
1489	2
1490	1
1491	2
1492	3
1493	0
1494	1
1495	1
1496	2
1497	3
1498	1
1499	2
1500	0
1501	1
1502	1
1503	2
1504	1
1505	0
1506	3
1507	2
1508	1
1509	1
1510	2
1511	0
1512	1
1513	1
1514	1
1515	2
1516	2
1517	1
1518	0
1519	1
1520	0
1521	2
1522	2
1523	2
1524	0
1525	2
1526	2
1527	0
1528	1
1529	1
1530	0
1531	2
1532	1
1533	0
1534	1
1535	0
1536	0
1537	0
1538	2
1539	0
1540	3
1541	1
1542	1
1543	2
1544	0
1545	0
1546	2
1547	3
1548	5
1549	1
1550	0
1551	1
1552	1
1553	2
1554	1
1555	1
1556	1
1557	3
1558	3
1559	1
1560	2
1561	1
1562	1
1563	4
1564	1
1565	1
1566	0
1567	1
1568	1
1569	2
1570	0
1571	2
1572	2
1573	1
1574	3
1575	4
1576	3
1577	2
1578	4
1579	4
1580	6
1581	0
1582	6
1583	0
1584	2
1585	2
1586	1
1587	7
1588	3
1589	5
1590	2
1591	4
1592	1
1593	2
1594	0
1595	7
1596	2
1597	0
1598	4
1599	5
1600	8
1601	3
1602	3
1603	2
1604	3
1605	2
1606	4
1607	3
1608	2
1609	8
1610	3
1611	10
1612	7
1613	10
1614	11
1615	6
1616	3
1617	5
1618	5
1619	8
1620	7
1621	9
1622	10
1623	7
1624	13
1625	8
1626	7
1627	11
1628	7
1629	7
1630	10
1631	13
1632	8
1633	8
1634	19
1635	15
1636	11
1637	11
1638	11
1639	13
1640	7
1641	16
1642	22
1643	11
1644	13
1645	14
1646	11
1647	12
1648	13
1649	15
1650	19
1651	12
1652	9
1653	7
1654	12
1655	11
1656	11
1657	17
1658	17
1659	14
1660	10
1661	12
1662	15
1663	12
1664	9
1665	12
1666	17
1667	13
1668	14
1669	8
1670	13
1671	7
1672	16
1673	13
1674	13
1675	9
1676	17
1677	6
1678	8
1679	7
1680	8
1681	12
1682	13
1683	7
1684	11
1685	8
1686	8
1687	5
1688	1
1689	3
1690	3
1691	3
1692	8
1693	4
1694	8
1695	3
1696	2
1697	3
1698	4
1699	7
1700	8
1701	4
1702	8
1703	7
1704	1
1705	5
1706	7
1707	1
1708	5
1709	5
1710	3
1711	1
1712	5
1713	4
1714	6
1715	4
1716	2
1717	1
1718	4
1719	2
1720	2
1721	2
1722	2
1723	5
1724	4
1725	3
1726	3
1727	3
1728	2
1729	2
1730	2
1731	2
1732	6
1733	1
1734	4
1735	0
1736	3
1737	2
1738	1
1739	3
1740	3
1741	1
1742	5
1743	4
1744	3
1745	3
1746	2
1747	0
1748	0
1749	1
1750	0
1751	2
1752	1
1753	2
1754	2
1755	0
1756	3
1757	1
1758	1
1759	0
1760	1
1761	1
1762	1
1763	1
1764	3
1765	0
1766	0
1767	1
1768	0
1769	1
1770	0
1771	2
1772	2
1773	0
1774	1
1775	0
1776	1
1777	1
1778	2
1779	1
1780	2
1781	0
1782	0
1783	1
1784	0
1785	1
1786	1
1787	1
1788	0
1789	0
1790	2
1791	1
1792	2
1793	0
1794	3
1795	0
1796	1
1797	1
1798	2
1799	2
1800	0
1801	1
1802	2
1803	2
1804	2
1805	0
1806	0
1807	2
1808	2
1809	2
1810	0
1811	0
1812	0
1813	0
1814	0
1815	1
1816	0
1817	0
1818	0
1819	1
1820	2
1821	1
1822	0
1823	1
1824	2
1825	1
1826	0
1827	1
1828	1
1829	0
1830	2
1831	0
1832	0
1833	2
1834	1
1835	0
1836	0
1837	0
1838	1
1839	2
1840	0
1841	0
1842	1
1843	0
1844	1
1845	0
1846	1
1847	1
1848	1
1849	2
1850	0
1851	3
1852	2
1853	1
1854	1
1855	0
1856	0
1857	1
1858	0
1859	0
1860	3
1861	1
1862	0
1863	0
1864	2
1865	3
1866	0
1867	1
1868	1
1869	2
1870	0
1871	1
1872	2
1873	1
1874	4
1875	1
1876	1
1877	4
1878	0
1879	1
1880	1
1881	2
1882	1
1883	1
1884	1
1885	2
1886	1
1887	3
1888	0
1889	4
1890	1
1891	0
1892	3
1893	0
1894	0
1895	2
1896	1
1897	0
1898	3
1899	1
1900	2
1901	1
1902	0
1903	1
1904	2
1905	2
1906	2
1907	5
1908	0
1909	3
1910	3
1911	0
1912	1
1913	0
1914	5
1915	4
1916	2
1917	2
1918	0
1919	2
1920	2
1921	0
1922	1
1923	0
1924	3
1925	0
1926	6
1927	0
1928	1
1929	2
1930	4
1931	1
1932	1
1933	2
1934	3
1935	2
1936	2
1937	2
1938	4
1939	2
1940	1
1941	1
1942	4
1943	1
1944	3
1945	3
1946	2
1947	1
1948	3
1949	4
1950	2
1951	2
1952	2
1953	0
1954	3
1955	3
1956	8
1957	4
1958	5
1959	1
1960	2
1961	6
1962	2
1963	2
1964	2
1965	3
1966	3
1967	3
1968	4
1969	3
1970	3
1971	3
1972	3
1973	2
1974	2
1975	5
1976	4
1977	2
1978	4
1979	2
1980	5
1981	3
1982	5
1983	5
1984	4
1985	1
1986	5
1987	2
1988	5
1989	4
1990	3
1991	0
1992	9
1993	3
1994	4
1995	1
1996	1
1997	2
1998	3
1999	1
2000	3
2001	2
2002	2
2003	2
2004	2
2005	1
2006	2
2007	1
2008	2
2009	1
2010	0
2011	2
2012	1
2013	1
2014	0
2015	2
2016	1
2017	1
2018	3
2019	1
2020	0
2021	0
2022	1
2023	1
2024	1
2025	1
2026	1
2027	0
2028	0
2029	0
2030	2
2031	0
2032	0
