Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	1
56	1
57	3
58	2
59	3
60	4
61	4
62	3
63	4
64	4
65	4
66	4
67	5
68	2
69	2
70	6
71	3
72	8
73	4
74	4
75	6
76	6
77	6
78	6
79	3
80	5
81	5
82	3
83	8
84	6
85	5
86	6
87	7
88	5
89	4
90	3
91	3
92	6
93	8
94	2
95	9
96	5
97	5
98	7
99	3
100	3
101	4
102	3
103	6
104	6
105	4
106	3
107	3
108	3
109	6
110	7
111	5
112	2
113	4
114	6
115	7
116	5
117	1
118	2
119	4
120	5
121	6
122	5
123	4
124	4
125	4
126	3
127	4
128	0
129	3
130	2
131	7
132	7
133	3
134	2
135	8
136	6
137	5
138	0
139	6
140	1
141	2
142	3
143	4
144	6
145	1
146	3
147	4
148	2
149	5
150	6
151	3
152	1
153	6
154	4
155	3
156	6
157	4
158	5
159	7
160	6
161	4
162	4
163	3
164	4
165	2
166	5
167	2
168	0
169	1
170	4
171	5
172	8
173	1
174	3
175	4
176	0
177	5
178	7
179	3
180	0
181	0
182	6
183	7
184	3
185	6
186	2
187	3
188	6
189	8
190	9
191	5
192	2
193	3
194	1
195	2
196	1
197	5
198	3
199	6
200	2
201	5
202	4
203	3
204	4
205	6
206	4
207	4
208	3
209	6
210	5
211	2
212	5
213	2
214	5
215	4
216	6
217	3
218	1
219	3
220	6
221	5
222	6
223	7
224	4
225	4
226	6
227	3
228	1
229	4
230	6
231	5
232	5
233	4
234	5
235	1
236	3
237	4
238	2
239	3
240	5
241	1
242	3
243	9
244	6
245	5
246	7
247	4
248	3
249	3
250	3
251	2
252	1
253	3
254	3
255	10
256	0
257	6
258	4
259	4
260	4
261	4
262	4
263	3
264	7
265	5
266	8
267	2
268	7
269	7
270	7
271	5
272	6
273	7
274	9
275	6
276	8
277	4
278	10
279	8
280	5
281	4
282	2
283	9
284	4
285	10
286	10
287	11
288	5
289	9
290	12
291	10
292	13
293	12
294	16
295	7
296	5
297	11
298	8
299	8
300	14
301	14
302	16
303	10
304	10
305	8
306	18
307	19
308	17
309	10
310	13
311	11
312	11
313	10
314	11
315	13
316	10
317	14
318	14
319	19
320	12
321	13
322	14
323	7
324	14
325	15
326	14
327	6
328	21
329	16
330	16
331	10
332	10
333	6
334	19
335	5
336	16
337	11
338	18
339	14
340	17
341	12
342	7
343	13
344	14
345	7
346	9
347	9
348	11
349	11
350	5
351	11
352	11
353	11
354	7
355	5
356	16
357	6
358	12
359	5
360	8
361	10
362	6
363	7
364	9
365	8
366	5
367	3
368	7
369	6
370	6
371	7
372	7
373	6
374	6
375	7
376	5
377	7
378	1
379	4
380	2
381	4
382	5
383	7
384	1
385	1
386	2
387	2
388	9
389	4
390	8
391	4
392	3
393	6
394	4
395	3
396	7
397	7
398	3
399	4
400	9
401	3
402	2
403	4
404	4
405	5
406	5
407	1
408	6
409	5
410	6
411	2
412	6
413	1
414	4
415	5
416	1
417	3
418	4
419	5
420	4
421	0
422	4
423	5
424	5
425	4
426	6
427	1
428	4
429	5
430	4
431	3
432	3
433	1
434	5
435	4
436	5
437	3
438	0
439	2
440	2
441	5
442	4
443	6
444	3
445	7
446	4
447	1
448	1
449	2
450	1
451	0
452	6
453	2
454	0
455	2
456	1
457	6
458	2
459	4
460	1
461	2
462	3
463	1
464	0
465	3
466	5
467	6
468	4
469	2
470	3
471	2
472	4
473	2
474	1
475	5
476	6
477	4
478	3
479	2
480	2
481	1
482	1
483	3
484	7
485	0
486	4
487	3
488	4
489	2
490	9
491	4
492	5
493	1
494	5
495	3
496	4
497	2
498	4
499	1
500	2
501	3
502	4
503	3
504	4
505	4
506	1
507	3
508	5
509	2
510	5
511	8
512	0
513	7
514	0
515	12
516	2
517	3
518	8
519	1
520	5
521	5
522	4
523	4
524	4
525	3
526	4
527	5
528	4
529	5
530	5
531	1
532	1
533	4
534	3
535	4
536	8
537	4
538	3
539	5
540	4
541	3
542	4
543	5
544	9
545	6
546	4
547	6
548	2
549	4
550	9
551	5
552	7
553	7
554	4
555	6
556	2
557	4
558	3
559	3
560	7
561	6
562	12
563	7
564	8
565	3
566	6
567	4
568	4
569	10
570	6
571	8
572	5
573	8
574	4
575	9
576	3
577	4
578	8
579	11
580	8
581	7
582	12
583	10
584	4
585	9
586	6
587	11
588	3
589	4
590	7
591	8
592	9
593	5
594	11
595	13
596	13
597	7
598	16
599	10
600	14
601	15
602	18
603	21
604	23
605	20
606	14
607	13
608	10
609	10
610	16
611	16
612	19
613	16
614	25
615	21
616	20
617	20
618	19
619	30
620	25
621	20
622	24
623	27
624	26
625	24
626	26
627	26
628	28
629	21
630	27
631	21
632	27
633	26
634	19
635	31
636	39
637	31
638	29
639	50
640	13
641	23
642	16
643	30
644	30
645	21
646	30
647	20
648	20
649	28
650	19
651	20
652	32
653	24
654	21
655	19
656	22
657	25
658	21
659	19
660	18
661	13
662	21
663	8
664	15
665	19
666	12
667	11
668	17
669	14
670	16
671	19
672	8
673	12
674	10
675	12
676	12
677	4
678	13
679	8
680	9
681	10
682	1
683	10
684	13
685	9
686	7
687	9
688	10
689	6
690	7
691	11
692	4
693	5
694	10
695	6
696	7
697	11
698	4
699	7
700	9
701	4
702	6
703	16
704	7
705	4
706	12
707	7
708	11
709	8
710	12
711	3
712	11
713	11
714	11
715	11
716	12
717	11
718	9
719	9
720	3
721	11
722	9
723	10
724	8
725	1
726	13
727	3
728	5
729	12
730	10
731	9
732	14
733	8
734	7
735	7
736	6
737	6
738	9
739	9
740	11
741	6
742	6
743	14
744	7
745	6
746	7
747	11
748	13
749	5
750	16
751	6
752	6
753	4
754	3
755	7
756	9
757	5
758	10
759	5
760	11
761	11
762	9
763	11
764	10
765	6
766	6
767	11
768	8
769	4
770	3
771	6
772	10
773	3
774	12
775	6
776	8
777	8
778	10
779	6
780	7
781	8
782	8
783	9
784	8
785	8
786	9
787	14
788	9
789	6
790	11
791	6
792	5
793	12
794	5
795	11
796	10
797	8
798	8
799	10
800	2
801	11
802	10
803	8
804	14
805	14
806	14
807	14
808	8
809	13
810	11
811	12
812	22
813	14
814	10
815	13
816	12
817	11
818	29
819	17
820	12
821	15
822	18
823	11
824	19
825	17
826	13
827	14
828	31
829	17
830	16
831	25
832	10
833	19
834	18
835	14
836	31
837	15
838	25
839	19
840	19
841	18
842	26
843	20
844	11
845	20
846	21
847	19
848	12
849	22
850	23
851	34
852	17
853	22
854	26
855	20
856	27
857	30
858	35
859	29
860	33
861	26
862	42
863	35
864	38
865	30
866	47
867	40
868	62
869	46
870	61
871	41
872	51
873	51
874	65
875	56
876	64
877	56
878	79
879	77
880	59
881	66
882	102
883	79
884	92
885	77
886	125
887	92
888	109
889	122
890	96
891	104
892	124
893	86
894	124
895	158
896	88
897	92
898	117
899	109
900	124
901	104
902	132
903	83
904	146
905	125
906	98
907	108
908	137
909	114
910	128
911	99
912	117
913	112
914	114
915	109
916	125
917	81
918	122
919	80
920	109
921	86
922	79
923	76
924	98
925	75
926	82
927	73
928	68
929	61
930	84
931	48
932	92
933	39
934	68
935	54
936	48
937	63
938	40
939	33
940	65
941	33
942	43
943	23
944	33
945	30
946	27
947	26
948	27
949	26
950	28
951	16
952	25
953	27
954	26
955	15
956	15
957	16
958	17
959	20
960	8
961	13
962	10
963	11
964	22
965	10
966	21
967	11
968	18
969	16
970	13
971	11
972	14
973	18
974	19
975	15
976	11
977	14
978	16
979	10
980	18
981	11
982	18
983	11
984	14
985	11
986	14
987	16
988	18
989	24
990	22
991	25
992	23
993	17
994	16
995	27
996	23
997	19
998	29
999	13
1000	27
1001	38
1002	33
1003	22
1004	34
1005	17
1006	40
1007	20
1008	27
1009	22
1010	42
1011	34
1012	32
1013	18
1014	24
1015	20
1016	28
1017	33
1018	34
1019	33
1020	27
1021	34
1022	38
1023	42
1024	7
1025	26
1026	31
1027	22
1028	34
1029	29
1030	32
1031	26
1032	24
1033	30
1034	20
1035	20
1036	22
1037	22
1038	30
1039	25
1040	22
1041	18
1042	23
1043	32
1044	15
1045	14
1046	22
1047	19
1048	21
1049	36
1050	25
1051	22
1052	16
1053	20
1054	14
1055	35
1056	11
1057	26
1058	21
1059	22
1060	19
1061	17
1062	22
1063	19
1064	18
1065	19
1066	15
1067	16
1068	19
1069	13
1070	25
1071	16
1072	14
1073	15
1074	18
1075	19
1076	14
1077	17
1078	20
1079	13
1080	13
1081	12
1082	12
1083	13
1084	22
1085	15
1086	17
1087	19
1088	7
1089	10
1090	16
1091	16
1092	20
1093	19
1094	16
1095	12
1096	8
1097	21
1098	17
1099	7
1100	17
1101	16
1102	19
1103	14
1104	12
1105	16
1106	9
1107	12
1108	15
1109	11
1110	17
1111	15
1112	11
1113	15
1114	15
1115	16
1116	11
1117	20
1118	16
1119	14
1120	5
1121	8
1122	17
1123	15
1124	10
1125	12
1126	11
1127	20
1128	10
1129	13
1130	18
1131	15
1132	18
1133	9
1134	12
1135	18
1136	7
1137	9
1138	8
1139	11
1140	14
1141	9
1142	15
1143	13
1144	13
1145	26
1146	7
1147	13
1148	14
1149	15
1150	11
1151	25
1152	3
1153	12
1154	13
1155	15
1156	17
1157	14
1158	23
1159	9
1160	11
1161	15
1162	13
1163	9
1164	5
1165	12
1166	16
1167	13
1168	7
1169	13
1170	7
1171	14
1172	13
1173	15
1174	13
1175	12
1176	6
1177	20
1178	18
1179	16
1180	8
1181	10
1182	9
1183	24
1184	9
1185	9
1186	9
1187	13
1188	7
1189	5
1190	13
1191	12
1192	9
1193	16
1194	8
1195	11
1196	18
1197	10
1198	18
1199	22
1200	7
1201	11
1202	11
1203	11
1204	14
1205	11
1206	14
1207	14
1208	11
1209	17
1210	9
1211	17
1212	16
1213	17
1214	11
1215	21
1216	7
1217	16
1218	10
1219	7
1220	16
1221	9
1222	18
1223	12
1224	12
1225	16
1226	16
1227	16
1228	18
1229	13
1230	22
1231	9
1232	16
1233	11
1234	13
1235	16
1236	10
1237	7
1238	17
1239	11
1240	15
1241	13
1242	14
1243	15
1244	17
1245	13
1246	15
1247	14
1248	9
1249	14
1250	8
1251	10
1252	18
1253	11
1254	17
1255	18
1256	11
1257	18
1258	12
1259	9
1260	15
1261	8
1262	19
1263	17
1264	20
1265	20
1266	16
1267	16
1268	21
1269	11
1270	19
1271	18
1272	16
1273	22
1274	13
1275	17
1276	16
1277	9
1278	15
1279	33
1280	5
1281	10
1282	14
1283	18
1284	25
1285	15
1286	13
1287	20
1288	17
1289	22
1290	12
1291	21
1292	13
1293	15
1294	14
1295	25
1296	15
1297	21
1298	16
1299	27
1300	25
1301	17
1302	14
1303	19
1304	21
1305	23
1306	15
1307	31
1308	21
1309	8
1310	13
1311	23
1312	14
1313	15
1314	18
1315	21
1316	13
1317	9
1318	12
1319	11
1320	15
1321	22
1322	16
1323	21
1324	13
1325	18
1326	18
1327	12
1328	18
1329	12
1330	12
1331	10
1332	14
1333	6
1334	22
1335	10
1336	11
1337	23
1338	13
1339	12
1340	15
1341	14
1342	20
1343	16
1344	3
1345	10
1346	16
1347	10
1348	18
1349	13
1350	13
1351	7
1352	14
1353	13
1354	6
1355	11
1356	13
1357	12
1358	11
1359	14
1360	10
1361	11
1362	10
1363	16
1364	11
1365	9
1366	14
1367	12
1368	18
1369	13
1370	11
1371	13
1372	12
1373	13
1374	12
1375	14
1376	17
1377	18
1378	19
1379	12
1380	17
1381	10
1382	25
1383	12
1384	15
1385	13
1386	18
1387	5
1388	18
1389	13
1390	15
1391	19
1392	11
1393	13
1394	11
1395	15
1396	14
1397	19
1398	16
1399	6
1400	13
1401	12
1402	10
1403	15
1404	27
1405	11
1406	19
1407	16
1408	5
1409	9
1410	11
1411	15
1412	17
1413	6
1414	19
1415	10
1416	18
1417	16
1418	6
1419	15
1420	20
1421	9
1422	10
1423	12
1424	8
1425	9
1426	21
1427	17
1428	8
1429	11
1430	11
1431	7
1432	16
1433	11
1434	15
1435	13
1436	13
1437	10
1438	18
1439	22
1440	10
1441	17
1442	10
1443	20
1444	19
1445	9
1446	12
1447	8
1448	14
1449	13
1450	12
1451	12
1452	12
1453	8
1454	9
1455	9
1456	15
1457	9
1458	14
1459	21
1460	18
1461	12
1462	19
1463	18
1464	10
1465	15
1466	9
1467	16
1468	16
1469	13
1470	14
1471	9
1472	3
1473	8
1474	12
1475	13
1476	10
1477	9
1478	16
1479	11
1480	14
1481	14
1482	12
1483	6
1484	16
1485	7
1486	15
1487	11
1488	9
1489	8
1490	11
1491	14
1492	7
1493	6
1494	13
1495	10
1496	20
1497	17
1498	6
1499	8
1500	9
1501	8
1502	16
1503	12
1504	9
1505	14
1506	16
1507	11
1508	25
1509	10
1510	18
1511	12
1512	12
1513	11
1514	11
1515	9
1516	22
1517	9
1518	12
1519	13
1520	16
1521	14
1522	12
1523	15
1524	19
1525	17
1526	13
1527	10
1528	10
1529	6
1530	13
1531	13
1532	16
1533	15
1534	15
1535	17
1536	5
1537	12
1538	10
1539	13
1540	13
1541	13
1542	18
1543	15
1544	15
1545	14
1546	11
1547	8
1548	10
1549	9
1550	13
1551	12
1552	11
1553	16
1554	14
1555	10
1556	20
1557	9
1558	15
1559	13
1560	21
1561	13
1562	12
1563	12
1564	11
1565	17
1566	12
1567	17
1568	11
1569	22
1570	16
1571	17
1572	24
1573	11
1574	18
1575	16
1576	10
1577	19
1578	13
1579	11
1580	17
1581	17
1582	8
1583	12
1584	15
1585	13
1586	21
1587	19
1588	14
1589	10
1590	11
1591	14
1592	7
1593	15
1594	13
1595	10
1596	15
1597	6
1598	12
1599	20
1600	5
1601	18
1602	22
1603	9
1604	14
1605	11
1606	24
1607	7
1608	10
1609	13
1610	13
1611	10
1612	11
1613	14
1614	11
1615	13
1616	13
1617	18
1618	9
1619	12
1620	12
1621	13
1622	8
1623	7
1624	7
1625	13
1626	8
1627	16
1628	18
1629	12
1630	16
1631	13
1632	10
1633	18
1634	7
1635	8
1636	13
1637	10
1638	18
1639	12
1640	12
1641	7
1642	12
1643	11
1644	12
1645	14
1646	13
1647	15
1648	7
1649	10
1650	19
1651	11
1652	9
1653	13
1654	18
1655	7
1656	5
1657	12
1658	6
1659	13
1660	14
1661	11
1662	13
1663	15
1664	4
1665	16
1666	9
1667	14
1668	11
1669	9
1670	15
1671	6
1672	12
1673	8
1674	8
1675	10
1676	15
1677	14
1678	13
1679	3
1680	11
1681	6
1682	9
1683	10
1684	15
1685	7
1686	11
1687	4
1688	13
1689	17
1690	10
1691	17
1692	11
1693	4
1694	7
1695	14
1696	10
1697	10
1698	10
1699	7
1700	16
1701	10
1702	11
1703	10
1704	7
1705	14
1706	8
1707	12
1708	11
1709	10
1710	8
1711	7
1712	6
1713	13
1714	13
1715	12
1716	16
1717	17
1718	16
1719	11
1720	8
1721	16
1722	5
1723	8
1724	10
1725	10
1726	16
1727	12
1728	16
1729	6
1730	15
1731	12
1732	12
1733	6
1734	19
1735	14
1736	12
1737	21
1738	13
1739	12
1740	21
1741	19
1742	9
1743	8
1744	12
1745	14
1746	11
1747	11
1748	10
1749	3
1750	10
1751	12
1752	7
1753	16
1754	15
1755	18
1756	9
1757	11
1758	12
1759	12
1760	10
1761	11
1762	8
1763	12
1764	13
1765	9
1766	17
1767	13
1768	7
1769	13
1770	9
1771	12
1772	17
1773	9
1774	12
1775	19
1776	16
1777	8
1778	11
1779	9
1780	4
1781	10
1782	11
1783	7
1784	16
1785	12
1786	11
1787	15
1788	14
1789	13
1790	16
1791	18
1792	5
1793	11
1794	12
1795	13
1796	18
1797	4
1798	14
1799	9
1800	12
1801	8
1802	17
1803	17
1804	19
1805	8
1806	11
1807	7
1808	14
1809	14
1810	17
1811	17
1812	13
1813	12
1814	15
1815	8
1816	18
1817	15
1818	18
1819	23
1820	11
1821	14
1822	15
1823	15
1824	16
1825	17
1826	24
1827	14
1828	17
1829	15
1830	19
1831	13
1832	13
1833	17
1834	24
1835	16
1836	21
1837	15
1838	24
1839	7
1840	14
1841	24
1842	16
1843	19
1844	21
1845	13
1846	29
1847	17
1848	12
1849	25
1850	22
1851	38
1852	24
1853	22
1854	18
1855	31
1856	18
1857	18
1858	27
1859	27
1860	28
1861	17
1862	41
1863	22
1864	28
1865	49
1866	25
1867	30
1868	42
1869	37
1870	50
1871	35
1872	22
1873	45
1874	41
1875	45
1876	37
1877	31
1878	57
1879	25
1880	44
1881	42
1882	28
1883	50
1884	53
1885	45
1886	57
1887	45
1888	46
1889	38
1890	51
1891	38
1892	64
1893	39
1894	72
1895	48
1896	47
1897	54
1898	37
1899	39
1900	66
1901	40
1902	50
1903	36
1904	38
1905	46
1906	52
1907	44
1908	60
1909	39
1910	54
1911	31
1912	52
1913	63
1914	40
1915	50
1916	48
1917	46
1918	47
1919	47
1920	37
1921	34
1922	32
1923	44
1924	56
1925	38
1926	62
1927	39
1928	51
1929	50
1930	34
1931	44
1932	60
1933	36
1934	37
1935	23
1936	56
1937	36
1938	41
1939	54
1940	50
1941	22
1942	52
1943	35
1944	51
1945	65
1946	36
1947	51
1948	35
1949	56
1950	44
1951	30
1952	42
1953	43
1954	48
1955	33
1956	46
1957	27
1958	50
1959	34
1960	46
1961	65
1962	40
1963	44
1964	63
1965	35
1966	49
1967	28
1968	55
1969	44
1970	52
1971	39
1972	60
1973	43
1974	57
1975	28
1976	44
1977	55
1978	36
1979	48
1980	45
1981	35
1982	32
1983	30
1984	40
1985	44
1986	45
1987	34
1988	46
1989	28
1990	37
1991	23
1992	28
1993	37
1994	18
1995	24
1996	33
1997	26
1998	24
1999	25
2000	28
2001	22
2002	28
2003	34
2004	34
2005	20
2006	23
2007	11
2008	18
2009	15
2010	15
2011	23
2012	26
2013	23
2014	22
2015	21
2016	16
2017	18
2018	15
2019	19
2020	14
2021	13
2022	16
2023	7
2024	12
2025	12
2026	12
2027	10
2028	12
2029	13
2030	10
2031	10
2032	12
