Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	1
55	0
56	1
57	2
58	0
59	1
60	4
61	2
62	5
63	9
64	2
65	2
66	4
67	4
68	8
69	3
70	6
71	2
72	2
73	2
74	1
75	8
76	2
77	3
78	1
79	4
80	0
81	2
82	2
83	5
84	3
85	2
86	2
87	1
88	2
89	4
90	2
91	2
92	2
93	4
94	4
95	4
96	2
97	7
98	4
99	2
100	6
101	4
102	2
103	1
104	5
105	2
106	4
107	3
108	2
109	1
110	3
111	5
112	1
113	3
114	2
115	4
116	3
117	3
118	3
119	5
120	4
121	1
122	3
123	4
124	2
125	1
126	4
127	8
128	5
129	3
130	2
131	3
132	6
133	4
134	1
135	3
136	3
137	1
138	2
139	2
140	3
141	3
142	0
143	3
144	3
145	2
146	0
147	4
148	4
149	2
150	4
151	2
152	3
153	2
154	1
155	2
156	1
157	3
158	3
159	2
160	0
161	3
162	3
163	7
164	0
165	2
166	3
167	3
168	0
169	4
170	1
171	3
172	3
173	2
174	6
175	1
176	3
177	1
178	6
179	1
180	2
181	2
182	3
183	1
184	0
185	0
186	3
187	5
188	4
189	0
190	1
191	5
192	0
193	2
194	1
195	4
196	5
197	4
198	2
199	3
200	2
201	3
202	8
203	5
204	4
205	3
206	2
207	3
208	2
209	3
210	0
211	4
212	0
213	1
214	3
215	1
216	2
217	1
218	2
219	2
220	4
221	3
222	2
223	6
224	1
225	1
226	1
227	1
228	1
229	3
230	2
231	1
232	3
233	1
234	4
235	0
236	2
237	2
238	0
239	3
240	6
241	2
242	2
243	2
244	2
245	0
246	0
247	0
248	5
249	2
250	0
251	3
252	3
253	2
254	2
255	3
256	0
257	0
258	3
259	1
260	3
261	2
262	1
263	2
264	2
265	2
266	2
267	2
268	2
269	1
270	6
271	2
272	1
273	0
274	0
275	1
276	2
277	4
278	4
279	2
280	1
281	4
282	3
283	1
284	1
285	4
286	2
287	1
288	0
289	2
290	1
291	1
292	6
293	0
294	1
295	1
296	0
297	2
298	1
299	1
300	2
301	2
302	0
303	3
304	3
305	1
306	4
307	1
308	4
309	2
310	1
311	2
312	1
313	2
314	2
315	4
316	0
317	1
318	3
319	3
320	1
321	1
322	2
323	1
324	2
325	1
326	1
327	1
328	3
329	1
330	1
331	1
332	2
333	4
334	2
335	5
336	2
337	1
338	0
339	2
340	1
341	0
342	2
343	2
344	2
345	1
346	0
347	0
348	1
349	0
350	0
351	0
352	4
353	0
354	3
355	2
356	1
357	1
358	1
359	1
360	1
361	1
362	0
363	1
364	1
365	1
366	1
367	0
368	0
369	1
370	0
371	1
372	2
373	1
374	4
375	2
376	1
377	0
378	2
379	0
380	0
381	4
382	2
383	2
384	1
385	2
386	1
387	0
388	1
389	2
390	3
391	1
392	2
393	1
394	1
395	1
396	2
397	1
398	1
399	1
400	2
401	1
402	1
403	2
404	2
405	1
406	2
407	3
408	3
409	0
410	3
411	2
412	1
413	0
414	1
415	2
416	2
417	2
418	0
419	0
420	3
421	5
422	1
423	2
424	2
425	2
426	1
427	4
428	2
429	5
430	3
431	1
432	2
433	0
434	0
435	4
436	0
437	3
438	1
439	1
440	1
441	2
442	0
443	1
444	2
445	0
446	0
447	1
448	3
449	3
450	1
451	3
452	4
453	3
454	2
455	2
456	0
457	1
458	1
459	4
460	2
461	0
462	2
463	2
464	1
465	0
466	2
467	2
468	1
469	0
470	5
471	2
472	2
473	1
474	3
475	1
476	2
477	2
478	1
479	1
480	1
481	1
482	1
483	1
484	3
485	1
486	0
487	0
488	0
489	1
490	3
491	0
492	1
493	0
494	0
495	2
496	1
497	2
498	2
499	1
500	4
501	0
502	2
503	0
504	0
505	0
506	0
507	1
508	1
509	2
510	0
511	1
512	0
513	4
514	2
515	1
516	1
517	0
518	2
519	5
520	1
521	3
522	3
523	1
524	1
525	3
526	1
527	3
528	2
529	1
530	1
531	2
532	1
533	0
534	2
535	1
536	2
537	1
538	3
539	2
540	0
541	3
542	2
543	2
544	0
545	0
546	2
547	2
548	2
549	3
550	2
551	0
552	0
553	1
554	0
555	2
556	3
557	2
558	1
559	0
560	1
561	1
562	2
563	1
564	1
565	0
566	1
567	5
568	2
569	4
570	1
571	3
572	2
573	0
574	3
575	4
576	1
577	0
578	2
579	3
580	1
581	2
582	2
583	1
584	2
585	0
586	3
587	3
588	0
589	2
590	4
591	1
592	0
593	1
594	0
595	0
596	1
597	1
598	4
599	0
600	0
601	1
602	4
603	2
604	1
605	2
606	1
607	1
608	3
609	2
610	3
611	4
612	1
613	3
614	2
615	2
616	0
617	2
618	1
619	2
620	0
621	0
622	2
623	1
624	0
625	1
626	3
627	0
628	2
629	1
630	2
631	2
632	0
633	4
634	1
635	2
636	1
637	1
638	2
639	5
640	0
641	1
642	3
643	4
644	3
645	1
646	3
647	3
648	1
649	1
650	2
651	1
652	3
653	3
654	1
655	0
656	1
657	0
658	0
659	0
660	2
661	0
662	2
663	0
664	3
665	1
666	1
667	1
668	1
669	1
670	0
671	5
672	3
673	3
674	2
675	1
676	4
677	1
678	3
679	0
680	1
681	3
682	4
683	1
684	2
685	3
686	1
687	0
688	2
689	3
690	2
691	4
692	4
693	0
694	3
695	1
696	0
697	4
698	2
699	4
700	3
701	1
702	4
703	7
704	3
705	2
706	2
707	1
708	3
709	1
710	1
711	2
712	2
713	2
714	4
715	9
716	2
717	3
718	4
719	5
720	3
721	5
722	4
723	4
724	2
725	4
726	2
727	1
728	2
729	3
730	4
731	2
732	1
733	1
734	4
735	2
736	1
737	3
738	3
739	2
740	6
741	1
742	2
743	2
744	3
745	9
746	3
747	2
748	0
749	6
750	3
751	5
752	1
753	3
754	6
755	2
756	5
757	2
758	7
759	3
760	2
761	6
762	3
763	3
764	4
765	5
766	0
767	4
768	3
769	1
770	6
771	5
772	10
773	2
774	3
775	2
776	1
777	5
778	2
779	4
780	2
781	4
782	4
783	4
784	6
785	2
786	6
787	4
788	5
789	4
790	6
791	0
792	2
793	3
794	2
795	5
796	3
797	5
798	3
799	2
800	4
801	1
802	6
803	3
804	10
805	5
806	7
807	6
808	6
809	6
810	4
811	3
812	8
813	4
814	6
815	2
816	5
817	4
818	8
819	6
820	3
821	6
822	8
823	8
824	5
825	8
826	5
827	10
828	5
829	5
830	8
831	6
832	2
833	3
834	10
835	4
836	4
837	5
838	9
839	5
840	5
841	11
842	4
843	10
844	6
845	5
846	9
847	11
848	6
849	5
850	6
851	9
852	6
853	6
854	9
855	3
856	7
857	11
858	4
859	9
860	3
861	5
862	4
863	5
864	6
865	3
866	5
867	5
868	11
869	7
870	10
871	3
872	7
873	6
874	8
875	9
876	10
877	5
878	7
879	9
880	10
881	10
882	7
883	5
884	6
885	2
886	9
887	5
888	10
889	8
890	4
891	9
892	4
893	6
894	6
895	13
896	2
897	8
898	9
899	6
900	5
901	3
902	8
903	4
904	6
905	8
906	5
907	7
908	6
909	3
910	4
911	4
912	8
913	3
914	10
915	11
916	7
917	8
918	11
919	7
920	2
921	5
922	10
923	3
924	9
925	4
926	10
927	7
928	3
929	8
930	10
931	8
932	10
933	12
934	14
935	7
936	8
937	9
938	5
939	9
940	14
941	6
942	6
943	7
944	6
945	8
946	10
947	8
948	14
949	3
950	15
951	1
952	7
953	6
954	6
955	4
956	13
957	11
958	6
959	8
960	5
961	7
962	5
963	5
964	6
965	7
966	10
967	5
968	9
969	6
970	5
971	5
972	10
973	8
974	8
975	7
976	8
977	7
978	6
979	6
980	12
981	6
982	8
983	5
984	12
985	11
986	7
987	13
988	9
989	8
990	9
991	8
992	7
993	9
994	11
995	8
996	9
997	7
998	12
999	8
1000	7
1001	9
1002	10
1003	3
1004	12
1005	6
1006	15
1007	6
1008	9
1009	10
1010	11
1011	10
1012	12
1013	5
1014	8
1015	8
1016	12
1017	8
1018	9
1019	10
1020	18
1021	5
1022	13
1023	16
1024	1
1025	6
1026	7
1027	10
1028	7
1029	4
1030	10
1031	13
1032	6
1033	7
1034	11
1035	12
1036	8
1037	7
1038	12
1039	10
1040	7
1041	6
1042	8
1043	15
1044	10
1045	10
1046	15
1047	2
1048	4
1049	14
1050	7
1051	12
1052	7
1053	5
1054	13
1055	8
1056	5
1057	11
1058	8
1059	12
1060	9
1061	3
1062	10
1063	8
1064	8
1065	10
1066	3
1067	9
1068	16
1069	12
1070	8
1071	4
1072	9
1073	5
1074	12
1075	13
1076	16
1077	7
1078	10
1079	13
1080	8
1081	10
1082	9
1083	11
1084	12
1085	13
1086	9
1087	20
1088	7
1089	8
1090	9
1091	6
1092	12
1093	11
1094	14
1095	5
1096	10
1097	8
1098	12
1099	16
1100	22
1101	11
1102	12
1103	14
1104	4
1105	12
1106	10
1107	10
1108	9
1109	8
1110	14
1111	9
1112	14
1113	8
1114	10
1115	6
1116	14
1117	12
1118	10
1119	16
1120	9
1121	11
1122	11
1123	11
1124	15
1125	13
1126	9
1127	17
1128	9
1129	14
1130	10
1131	14
1132	11
1133	9
1134	15
1135	13
1136	12
1137	10
1138	8
1139	14
1140	14
1141	8
1142	11
1143	11
1144	15
1145	5
1146	11
1147	9
1148	21
1149	12
1150	6
1151	16
1152	5
1153	8
1154	20
1155	12
1156	15
1157	6
1158	13
1159	13
1160	15
1161	15
1162	12
1163	13
1164	11
1165	8
1166	10
1167	7
1168	8
1169	16
1170	13
1171	17
1172	6
1173	12
1174	12
1175	11
1176	7
1177	18
1178	12
1179	8
1180	16
1181	13
1182	12
1183	16
1184	8
1185	17
1186	8
1187	8
1188	12
1189	6
1190	14
1191	22
1192	8
1193	13
1194	9
1195	8
1196	10
1197	7
1198	15
1199	6
1200	8
1201	17
1202	16
1203	14
1204	14
1205	12
1206	10
1207	8
1208	7
1209	11
1210	12
1211	20
1212	15
1213	12
1214	6
1215	11
1216	14
1217	14
1218	15
1219	11
1220	13
1221	9
1222	7
1223	10
1224	16
1225	16
1226	12
1227	16
1228	10
1229	11
1230	4
1231	13
1232	6
1233	11
1234	16
1235	17
1236	14
1237	15
1238	13
1239	14
1240	17
1241	17
1242	12
1243	18
1244	10
1245	15
1246	8
1247	12
1248	10
1249	16
1250	14
1251	16
1252	10
1253	7
1254	16
1255	12
1256	9
1257	15
1258	8
1259	15
1260	13
1261	15
1262	13
1263	10
1264	12
1265	8
1266	10
1267	10
1268	15
1269	9
1270	15
1271	10
1272	9
1273	11
1274	12
1275	13
1276	14
1277	7
1278	22
1279	21
1280	4
1281	11
1282	16
1283	10
1284	12
1285	6
1286	8
1287	7
1288	14
1289	13
1290	7
1291	11
1292	10
1293	10
1294	13
1295	6
1296	9
1297	13
1298	12
1299	13
1300	11
1301	15
1302	17
1303	8
1304	11
1305	12
1306	14
1307	18
1308	8
1309	18
1310	8
1311	16
1312	13
1313	8
1314	15
1315	9
1316	8
1317	11
1318	8
1319	10
1320	8
1321	14
1322	11
1323	15
1324	20
1325	4
1326	22
1327	3
1328	10
1329	13
1330	10
1331	8
1332	10
1333	8
1334	11
1335	14
1336	9
1337	14
1338	9
1339	14
1340	18
1341	8
1342	13
1343	17
1344	7
1345	7
1346	13
1347	13
1348	9
1349	9
1350	4
1351	8
1352	12
1353	10
1354	11
1355	10
1356	8
1357	5
1358	16
1359	9
1360	15
1361	6
1362	7
1363	17
1364	8
1365	13
1366	15
1367	4
1368	16
1369	7
1370	9
1371	12
1372	15
1373	7
1374	15
1375	18
1376	15
1377	11
1378	11
1379	9
1380	16
1381	11
1382	10
1383	12
1384	14
1385	9
1386	9
1387	7
1388	9
1389	10
1390	14
1391	12
1392	6
1393	6
1394	12
1395	18
1396	12
1397	4
1398	16
1399	10
1400	7
1401	9
1402	8
1403	10
1404	8
1405	12
1406	13
1407	22
1408	5
1409	10
1410	17
1411	15
1412	13
1413	7
1414	14
1415	13
1416	17
1417	17
1418	9
1419	14
1420	18
1421	10
1422	18
1423	14
1424	7
1425	12
1426	20
1427	9
1428	19
1429	12
1430	12
1431	9
1432	16
1433	13
1434	12
1435	8
1436	7
1437	11
1438	18
1439	13
1440	5
1441	9
1442	8
1443	12
1444	12
1445	15
1446	12
1447	11
1448	8
1449	26
1450	6
1451	5
1452	15
1453	10
1454	14
1455	7
1456	17
1457	8
1458	13
1459	14
1460	9
1461	8
1462	12
1463	10
1464	20
1465	5
1466	5
1467	13
1468	13
1469	9
1470	9
1471	11
1472	4
1473	10
1474	14
1475	17
1476	11
1477	12
1478	10
1479	9
1480	16
1481	13
1482	11
1483	9
1484	21
1485	17
1486	11
1487	11
1488	8
1489	10
1490	10
1491	13
1492	14
1493	15
1494	21
1495	8
1496	18
1497	10
1498	13
1499	13
1500	12
1501	12
1502	10
1503	10
1504	6
1505	9
1506	10
1507	8
1508	21
1509	6
1510	15
1511	12
1512	7
1513	13
1514	8
1515	9
1516	7
1517	10
1518	9
1519	13
1520	11
1521	10
1522	9
1523	5
1524	9
1525	14
1526	10
1527	6
1528	15
1529	10
1530	4
1531	8
1532	10
1533	10
1534	12
1535	20
1536	7
1537	15
1538	7
1539	6
1540	12
1541	7
1542	8
1543	13
1544	13
1545	13
1546	8
1547	8
1548	13
1549	9
1550	15
1551	10
1552	9
1553	7
1554	11
1555	8
1556	5
1557	11
1558	4
1559	8
1560	9
1561	15
1562	4
1563	11
1564	10
1565	7
1566	11
1567	8
1568	10
1569	19
1570	8
1571	13
1572	8
1573	7
1574	10
1575	7
1576	8
1577	10
1578	10
1579	17
1580	9
1581	10
1582	7
1583	13
1584	11
1585	11
1586	14
1587	5
1588	12
1589	10
1590	16
1591	8
1592	9
1593	20
1594	9
1595	5
1596	9
1597	11
1598	14
1599	17
1600	8
1601	5
1602	10
1603	10
1604	7
1605	6
1606	9
1607	8
1608	9
1609	10
1610	10
1611	10
1612	14
1613	9
1614	9
1615	15
1616	9
1617	9
1618	8
1619	9
1620	8
1621	10
1622	9
1623	4
1624	7
1625	11
1626	13
1627	8
1628	5
1629	8
1630	7
1631	11
1632	7
1633	6
1634	9
1635	6
1636	13
1637	8
1638	19
1639	10
1640	10
1641	10
1642	13
1643	9
1644	11
1645	9
1646	17
1647	3
1648	12
1649	10
1650	8
1651	5
1652	8
1653	5
1654	15
1655	7
1656	9
1657	11
1658	7
1659	11
1660	10
1661	6
1662	12
1663	13
1664	6
1665	8
1666	11
1667	6
1668	10
1669	3
1670	16
1671	8
1672	12
1673	10
1674	7
1675	6
1676	15
1677	7
1678	9
1679	6
1680	18
1681	6
1682	8
1683	8
1684	9
1685	7
1686	14
1687	3
1688	10
1689	11
1690	10
1691	9
1692	12
1693	11
1694	11
1695	9
1696	11
1697	10
1698	15
1699	9
1700	14
1701	7
1702	9
1703	8
1704	5
1705	8
1706	5
1707	7
1708	12
1709	6
1710	7
1711	9
1712	13
1713	11
1714	9
1715	14
1716	11
1717	6
1718	14
1719	7
1720	8
1721	6
1722	11
1723	11
1724	5
1725	6
1726	12
1727	14
1728	3
1729	10
1730	10
1731	8
1732	14
1733	8
1734	8
1735	7
1736	10
1737	12
1738	13
1739	6
1740	12
1741	4
1742	10
1743	5
1744	6
1745	10
1746	11
1747	7
1748	10
1749	12
1750	13
1751	9
1752	12
1753	7
1754	6
1755	8
1756	8
1757	6
1758	5
1759	4
1760	4
1761	9
1762	6
1763	6
1764	12
1765	6
1766	9
1767	11
1768	11
1769	14
1770	10
1771	4
1772	9
1773	5
1774	6
1775	10
1776	10
1777	7
1778	13
1779	10
1780	16
1781	8
1782	9
1783	7
1784	5
1785	4
1786	15
1787	10
1788	12
1789	10
1790	5
1791	13
1792	3
1793	9
1794	4
1795	5
1796	6
1797	13
1798	8
1799	2
1800	7
1801	10
1802	5
1803	9
1804	14
1805	9
1806	5
1807	7
1808	7
1809	14
1810	7
1811	7
1812	12
1813	14
1814	10
1815	4
1816	4
1817	7
1818	8
1819	4
1820	10
1821	11
1822	7
1823	9
1824	8
1825	5
1826	10
1827	5
1828	9
1829	6
1830	10
1831	3
1832	8
1833	11
1834	9
1835	4
1836	12
1837	11
1838	10
1839	6
1840	11
1841	9
1842	7
1843	3
1844	3
1845	7
1846	9
1847	7
1848	7
1849	11
1850	9
1851	9
1852	8
1853	9
1854	6
1855	9
1856	5
1857	9
1858	7
1859	10
1860	7
1861	8
1862	15
1863	11
1864	8
1865	10
1866	7
1867	4
1868	12
1869	7
1870	10
1871	9
1872	5
1873	7
1874	5
1875	9
1876	4
1877	6
1878	7
1879	3
1880	10
1881	11
1882	12
1883	9
1884	11
1885	13
1886	11
1887	6
1888	12
1889	8
1890	7
1891	8
1892	8
1893	9
1894	13
1895	9
1896	7
1897	11
1898	7
1899	12
1900	19
1901	12
1902	8
1903	10
1904	11
1905	8
1906	6
1907	13
1908	12
1909	10
1910	11
1911	13
1912	7
1913	14
1914	12
1915	17
1916	17
1917	9
1918	9
1919	14
1920	7
1921	14
1922	17
1923	20
1924	17
1925	16
1926	28
1927	10
1928	24
1929	26
1930	9
1931	20
1932	22
1933	27
1934	20
1935	24
1936	32
1937	36
1938	28
1939	43
1940	26
1941	29
1942	36
1943	16
1944	51
1945	50
1946	41
1947	54
1948	46
1949	48
1950	44
1951	38
1952	43
1953	35
1954	45
1955	57
1956	51
1957	44
1958	71
1959	58
1960	46
1961	62
1962	35
1963	56
1964	63
1965	58
1966	65
1967	35
1968	83
1969	60
1970	66
1971	59
1972	67
1973	45
1974	93
1975	55
1976	44
1977	67
1978	58
1979	70
1980	66
1981	59
1982	56
1983	71
1984	58
1985	51
1986	63
1987	58
1988	76
1989	52
1990	70
1991	29
1992	57
1993	57
1994	48
1995	36
1996	52
1997	30
1998	44
1999	25
2000	44
2001	41
2002	37
2003	28
2004	37
2005	25
2006	47
2007	15
2008	37
2009	35
2010	26
2011	31
2012	18
2013	24
2014	16
2015	17
2016	23
2017	19
2018	20
2019	14
2020	20
2021	11
2022	24
2023	11
2024	23
2025	15
2026	8
2027	13
2028	16
2029	12
2030	11
2031	4
2032	11
